mux_pos_num,mux_band_num,is_north
0,1,TRUE
1,7,TRUE
2,9,TRUE
3,4,TRUE
4,-1,TRUE
5,0,TRUE
6,6,TRUE
7,8,TRUE
8,10,TRUE
9,12,TRUE
10,13,TRUE
11,11,TRUE
12,5,TRUE
13,3,TRUE
14,3,FALSE
15,5,FALSE
16,11,FALSE
17,13,FALSE
18,12,FALSE
19,10,FALSE
20,8,FALSE
21,6,FALSE
22,0,FALSE
23,2,FALSE
24,4,FALSE
25,9,FALSE
26,7,FALSE
27,1,FALSE
