mux_pos_num,mux_band_num,is_north
0,12,TRUE
1,10,TRUE
2,8,TRUE
3,2,TRUE
4,-1,TRUE
5,6,TRUE
6,-1,TRUE
7,11,TRUE
8,13,TRUE
9,0,TRUE
10,1,TRUE
11,3,TRUE
12,-1,TRUE
13,7,TRUE
14,0,FALSE
15,2,FALSE
16,4,FALSE
17,6,FALSE
18,8,FALSE
19,10,FALSE
20,12,FALSE
21,1,FALSE
22,3,FALSE
23,5,FALSE
24,7,FALSE
25,9,FALSE
26,11,FALSE
27,13,FALSE
