mux_pos_num,mux_band_num,is_north
0,1,TRUE
1,13,TRUE
2,12,TRUE
3,11,TRUE
4,10,TRUE
5,9,TRUE
6,8,TRUE
7,7,TRUE
8,6,TRUE
9,5,TRUE
10,4,TRUE
11,3,TRUE
12,2,TRUE
13,0,TRUE
14,13,FALSE
15,11,FALSE
16,1,FALSE
17,-1,FALSE
18,-1,FALSE
19,-1,FALSE
20,12,FALSE
21,8,FALSE
22,7,FALSE
23,6,FALSE
24,5,FALSE
25,4,FALSE
26,3,FALSE
27,2,FALSE
