smurf_band,smurf_chan,mux_band,mux_pad
0,317,0,-1
0,381,0,-1
0,3,0,-1
0,67,0,3
0,131,0,7
0,259,0,11
0,35,0,19
0,291,0,23
0,355,0,27
0,419,0,27
0,483,0,31
0,-1,0,31
0,51,0,1
0,115,0,1
0,307,0,1
0,371,0,5
0,11,0,9
0,267,0,21
0,43,0,25
0,107,0,29
0,171,0,29
0,59,0,0
0,123,0,0
0,315,0,0
0,39,0,24
0,103,0,24
0,167,0,24
0,279,0,2
0,343,0,2
0,15,0,18
0,271,0,22
0,335,0,30
0,47,0,58
0,111,1,-1
0,303,1,-1
0,367,1,7
0,287,1,19
0,63,1,27
0,127,1,27
0,191,1,31
0,319,1,35
0,383,1,35
0,447,1,35
0,511,1,39
0,0,1,43
0,256,1,59
0,320,1,63
0,32,1,9
0,288,1,13
0,352,1,17
0,16,1,21
0,272,1,25
0,336,1,29
0,400,1,33
0,48,1,33
0,112,1,37
0,176,1,41
0,304,1,45
0,8,1,0
0,264,1,0
0,328,1,8
0,40,1,12
0,104,1,16
0,296,1,20
0,24,1,28
0,88,1,28
0,280,1,40
0,344,1,40
0,56,1,44
0,120,1,52
0,312,1,64
0,376,1,64
0,440,1,64
0,4,1,6
0,68,1,10
0,260,1,14
0,36,1,18
0,292,1,26
0,356,1,30
0,20,1,34
0,84,1,34
0,148,1,38
0,212,1,42
0,276,1,46
0,340,1,54
0,52,1,62
0,116,2,-1
0,180,2,3
0,308,2,7
0,268,2,19
0,332,2,23
0,44,2,27
0,108,2,31
0,300,2,35
0,364,2,35
0,428,2,39
0,28,2,43
0,92,2,47
0,284,2,55
0,348,2,59
0,60,2,5
0,124,2,9
0,316,2,17
0,2,2,21
0,66,2,25
0,258,2,29
0,322,2,33
0,34,2,33
0,98,2,37
0,162,2,41
0,18,2,61
0,82,2,61
0,274,2,61
0,338,2,4
0,306,2,16
0,10,2,24
0,74,2,28
0,266,2,32
0,330,2,36
0,394,2,36
0,298,2,56
0,362,2,56
0,26,2,64
0,282,2,10
0,346,2,14
0,58,2,18
0,122,2,22
0,314,2,26
0,378,2,30
0,6,2,34
0,70,2,34
0,38,2,58
0,294,3,-1
0,358,3,7
1,57,3,27
1,313,3,35
1,377,3,35
1,5,3,39
1,69,3,43
1,261,3,47
1,325,3,47
1,389,3,47
1,37,3,51
1,101,3,5
1,293,3,13
1,21,3,17
1,85,3,21
1,309,3,37
1,269,3,49
1,317,3,0
1,259,3,12
1,35,3,16
1,99,3,20
1,291,3,24
1,19,3,32
1,51,3,48
1,307,3,52
1,371,3,64
1,11,3,6
1,75,3,10
1,267,3,14
1,43,3,18
1,107,3,26
1,283,3,38
1,347,3,42
1,411,3,42
1,59,3,50
1,315,4,7
1,7,4,11
1,71,4,15
1,263,4,19
1,327,4,23
1,39,4,27
1,295,4,35
1,23,4,39
1,87,4,43
1,279,4,43
1,343,4,55
1,55,4,1
1,311,4,9
1,375,4,13
1,15,4,17
1,79,4,21
1,303,4,37
1,367,4,37
1,31,4,41
1,95,4,45
1,287,4,53
1,63,4,0
1,127,4,4
1,319,4,8
1,383,4,16
1,288,4,32
1,352,4,32
1,16,4,40
1,272,4,18
1,336,4,26
1,264,4,54
1,40,4,58
1,104,4,58
1,296,4,58
1,360,4,62
1,24,5,19
1,280,5,31
1,344,5,39
1,56,5,39
1,312,5,43
1,376,5,47
1,260,5,59
1,36,5,63
1,100,5,9
1,292,5,25
1,20,5,29
1,276,5,33
1,52,5,37
1,308,5,49
1,12,5,53
1,268,5,57
1,332,5,61
1,44,5,4
1,300,5,16
1,316,5,48
1,2,5,48
1,66,5,52
1,258,5,6
1,34,5,14
1,274,5,42
1,338,5,42
1,402,5,42
1,50,5,42
1,114,5,46
1,178,5,50
1,242,5,62
1,306,6,7
1,370,6,11
1,10,6,19
1,74,6,19
1,266,6,35
1,330,6,39
1,42,6,43
1,106,6,47
1,26,6,63
1,90,6,63
1,154,6,1
1,282,6,1
1,346,6,13
1,314,6,29
1,378,6,29
1,442,6,33
1,6,6,37
1,70,6,37
1,134,6,41
1,198,6,45
2,57,6,28
2,313,6,32
2,5,6,36
2,69,6,40
2,133,6,44
2,293,6,64
2,357,6,6
2,421,6,6
2,53,6,38
2,3,7,-1
2,67,7,-1
2,259,7,-1
2,323,7,-1
2,35,7,11
2,99,7,15
2,291,7,19
2,355,7,23
2,19,7,39
2,275,7,47
2,339,7,51
2,307,7,63
2,11,7,1
2,267,7,5
2,331,7,13
2,299,7,37
2,363,7,45
2,27,7,49
2,7,7,0
2,71,7,0
2,39,7,28
2,295,7,40
2,23,7,44
2,279,7,52
2,55,7,64
2,311,7,2
2,375,7,2
2,47,7,42
2,111,7,46
2,303,7,50
2,287,7,62
2,63,8,-1
2,127,8,-1
2,319,8,-1
2,383,8,-1
2,32,8,27
2,272,8,63
2,336,8,63
2,304,8,9
2,368,8,13
2,40,8,45
2,24,8,61
2,312,8,16
2,260,8,44
2,36,8,52
2,276,8,14
2,52,8,18
2,12,8,34
2,76,8,50
2,268,8,58
2,44,8,62
2,108,9,-1
2,300,9,3
2,2,9,23
2,258,9,27
2,322,9,31
2,386,9,31
2,34,9,35
2,98,9,47
2,50,9,21
2,306,9,25
2,10,9,29
2,74,9,29
2,138,9,33
2,202,9,33
2,-1,9,33
2,58,9,12
2,314,9,20
2,378,9,20
2,6,9,24
2,70,9,32
2,262,9,40
2,38,9,44
3,57,9,14
3,313,9,18
3,5,9,26
3,261,9,34
3,53,10,23
3,45,10,63
3,275,10,0
3,11,10,20
3,299,10,44
3,59,10,26
3,295,11,23
3,23,11,31
3,55,11,43
3,311,11,51
3,15,11,1
3,271,11,13
3,47,11,29
3,31,11,49
3,63,11,57
3,319,11,0
3,288,11,36
3,16,11,48
3,272,11,48
3,48,11,60
3,280,12,-1
3,312,12,19
3,376,12,23
3,4,12,27
3,68,12,43
3,132,12,43
3,308,12,33
3,372,12,33
3,274,12,2
3,338,12,14
3,298,13,7
3,282,13,19
3,346,13,23
3,294,13,13
3,358,13,17
3,422,13,21
