cold_load_temp,bias_line,band,data_path
8.1,0,all,/data/smurf_data/20201110/1604992038/outputs/1605075193_iv.npy
8.1,1,all,/data/smurf_data/20201110/1604992038/outputs/1605075448_iv.npy
8.1,2,all,/data/smurf_data/20201110/1604992038/outputs/1605075679_iv.npy
8.1,3,all,/data/smurf_data/20201110/1604992038/outputs/1605075960_iv.npy
8.1,4,all,/data/smurf_data/20201110/1604992038/outputs/1605076282_iv.npy
8.1,5,all,/data/smurf_data/20201110/1604992038/outputs/1605076527_iv.npy
9.5,0,all,/data/smurf_data/20201110/1604992038/outputs/1605078943_iv.npy
9.5,1,all,/data/smurf_data/20201110/1604992038/outputs/1605079208_iv.npy
9.5,2,all,/data/smurf_data/20201110/1604992038/outputs/1605079462_iv.npy
9.5,3,all,/data/smurf_data/20201110/1604992038/outputs/1605079761_iv.npy
9.5,4,all,/data/smurf_data/20201110/1604992038/outputs/1605080107_iv.npy
9.5,5,all,/data/smurf_data/20201110/1604992038/outputs/1605080389_iv.npy
11,0,all,/data/smurf_data/20201110/1604992038/outputs/1605083334_iv.npy
11,1,all,/data/smurf_data/20201110/1604992038/outputs/1605083628_iv.npy
11,2,all,/data/smurf_data/20201110/1604992038/outputs/1605083920_iv.npy
11,3,all,/data/smurf_data/20201110/1604992038/outputs/1605084259_iv.npy
11,4,all,/data/smurf_data/20201110/1604992038/outputs/1605084631_iv.npy
11,5,all,/data/smurf_data/20201110/1604992038/outputs/1605084933_iv.npy
12.5,0,all,/data/smurf_data/20201110/1604992038/outputs/1605088058_iv.npy
12.5,1,all,/data/smurf_data/20201110/1604992038/outputs/1605088344_iv.npy
12.5,2,all,/data/smurf_data/20201110/1604992038/outputs/1605088591_iv.npy
12.5,3,all,/data/smurf_data/20201110/1604992038/outputs/1605088862_iv.npy
12.5,4,all,/data/smurf_data/20201110/1604992038/outputs/1605089198_iv.npy
12.5,5,all,/data/smurf_data/20201110/1604992038/outputs/1605089437_iv.npy
14,0,all,/data/smurf_data/20201110/1604992038/outputs/1605092573_iv.npy
14,1,all,/data/smurf_data/20201110/1604992038/outputs/1605092847_iv.npy
14,2,all,/data/smurf_data/20201110/1604992038/outputs/1605093072_iv.npy
14,3,all,/data/smurf_data/20201110/1604992038/outputs/1605093318_iv.npy
14,4,all,/data/smurf_data/20201110/1604992038/outputs/1605093624_iv.npy
14,5,all,/data/smurf_data/20201110/1604992038/outputs/1605093841_iv.npy
15.5,0,all,/data/smurf_data/20201110/1604992038/outputs/1605097066_iv.npy
15.5,1,all,/data/smurf_data/20201110/1604992038/outputs/1605097316_iv.npy
15.5,2,all,/data/smurf_data/20201110/1604992038/outputs/1605097523_iv.npy
15.5,3,all,/data/smurf_data/20201110/1604992038/outputs/1605097749_iv.npy
15.5,4,all,/data/smurf_data/20201110/1604992038/outputs/1605098058_iv.npy
15.5,5,all,/data/smurf_data/20201110/1604992038/outputs/1605098270_iv.npy
17,0,all,/data/smurf_data/20201110/1604992038/outputs/1605101529_iv.npy
17,1,all,/data/smurf_data/20201110/1604992038/outputs/1605101782_iv.npy
17,2,all,/data/smurf_data/20201110/1604992038/outputs/1605101983_iv.npy
17,3,all,/data/smurf_data/20201110/1604992038/outputs/1605102205_iv.npy
17,4,all,/data/smurf_data/20201110/1604992038/outputs/1605102508_iv.npy
17,5,all,/data/smurf_data/20201110/1604992038/outputs/1605102718_iv.npy
18.5,0,all,/data/smurf_data/20201110/1604992038/outputs/1605106119_iv.npy
18.5,1,all,/data/smurf_data/20201110/1604992038/outputs/1605106358_iv.npy
18.5,2,all,/data/smurf_data/20201110/1604992038/outputs/1605106560_iv.npy
18.5,3,all,/data/smurf_data/20201110/1604992038/outputs/1605106798_iv.npy
18.5,4,all,/data/smurf_data/20201110/1604992038/outputs/1605107120_iv.npy
18.5,5,all,/data/smurf_data/20201110/1604992038/outputs/1605107327_iv.npy
20,0,all,/data/smurf_data/20201110/1604992038/outputs/1605110816_iv.npy
20,1,all,/data/smurf_data/20201110/1604992038/outputs/1605111050_iv.npy
20,2,all,/data/smurf_data/20201110/1604992038/outputs/1605111240_iv.npy
20,3,all,/data/smurf_data/20201110/1604992038/outputs/1605111461_iv.npy
20,4,all,/data/smurf_data/20201110/1604992038/outputs/1605111765_iv.npy
20,5,all,/data/smurf_data/20201110/1604992038/outputs/1605111974_iv.npy
