smurf_band,smurf_chan,mux_band,mux_pad
1,160,4,12
1,288,4,16
1,272,4,36
1,336,4,40
1,334,4,52
1,368,4,56
1,8,4,60
1,392,4,10
1,40,4,14
1,104,4,18
1,280,4,46
1,344,4,50
1,120,4,58
3,312,11,14
3,340,12,7
3,52,12,15
3,308,12,23
3,76,12,35
3,140,12,39
3,268,12,43
3,332,12,47
3,364,12,1
3,284,12,17
3,348,12,21
3,60,12,25
3,380,12,37
3,2,12,45
3,66,12,49
3,290,12,0
3,354,12,4
3,18,12,16
3,274,12,20
3,50,12,24
3,306,12,40
3,370,12,44
3,10,12,52
3,106,12,6
3,186,12,46
