"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.60000000000E+009, -1.81513208779E-001, +1.37216892677E-001
+5.60002000200E+009, -1.79472406028E-001, +1.40511138712E-001
+5.60004000400E+009, -1.77474926441E-001, +1.43589048583E-001
+5.60006000600E+009, -1.75413724104E-001, +1.46226224948E-001
+5.60008000800E+009, -1.73416432689E-001, +1.49025276507E-001
+5.60010001000E+009, -1.71460585628E-001, +1.51556894484E-001
+5.60012001200E+009, -1.69297201485E-001, +1.54002324155E-001
+5.60014001400E+009, -1.67451665166E-001, +1.56259178435E-001
+5.60016001600E+009, -1.65519410202E-001, +1.58334316245E-001
+5.60018001800E+009, -1.63471469916E-001, +1.60546149573E-001
+5.60020002000E+009, -1.61518807547E-001, +1.62546269754E-001
+5.60022002200E+009, -1.59626558759E-001, +1.64530862357E-001
+5.60024002400E+009, -1.57680428825E-001, +1.66416347621E-001
+5.60026002600E+009, -1.55746382807E-001, +1.68242041635E-001
+5.60028002800E+009, -1.53841205723E-001, +1.69920347878E-001
+5.60030003000E+009, -1.51917717895E-001, +1.71740440068E-001
+5.60032003200E+009, -1.49958001286E-001, +1.73265357427E-001
+5.60034003400E+009, -1.48068638119E-001, +1.74998178437E-001
+5.60036003600E+009, -1.46190173574E-001, +1.76637503514E-001
+5.60038003800E+009, -1.44270753728E-001, +1.78168209393E-001
+5.60040004000E+009, -1.42337944275E-001, +1.79722928143E-001
+5.60042004200E+009, -1.40364667904E-001, +1.81192561050E-001
+5.60044004400E+009, -1.38382253131E-001, +1.82700585627E-001
+5.60046004600E+009, -1.36490037858E-001, +1.84082181441E-001
+5.60048004800E+009, -1.34582667742E-001, +1.85504542799E-001
+5.60050005001E+009, -1.32701592562E-001, +1.86873545093E-001
+5.60052005201E+009, -1.30763613277E-001, +1.88090694471E-001
+5.60054005401E+009, -1.28809146030E-001, +1.89537634300E-001
+5.60056005601E+009, -1.26837067709E-001, +1.90766775636E-001
+5.60058005801E+009, -1.24778959939E-001, +1.92103004568E-001
+5.60060006001E+009, -1.22838837444E-001, +1.93380939228E-001
+5.60062006201E+009, -1.20846574511E-001, +1.94570836320E-001
+5.60064006401E+009, -1.18918050790E-001, +1.95647531993E-001
+5.60066006601E+009, -1.16774520311E-001, +1.96810814453E-001
+5.60068006801E+009, -1.14856361371E-001, +1.97937940612E-001
+5.60070007001E+009, -1.12765966931E-001, +1.99128230109E-001
+5.60072007201E+009, -1.10786788625E-001, +2.00222466995E-001
+5.60074007401E+009, -1.08686081785E-001, +2.01372903148E-001
+5.60076007601E+009, -1.06604457684E-001, +2.02422047125E-001
+5.60078007801E+009, -1.04542913983E-001, +2.03428764721E-001
+5.60080008001E+009, -1.02458832864E-001, +2.04525616400E-001
+5.60082008201E+009, -1.00303246971E-001, +2.05573081007E-001
+5.60084008401E+009, -9.81598635994E-002, +2.06542585666E-001
+5.60086008601E+009, -9.60179106013E-002, +2.07489007897E-001
+5.60088008801E+009, -9.37419840047E-002, +2.08571186134E-001
+5.60090009001E+009, -9.15364215414E-002, +2.09415909337E-001
+5.60092009201E+009, -8.92863763654E-002, +2.10460926434E-001
+5.60094009401E+009, -8.70265090240E-002, +2.11444539424E-001
+5.60096009601E+009, -8.47099865722E-002, +2.12171183065E-001
+5.60098009801E+009, -8.23433613771E-002, +2.13063277931E-001
+5.60100010001E+009, -7.99179288282E-002, +2.13934530481E-001
+5.60102010201E+009, -7.73816697543E-002, +2.14871977395E-001
+5.60104010401E+009, -7.48975345070E-002, +2.15630876006E-001
+5.60106010601E+009, -7.23353742784E-002, +2.16470701147E-001
