"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.20000000000E+009, +1.71929510934E-001, -2.25186583245E-001
+5.20002000200E+009, +1.69234007600E-001, -2.26916591711E-001
+5.20004000400E+009, +1.66336360155E-001, -2.28629512675E-001
+5.20006000600E+009, +1.63491909774E-001, -2.30184696290E-001
+5.20008000800E+009, +1.60442505165E-001, -2.31823676017E-001
+5.20010001000E+009, +1.57290677012E-001, -2.33396134934E-001
+5.20012001200E+009, +1.53950166786E-001, -2.34981909358E-001
+5.20014001400E+009, +1.50563404561E-001, -2.36582471177E-001
+5.20016001600E+009, +1.46792172772E-001, -2.38016118932E-001
+5.20018001800E+009, +1.42712319836E-001, -2.39290504072E-001
+5.20020002000E+009, +1.38387498084E-001, -2.40565686439E-001
+5.20022002200E+009, +1.33673865524E-001, -2.41759388854E-001
+5.20024002400E+009, +1.28552170462E-001, -2.42698786281E-001
+5.20026002600E+009, +1.22308942977E-001, -2.43343195614E-001
+5.20028002800E+009, +1.15391093084E-001, -2.43425390268E-001
+5.20030003000E+009, +1.06758771418E-001, -2.42412202774E-001
+5.20032003200E+009, +9.56063789873E-002, -2.38985766299E-001
+5.20034003400E+009, +7.93258873582E-002, -2.28094519457E-001
+5.20036003600E+009, +6.34786399675E-002, -1.83759292558E-001
+5.20038003800E+009, +9.65935912945E-002, -1.32538926034E-001
+5.20040004000E+009, +1.33157280913E-001, -1.24934862615E-001
+5.20042004200E+009, +1.59070055321E-001, -1.33743621673E-001
+5.20044004400E+009, +1.75131280904E-001, -1.48060827664E-001
+5.20046004600E+009, +1.84034946258E-001, -1.64192850772E-001
+5.20048004800E+009, +1.87321242792E-001, -1.79722528905E-001
+5.20050005001E+009, +1.86943077974E-001, -1.93473948537E-001
+5.20052005201E+009, +1.84223769190E-001, -2.05474896351E-001
+5.20054005401E+009, +1.79926727533E-001, -2.15552022961E-001
+5.20056005601E+009, +1.74975157948E-001, -2.23934370029E-001
+5.20058005801E+009, +1.69619418731E-001, -2.30917908521E-001
+5.20060006001E+009, +1.64275424876E-001, -2.36684460688E-001
+5.20062006201E+009, +1.59141143088E-001, -2.41354598040E-001
+5.20064006401E+009, +1.54142540073E-001, -2.45364934688E-001
+5.20066006601E+009, +1.49593182687E-001, -2.48876486336E-001
+5.20068006801E+009, +1.45086894991E-001, -2.51785244927E-001
+5.20070007001E+009, +1.40881383637E-001, -2.54411754782E-001
+5.20072007201E+009, +1.36938135150E-001, -2.56744677345E-001
+5.20074007401E+009, +1.33002811494E-001, -2.58900510729E-001
+5.20076007601E+009, +1.29383638021E-001, -2.60691491087E-001
+5.20078007801E+009, +1.25785698812E-001, -2.62411234313E-001
+5.20080008001E+009, +1.22411697342E-001, -2.64115399396E-001
+5.20082008201E+009, +1.18992563278E-001, -2.65726151625E-001
+5.20084008401E+009, +1.15698180874E-001, -2.67009637408E-001
+5.20086008601E+009, +1.12590161672E-001, -2.68460049071E-001
+5.20088008801E+009, +1.09284337316E-001, -2.69674285018E-001
+5.20090009001E+009, +1.06206945027E-001, -2.70855915317E-001
+5.20092009201E+009, +1.03155096873E-001, -2.71999400645E-001
+5.20094009401E+009, +1.00136105427E-001, -2.73163581359E-001
+5.20096009601E+009, +9.71442185768E-002, -2.74091520824E-001
+5.20098009801E+009, +9.41326333274E-002, -2.75154632115E-001
+5.20100010001E+009, +9.12119066437E-002, -2.76123091144E-001
+5.20102010201E+009, +8.82642932685E-002, -2.77136459052E-001
+5.20104010401E+009, +8.53811822684E-002, -2.77992405951E-001
+5.20106010601E+009, +8.23880431062E-002, -2.78816536025E-001
+5.20108010801E+009, +7.94863433301E-002, -2.79589618337E-001
+5.20110011001E+009, +7.65641766883E-002, -2.80348318043E-001
+5.20112011201E+009, +7.37028127578E-002, -2.81110600532E-001
+5.20114011401E+009, +7.07235321735E-002, -2.81829682417E-001
+5.20116011601E+009, +6.78678559351E-002, -2.82459760013E-001
+5.20118011801E+009, +6.50297864044E-002, -2.83032972325E-001
+5.20120012001E+009, +6.21539188156E-002, -2.83717057012E-001
+5.20122012201E+009, +5.92782517285E-002, -2.84153582683E-001
+5.20124012401E+009, +5.63201941647E-002, -2.84840729169E-001
+5.20126012601E+009, +5.34368261935E-002, -2.85334918634E-001
+5.20128012801E+009, +5.05604261819E-002, -2.85836241596E-001
+5.20130013001E+009, +4.75379607577E-002, -2.86143739308E-001
+5.20132013201E+009, +4.46021018087E-002, -2.86679710679E-001
+5.20134013401E+009, +4.15999396152E-002, -2.87020331495E-001
+5.20136013601E+009, +3.86960641806E-002, -2.87390156783E-001
+5.20138013801E+009, +3.56432296912E-002, -2.87759566237E-001
+5.20140014001E+009, +3.25633514270E-002, -2.88103491354E-001
+5.20142014201E+009, +2.95174863080E-002, -2.88214392914E-001
+5.20144014401E+009, +2.64334797347E-002, -2.88415511377E-001
+5.20146014601E+009, +2.33003164481E-002, -2.88634910460E-001
+5.20148014801E+009, +2.01279672776E-002, -2.88770706212E-001
+5.20150015002E+009, +1.68981599097E-002, -2.88828576567E-001
+5.20152015202E+009, +1.34965171124E-002, -2.88923142190E-001
+5.20154015402E+009, +1.03201435791E-002, -2.88859954381E-001
+5.20156015602E+009, +6.77731835989E-003, -2.88859562367E-001
+5.20158015802E+009, +3.28504591615E-003, -2.88638805252E-001
+5.20160016002E+009, -3.96457790149E-004, -2.88394539012E-001
+5.20162016202E+009, -4.09496371333E-003, -2.88010144466E-001
+5.20164016402E+009, -7.99400861725E-003, -2.87605733392E-001
+5.20166016602E+009, -1.20174019137E-002, -2.87074808302E-001
+5.20168016802E+009, -1.61677520382E-002, -2.86267111512E-001
+5.20170017002E+009, -2.07601983916E-002, -2.85455524789E-001
+5.20172017202E+009, -2.56390474269E-002, -2.84078324404E-001
+5.20174017402E+009, -3.08601060151E-002, -2.82488811058E-001
+5.20176017602E+009, -3.65264963851E-002, -2.80190359353E-001
+5.20178017802E+009, -4.31766864431E-002, -2.77070041262E-001
+5.20180018002E+009, -5.09575446353E-002, -2.71815201151E-001
+5.20182018202E+009, -5.99717903333E-002, -2.63064936951E-001
+5.20184018402E+009, -6.98874476995E-002, -2.42587242233E-001
+5.20186018602E+009, -5.76481536391E-002, -1.94922952012E-001
+5.20188018802E+009, -1.02519920250E-002, -1.73415387165E-001
+5.20190019002E+009, +2.31769679952E-002, -1.84226213826E-001
+5.20192019202E+009, +4.03860812800E-002, -2.03669909189E-001
+5.20194019402E+009, +4.64151737530E-002, -2.23751907830E-001
+5.20196019602E+009, +4.51308451961E-002, -2.41164341436E-001
+5.20198019802E+009, +3.97714187116E-002, -2.55005315597E-001
+5.20200020002E+009, +3.23735043174E-002, -2.65452101562E-001
+5.20202020202E+009, +2.41955522407E-002, -2.72940277875E-001
+5.20204020402E+009, +1.59450125429E-002, -2.78373216626E-001
+5.20206020602E+009, +7.98723882996E-003, -2.82088258316E-001
+5.20208020802E+009, +8.86984541951E-004, -2.84446904849E-001
+5.20210021002E+009, -5.88930313010E-003, -2.86150246981E-001
+5.20212021202E+009, -1.20516942533E-002, -2.87296219058E-001
+5.20214021402E+009, -1.76360758332E-002, -2.87786562405E-001
+5.20216021602E+009, -2.28650964193E-002, -2.88194822358E-001
+5.20218021802E+009, -2.76465934293E-002, -2.88376773922E-001
+5.20220022002E+009, -3.21057030484E-002, -2.88307995157E-001
+5.20222022202E+009, -3.63452606851E-002, -2.88157670905E-001
+5.20224022402E+009, -4.03732590980E-002, -2.87898573558E-001
+5.20226022602E+009, -4.42268207478E-002, -2.87612319618E-001
+5.20228022802E+009, -4.78184006969E-002, -2.87217014349E-001
+5.20230023002E+009, -5.14528202592E-002, -2.86810785971E-001
+5.20232023202E+009, -5.48377003782E-002, -2.86178379325E-001
+5.20234023402E+009, -5.81192303970E-002, -2.85588569446E-001
+5.20236023602E+009, -6.14195163522E-002, -2.85060901100E-001
+5.20238023802E+009, -6.45807574957E-002, -2.84469377133E-001
+5.20240024002E+009, -6.76887045425E-002, -2.83863800740E-001
+5.20242024202E+009, -7.06722574668E-002, -2.83070899894E-001
+5.20244024402E+009, -7.36603168521E-002, -2.82453294632E-001
+5.20246024602E+009, -7.65885971547E-002, -2.81683207329E-001
+5.20248024802E+009, -7.94623488038E-002, -2.80855267455E-001
+5.20250025003E+009, -8.23493559037E-002, -2.80109534283E-001
+5.20252025203E+009, -8.51740030476E-002, -2.79430076941E-001
+5.20254025403E+009, -8.79887572921E-002, -2.78627334517E-001
+5.20256025603E+009, -9.08397411472E-002, -2.77785368826E-001
+5.20258025803E+009, -9.34935264990E-002, -2.76760039140E-001
+5.20260026003E+009, -9.60767627267E-002, -2.76000833003E-001
+5.20262026203E+009, -9.88744853640E-002, -2.75055651323E-001
+5.20264026403E+009, -1.01475541456E-001, -2.74153223815E-001
+5.20266026603E+009, -1.04174360208E-001, -2.73165963691E-001
+5.20268026803E+009, -1.06762339062E-001, -2.72220284689E-001
+5.20270027003E+009, -1.09353566672E-001, -2.71231909995E-001
+5.20272027203E+009, -1.11980422860E-001, -2.70128900993E-001
+5.20274027403E+009, -1.14506501124E-001, -2.69142721969E-001
+5.20276027603E+009, -1.17032744705E-001, -2.68134866853E-001
+5.20278027803E+009, -1.19700321727E-001, -2.67089141185E-001
+5.20280028003E+009, -1.22027212007E-001, -2.65890900952E-001
+5.20282028203E+009, -1.24552053670E-001, -2.64785771746E-001
+5.20284028403E+009, -1.27105718145E-001, -2.63695033532E-001
+5.20286028603E+009, -1.29530571533E-001, -2.62454939424E-001
+5.20288028803E+009, -1.31930209434E-001, -2.61207714675E-001
+5.20290029003E+009, -1.34408312414E-001, -2.60069313975E-001
+5.20292029203E+009, -1.36811577081E-001, -2.58826982871E-001
+5.20294029403E+009, -1.39204143592E-001, -2.57603569621E-001
+5.20296029603E+009, -1.41619212692E-001, -2.56371152424E-001
+5.20298029803E+009, -1.43999843023E-001, -2.55147573569E-001
+5.20300030003E+009, -1.46220598933E-001, -2.53822347873E-001
+5.20302030203E+009, -1.48677072636E-001, -2.52452532425E-001
+5.20304030403E+009, -1.51024158508E-001, -2.51125703013E-001
+5.20306030603E+009, -1.53232419241E-001, -2.49654815303E-001
+5.20308030803E+009, -1.55535141637E-001, -2.48289227598E-001
+5.20310031003E+009, -1.57820915975E-001, -2.46948511097E-001
+5.20312031203E+009, -1.60145270029E-001, -2.45514597435E-001
