"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+009, +3.05146010782E-001, -1.65225460789E-001
+5.00002000200E+009, +2.99740903206E-001, -1.69461756905E-001
+5.00004000400E+009, +2.93480104053E-001, -1.73730651301E-001
+5.00006000600E+009, +2.86578581061E-001, -1.77941732381E-001
+5.00008000800E+009, +2.78847605757E-001, -1.82025258515E-001
+5.00010001000E+009, +2.69761595015E-001, -1.86048553081E-001
+5.00012001200E+009, +2.59293460274E-001, -1.89551981474E-001
+5.00014001400E+009, +2.47204407308E-001, -1.92555631113E-001
+5.00016001600E+009, +2.32668288176E-001, -1.94486623490E-001
+5.00018001800E+009, +2.15192435094E-001, -1.94408829987E-001
+5.00020002000E+009, +1.93898236958E-001, -1.91101901173E-001
+5.00022002200E+009, +1.68222918477E-001, -1.81335269407E-001
+5.00024002400E+009, +1.39225268238E-001, -1.60828557529E-001
+5.00026002600E+009, +1.11496059087E-001, -1.21621854519E-001
+5.00028002800E+009, +9.99145908897E-002, -6.32230765162E-002
+5.00030003000E+009, +1.18376272147E-001, +1.25983939722E-003
+5.00032003200E+009, +1.62487558416E-001, +4.72225500122E-002
+5.00034003400E+009, +2.14481346039E-001, +6.73935938906E-002
+5.00036003600E+009, +2.63990938079E-001, +6.65540588201E-002
+5.00038003800E+009, +3.03267488074E-001, +5.18622382764E-002
+5.00040004000E+009, +3.31597327382E-001, +3.04930048356E-002
+5.00042004200E+009, +3.50874058564E-001, +6.59562317610E-003
+5.00044004400E+009, +3.62839946294E-001, -1.67296175421E-002
+5.00046004600E+009, +3.69563819066E-001, -3.79597807970E-002
+5.00048004800E+009, +3.72626127382E-001, -5.67397351214E-002
+5.00050005001E+009, +3.73529088333E-001, -7.34216740169E-002
+5.00052005201E+009, +3.72954157238E-001, -8.79596643938E-002
+5.00054005401E+009, +3.71458025059E-001, -1.00573818666E-001
+5.00056005601E+009, +3.69267342632E-001, -1.11803591166E-001
+5.00058005801E+009, +3.66762187425E-001, -1.21793677404E-001
+5.00060006001E+009, +3.64027624642E-001, -1.30597260153E-001
+5.00062006201E+009, +3.61089592783E-001, -1.38711884581E-001
+5.00064006401E+009, +3.58192494046E-001, -1.46101188402E-001
+5.00066006601E+009, +3.55291507976E-001, -1.52914904411E-001
+5.00068006801E+009, +3.52354213632E-001, -1.59257831819E-001
+5.00070007001E+009, +3.49424046313E-001, -1.65184728686E-001
+5.00072007201E+009, +3.46547122501E-001, -1.70693419159E-001
+5.00074007401E+009, +3.43627501800E-001, -1.75854613215E-001
+5.00076007601E+009, +3.40795798150E-001, -1.80826378163E-001
+5.00078007801E+009, +3.37867545504E-001, -1.85656721903E-001
+5.00080008001E+009, +3.35063327299E-001, -1.90093629623E-001
+5.00082008201E+009, +3.32157274383E-001, -1.94556866753E-001
+5.00084008401E+009, +3.29339729202E-001, -1.98800114618E-001
+5.00086008601E+009, +3.26468844597E-001, -2.02762943165E-001
+5.00088008801E+009, +3.23611429702E-001, -2.06641760458E-001
+5.00090009001E+009, +3.20770308224E-001, -2.10482996212E-001
+5.00092009201E+009, +3.17979068044E-001, -2.14303022291E-001
+5.00094009401E+009, +3.15169390897E-001, -2.17906435728E-001
+5.00096009601E+009, +3.12349352282E-001, -2.21488664059E-001
+5.00098009801E+009, +3.09560740004E-001, -2.24954594706E-001
+5.00100010001E+009, +3.06638275614E-001, -2.28207932138E-001
+5.00102010201E+009, +3.03666900702E-001, -2.31646958484E-001
+5.00104010401E+009, +3.00885457191E-001, -2.34931981497E-001
+5.00106010601E+009, +2.98070889491E-001, -2.38146712883E-001
+5.00108010801E+009, +2.94992445735E-001, -2.41366052451E-001
+5.00110011001E+009, +2.92104916789E-001, -2.44462865036E-001
+5.00112011201E+009, +2.89004482116E-001, -2.47603821354E-001
+5.00114011401E+009, +2.86170003645E-001, -2.50590442435E-001
