"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.00000000000E+009, -2.74292539173E-001, -6.36668761871E-001
+4.00040004000E+009, -3.65881739564E-001, -5.90267473922E-001
+4.00080008001E+009, -4.50026431012E-001, -5.29850591368E-001
+4.00120012001E+009, -5.23652082391E-001, -4.57654432429E-001
+4.00160016002E+009, -5.87067917876E-001, -3.75338579248E-001
+4.00200020002E+009, -6.36864825805E-001, -2.84862062834E-001
+4.00240024002E+009, -6.73124785765E-001, -1.87019782749E-001
+4.00280028003E+009, -6.93998805101E-001, -8.46507912511E-002
+4.00320032003E+009, -6.99507256700E-001, +1.93254473688E-002
+4.00360036004E+009, -6.89305559267E-001, +1.23341235319E-001
+4.00400040004E+009, -6.63940540651E-001, +2.25121159051E-001
+4.00440044004E+009, -6.23295555055E-001, +3.21789856228E-001
+4.00480048005E+009, -5.68275368892E-001, +4.11747023176E-001
+4.00520052005E+009, -5.00748619700E-001, +4.92365192666E-001
+4.00560056006E+009, -4.21281678278E-001, +5.61537979185E-001
+4.00600060006E+009, -3.31852553896E-001, +6.18750335425E-001
+4.00640064006E+009, -2.34998476096E-001, +6.61511094821E-001
+4.00680068007E+009, -1.31505497440E-001, +6.88853601940E-001
+4.00720072007E+009, -2.43389871739E-002, +6.99120613063E-001
+4.00760076008E+009, +8.48398187275E-002, +6.91073688333E-001
+4.00800080008E+009, +1.92898895993E-001, +6.60480644087E-001
+4.00840084008E+009, +2.89296452744E-001, +5.83177751342E-001
+4.00880088009E+009, +2.58665456112E-001, +6.23626621568E-001
+4.00920092009E+009, +4.34730181543E-001, +5.72272154248E-001
+4.00960096010E+009, +5.27543477210E-001, +4.85598255059E-001
+4.01000100010E+009, +5.97777596791E-001, +3.91207835352E-001
+4.01040104010E+009, +6.50439666834E-001, +2.88622404278E-001
+4.01080108011E+009, +6.85478047218E-001, +1.76710525765E-001
+4.01120112011E+009, +6.96180777858E-001, +5.26610822671E-002
+4.01160116012E+009, +6.33269321180E-001, -9.56316791998E-002
+4.01200120012E+009, +7.18764276766E-001, -1.64398091890E-002
+4.01240124012E+009, +6.84923477562E-001, -2.33761814177E-001
+4.01280128013E+009, +3.66795944029E-001, -1.61658366839E-001
+4.01320132013E+009, +6.27341497089E-001, -3.67863512274E-001
+4.01360136014E+009, +5.42739469492E-001, -4.88322878860E-001
+4.01400140014E+009, +4.42723840957E-001, -5.79969760667E-001
+4.01440144014E+009, +3.05076089614E-001, -6.56287897002E-001
+4.01480148015E+009, +2.00199703726E-001, -3.50432614088E-001
+4.01520152015E+009, +2.17102629317E-001, -6.83533646868E-001
+4.01560156016E+009, +7.13497462962E-002, -7.25165143126E-001
