"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.60000000000E+009, +2.48462656053E-002, -2.67039074660E-001
+5.60002000200E+009, +1.55050658751E-002, -2.62752039372E-001
+5.60004000400E+009, +5.14598367951E-003, -2.55197533385E-001
+5.60006000600E+009, -6.15131541443E-003, -2.41569628402E-001
+5.60008000800E+009, -1.45666389377E-002, -2.17507972493E-001
+5.60010001000E+009, -9.55375878362E-003, -1.83658210341E-001
+5.60012001200E+009, +1.33843111946E-002, -1.55454238991E-001
+5.60014001400E+009, +4.19964549875E-002, -1.44268660446E-001
+5.60016001600E+009, +6.76411075470E-002, -1.45936265165E-001
+5.60018001800E+009, +8.67775393702E-002, -1.55067501544E-001
+5.60020002000E+009, +1.00005295554E-001, -1.67942778812E-001
+5.60022002200E+009, +1.07786877158E-001, -1.81774596085E-001
+5.60024002400E+009, +1.11462780843E-001, -1.95386159150E-001
+5.60026002600E+009, +1.11948634642E-001, -2.07812439253E-001
+5.60028002800E+009, +1.10152725747E-001, -2.19069856877E-001
+5.60030003000E+009, +1.07175232184E-001, -2.28575538056E-001
+5.60032003200E+009, +1.03251136761E-001, -2.36917257413E-001
+5.60034003400E+009, +9.86224698177E-002, -2.43815655399E-001
+5.60036003600E+009, +9.40226826234E-002, -2.49777744852E-001
+5.60038003800E+009, +8.92613019082E-002, -2.54697083476E-001
+5.60040004000E+009, +8.45030358770E-002, -2.58939858094E-001
+5.60042004200E+009, +7.99572175158E-002, -2.62410738210E-001
+5.60044004400E+009, +7.55555459997E-002, -2.65532340709E-001
+5.60046004600E+009, +7.12374539018E-002, -2.68174202711E-001
+5.60048004800E+009, +6.71082698725E-002, -2.70520500996E-001
+5.60050005001E+009, +6.30174250021E-002, -2.72594131511E-001
+5.60052005201E+009, +5.90197516786E-002, -2.74332862524E-001
+5.60054005401E+009, +5.52557475172E-002, -2.76080319040E-001
+5.60056005601E+009, +5.14921704085E-002, -2.77517212178E-001
+5.60058005801E+009, +4.78704180744E-002, -2.78966053012E-001
+5.60060006001E+009, +4.43335607512E-002, -2.80094293277E-001
+5.60062006201E+009, +4.05890113901E-002, -2.81303543501E-001
+5.60064006401E+009, +3.73186450258E-002, -2.82203601589E-001
+5.60066006601E+009, +3.37623669399E-002, -2.83099704548E-001
+5.60068006801E+009, +3.04434762937E-002, -2.83883755379E-001
+5.60070007001E+009, +2.71437697573E-002, -2.84771131859E-001
+5.60072007201E+009, +2.37581169686E-002, -2.85452379384E-001
+5.60074007401E+009, +2.04596184482E-002, -2.86093996665E-001
+5.60076007601E+009, +1.71214965386E-002, -2.86668707950E-001
+5.60078007801E+009, +1.38257053018E-002, -2.87294397437E-001
+5.60080008001E+009, +1.05831209979E-002, -2.87897813287E-001
+5.60082008201E+009, +7.23069299556E-003, -2.88172053591E-001
+5.60084008401E+009, +4.00660584317E-003, -2.88701805751E-001
+5.60086008601E+009, +6.46372261276E-004, -2.89105796322E-001
+5.60088008801E+009, -2.52707567650E-003, -2.89552603941E-001
+5.60090009001E+009, -5.85700177191E-003, -2.89706955702E-001
+5.60092009201E+009, -9.24006910703E-003, -2.90059313675E-001
+5.60094009401E+009, -1.27057336299E-002, -2.90291619034E-001
+5.60096009601E+009, -1.61009678726E-002, -2.90414569133E-001
+5.60098009801E+009, -1.93683979612E-002, -2.90705223829E-001
+5.60100010001E+009, -2.28265701296E-002, -2.90734237372E-001
+5.60102010201E+009, -2.64400816691E-002, -2.90947759134E-001
+5.60104010401E+009, -2.99042910902E-002, -2.90855111832E-001
+5.60106010601E+009, -3.34284252008E-002, -2.90889960755E-001
+5.60108010801E+009, -3.71915531210E-002, -2.90770930902E-001
+5.60110011001E+009, -4.08690369108E-002, -2.90629080857E-001
+5.60112011201E+009, -4.48599078648E-002, -2.90547538177E-001
+5.60114011401E+009, -4.86709394043E-002, -2.90260966870E-001
+5.60116011601E+009, -5.27679011507E-002, -2.90133524382E-001
+5.60118011801E+009, -5.69171627807E-002, -2.89676704889E-001
+5.60120012001E+009, -6.12116558891E-002, -2.89131740521E-001
+5.60122012201E+009, -6.57318225280E-002, -2.88775732336E-001
+5.60124012401E+009, -7.03566723502E-002, -2.88087841349E-001
+5.60126012601E+009, -7.51787964484E-002, -2.87243889738E-001
+5.60128012801E+009, -8.03186479620E-002, -2.86284530174E-001
+5.60130013001E+009, -8.55895348704E-002, -2.85143358908E-001
+5.60132013201E+009, -9.12543253428E-002, -2.83756073201E-001
+5.60134013401E+009, -9.73669008799E-002, -2.82060227131E-001
+5.60136013601E+009, -1.03940077448E-001, -2.79847915176E-001
+5.60138013801E+009, -1.10944754935E-001, -2.77005416557E-001
+5.60140014001E+009, -1.18796680816E-001, -2.73550174965E-001
+5.60142014201E+009, -1.27068501742E-001, -2.69002189443E-001
+5.60144014401E+009, -1.36162041443E-001, -2.62816848954E-001
+5.60146014601E+009, -1.46303111527E-001, -2.54152321441E-001
+5.60148014801E+009, -1.56872380406E-001, -2.41750736413E-001
+5.60150015002E+009, -1.67082349605E-001, -2.22843050349E-001
+5.60152015202E+009, -1.72823639174E-001, -1.93791818482E-001
+5.60154015402E+009, -1.64777852747E-001, -1.56592741506E-001
+5.60156015602E+009, -1.37996619854E-001, -1.23405973070E-001
+5.60158015802E+009, -1.01045512315E-001, -1.07343367166E-001
+5.60160016002E+009, -6.74128996633E-002, -1.08015042876E-001
+5.60162016202E+009, -4.16325019177E-002, -1.18710833819E-001
+5.60164016402E+009, -2.38587804136E-002, -1.34469713526E-001
+5.60166016602E+009, -1.32361444642E-002, -1.51852406812E-001
+5.60168016802E+009, -8.15596060371E-003, -1.68940194645E-001
+5.60170017002E+009, -7.38632487039E-003, -1.84004121676E-001
+5.60172017202E+009, -9.24503751326E-003, -1.97580414841E-001
+5.60174017402E+009, -1.32334704543E-002, -2.09074152382E-001
+5.60176017602E+009, -1.83867185053E-002, -2.18755442302E-001
+5.60178017802E+009, -2.43407804648E-002, -2.26739138043E-001
+5.60180018002E+009, -3.03204253300E-002, -2.33260433811E-001
+5.60182018202E+009, -3.65088147806E-002, -2.38374927598E-001
+5.60184018402E+009, -4.26593773286E-002, -2.42524841130E-001
+5.60186018602E+009, -4.85699401961E-002, -2.45788926439E-001
+5.60188018802E+009, -5.43685206116E-002, -2.48510477345E-001
+5.60190019002E+009, -5.99198641124E-002, -2.50764020921E-001
+5.60192019202E+009, -6.53893314856E-002, -2.52406221670E-001
+5.60194019402E+009, -7.04553902368E-002, -2.53751261217E-001
+5.60196019602E+009, -7.54058186415E-002, -2.54637329059E-001
+5.60198019802E+009, -8.03994759942E-002, -2.55458383739E-001
+5.60200020002E+009, -8.51943838717E-002, -2.55988994166E-001
+5.60202020202E+009, -9.00327422383E-002, -2.56177747678E-001
+5.60204020402E+009, -9.45537632830E-002, -2.56343272210E-001
+5.60206020602E+009, -9.93639573308E-002, -2.56128517798E-001
+5.60208020802E+009, -1.03809618802E-001, -2.55969520660E-001
+5.60210021002E+009, -1.08285134123E-001, -2.55814988389E-001
+5.60212021202E+009, -1.12841341934E-001, -2.55196670429E-001
+5.60214021402E+009, -1.17374835933E-001, -2.54693371225E-001
+5.60216021602E+009, -1.22157856232E-001, -2.53984074268E-001
+5.60218021802E+009, -1.26923072968E-001, -2.53123668428E-001
+5.60220022002E+009, -1.31639884503E-001, -2.52142266486E-001
+5.60222022202E+009, -1.36536176086E-001, -2.50956926541E-001
+5.60224022402E+009, -1.41640553221E-001, -2.49547112111E-001
+5.60226022602E+009, -1.46928547652E-001, -2.48025962317E-001
+5.60228022802E+009, -1.52416670984E-001, -2.46216321807E-001
+5.60230023002E+009, -1.58591922027E-001, -2.44090511758E-001
+5.60232023202E+009, -1.64812734710E-001, -2.41596922284E-001
+5.60234023402E+009, -1.71465877558E-001, -2.38467301305E-001
+5.60236023602E+009, -1.78940610376E-001, -2.34812053401E-001
+5.60238023802E+009, -1.86872255399E-001, -2.29968571557E-001
+5.60240024002E+009, -1.95661122549E-001, -2.23768705020E-001
+5.60242024202E+009, -2.05460768896E-001, -2.15388975140E-001
+5.60244024402E+009, -2.16271217084E-001, -2.03263992912E-001
+5.60246024602E+009, -2.27078176448E-001, -1.84103625347E-001
+5.60248024802E+009, -2.33627764537E-001, -1.53198638473E-001
+5.60250025003E+009, -2.22454706493E-001, -1.09078558060E-001
+5.60252025203E+009, -1.84119363718E-001, -7.27603963253E-002
+5.60254025403E+009, -1.37467345247E-001, -6.34028517510E-002
+5.60256025603E+009, -1.00620939487E-001, -7.43854891253E-002
+5.60258025803E+009, -7.69065589973E-002, -9.48096438906E-002
+5.60260026003E+009, -6.46437071849E-002, -1.17153175551E-001
+5.60262026203E+009, -6.07436592127E-002, -1.37830349316E-001
+5.60264026403E+009, -6.22242373939E-002, -1.55660194081E-001
+5.60266026603E+009, -6.71560160188E-002, -1.70080205706E-001
+5.60268026803E+009, -7.36580865367E-002, -1.81288902550E-001
+5.60270027003E+009, -8.10954034606E-002, -1.89884211514E-001
+5.60272027203E+009, -8.84440393369E-002, -1.96445093167E-001
+5.60274027403E+009, -9.57761130441E-002, -2.01284105301E-001
+5.60276027603E+009, -1.02513191986E-001, -2.04747207841E-001
+5.60278027803E+009, -1.09001468830E-001, -2.07319526099E-001
+5.60280028003E+009, -1.14966814412E-001, -2.09014418973E-001
+5.60282028203E+009, -1.20319199371E-001, -2.10039232955E-001
+5.60284028403E+009, -1.25450778792E-001, -2.10710483840E-001
+5.60286028603E+009, -1.30298421869E-001, -2.11018892573E-001
+5.60288028803E+009, -1.34793973510E-001, -2.11070235489E-001
+5.60290029003E+009, -1.39002142666E-001, -2.10891154355E-001
+5.60292029203E+009, -1.42951022573E-001, -2.10391521687E-001
+5.60294029403E+009, -1.46726944783E-001, -2.09880270405E-001
+5.60296029603E+009, -1.50411626556E-001, -2.09250545860E-001
+5.60298029803E+009, -1.53874840876E-001, -2.08466378947E-001
+5.60300030003E+009, -1.57155792051E-001, -2.07552563390E-001
+5.60302030203E+009, -1.60482680638E-001, -2.06610917526E-001
+5.60304030403E+009, -1.63549187396E-001, -2.05467825977E-001
+5.60306030603E+009, -1.66475081663E-001, -2.04387918117E-001
+5.60308030803E+009, -1.69606335229E-001, -2.03199313342E-001
+5.60310031003E+009, -1.72509035909E-001, -2.01953695757E-001
+5.60312031203E+009, -1.75144997884E-001, -2.00539595473E-001
+5.60314031403E+009, -1.77896372530E-001, -1.99236185762E-001
+5.60316031603E+009, -1.80598575329E-001, -1.97983616352E-001
+5.60318031803E+009, -1.83160022311E-001, -1.96542626693E-001
+5.60320032003E+009, -1.85565777848E-001, -1.95079032446E-001
+5.60322032203E+009, -1.88201605999E-001, -1.93591955337E-001
+5.60324032403E+009, -1.90609745938E-001, -1.92013308436E-001
+5.60326032603E+009, -1.93039745524E-001, -1.90526902598E-001
+5.60328032803E+009, -1.95437218573E-001, -1.88908122924E-001
+5.60330033003E+009, -1.97848670636E-001, -1.87234357198E-001
+5.60332033203E+009, -2.00188192463E-001, -1.85701443846E-001
+5.60334033403E+009, -2.02317978341E-001, -1.83989884866E-001
+5.60336033603E+009, -2.04577781788E-001, -1.82210809120E-001
+5.60338033803E+009, -2.06772751065E-001, -1.80528111704E-001
+5.60340034003E+009, -2.08994276268E-001, -1.78842990308E-001
+5.60342034203E+009, -2.11171954204E-001, -1.77019205701E-001
+5.60344034403E+009, -2.13373749605E-001, -1.75236696804E-001
+5.60346034603E+009, -2.15391482392E-001, -1.73308041687E-001
+5.60348034803E+009, -2.17587848894E-001, -1.71362914142E-001
+5.60350035004E+009, -2.19646158975E-001, -1.69475317040E-001
+5.60352035204E+009, -2.21687252691E-001, -1.67598739397E-001
+5.60354035404E+009, -2.23795864324E-001, -1.65703389691E-001
