"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.40000000000E+009, -2.98247672754E-001, -4.30637913953E-002
+5.40002000200E+009, -2.99642808669E-001, -3.82633374788E-002
+5.40004000400E+009, -3.00946796943E-001, -3.36409050963E-002
+5.40006000600E+009, -3.01854711763E-001, -2.93011175145E-002
+5.40008000800E+009, -3.02855233596E-001, -2.49790318533E-002
+5.40010001000E+009, -3.03474169618E-001, -2.08888915006E-002
+5.40012001200E+009, -3.04023447798E-001, -1.70022566750E-002
+5.40014001400E+009, -3.04442675826E-001, -1.30914697911E-002
+5.40016001600E+009, -3.04796755408E-001, -9.34793711762E-003
+5.40018001800E+009, -3.05126058885E-001, -5.79052388011E-003
+5.40020002000E+009, -3.05316321922E-001, -2.29119604285E-003
+5.40022002200E+009, -3.05445618087E-001, +1.32079857165E-003
+5.40024002400E+009, -3.05668436174E-001, +4.84090591487E-003
+5.40026002600E+009, -3.05645610229E-001, +8.14917705545E-003
+5.40028002800E+009, -3.05695566057E-001, +1.15298668474E-002
+5.40030003000E+009, -3.05553362650E-001, +1.46537442132E-002
+5.40032003200E+009, -3.05529915874E-001, +1.80072505826E-002
+5.40034003400E+009, -3.05341564702E-001, +2.11323216254E-002
+5.40036003600E+009, -3.05236321995E-001, +2.44025448662E-002
+5.40038003800E+009, -3.05082028806E-001, +2.75137455879E-002
+5.40040004000E+009, -3.04954006378E-001, +3.05311299918E-002
+5.40042004200E+009, -3.04515272428E-001, +3.38028013688E-002
+5.40044004400E+009, -3.04226028057E-001, +3.67566680039E-002
+5.40046004600E+009, -3.03904310916E-001, +3.98309760164E-002
+5.40048004800E+009, -3.03485522666E-001, +4.29082198161E-002
+5.40050005001E+009, -3.03194154597E-001, +4.59684860422E-002
+5.40052005201E+009, -3.02712388654E-001, +4.89717558209E-002
+5.40054005401E+009, -3.02253969105E-001, +5.22225649164E-002
+5.40056005601E+009, -3.01752327639E-001, +5.51082351027E-002
+5.40058005801E+009, -3.01343143028E-001, +5.81557103607E-002
+5.40060006001E+009, -3.00724395907E-001, +6.10911809551E-002
+5.40062006201E+009, -3.00178953628E-001, +6.42218752556E-002
+5.40064006401E+009, -2.99539014658E-001, +6.73241329566E-002
+5.40066006601E+009, -2.98804130054E-001, +7.03660583151E-002
+5.40068006801E+009, -2.98260180650E-001, +7.34437071302E-002
+5.40070007001E+009, -2.97503508917E-001, +7.66469927148E-002
+5.40072007201E+009, -2.96644211931E-001, +7.98723674936E-002
+5.40074007401E+009, -2.95748881280E-001, +8.29483111019E-002
+5.40076007601E+009, -2.94969497575E-001, +8.62532324613E-002
+5.40078007801E+009, -2.94025321569E-001, +8.96994270096E-002
+5.40080008001E+009, -2.92976382721E-001, +9.29584672103E-002
+5.40082008201E+009, -2.91849758640E-001, +9.64314543542E-002
+5.40084008401E+009, -2.90826191219E-001, +9.99706211677E-002
+5.40086008601E+009, -2.89607180610E-001, +1.03521606557E-001
+5.40088008801E+009, -2.88119152564E-001, +1.07354258457E-001
+5.40090009001E+009, -2.86647819909E-001, +1.11248396185E-001
+5.40092009201E+009, -2.84928176406E-001, +1.15302947990E-001
+5.40094009401E+009, -2.83121078449E-001, +1.19455852606E-001
+5.40096009601E+009, -2.80936151233E-001, +1.23921398533E-001
+5.40098009801E+009, -2.78547659174E-001, +1.28745271116E-001
+5.40100010001E+009, -2.75612696176E-001, +1.33807265531E-001
+5.40102010201E+009, -2.72177664518E-001, +1.39169793156E-001
+5.40104010401E+009, -2.67993856373E-001, +1.45228288823E-001
+5.40106010601E+009, -2.62617650454E-001, +1.51474501602E-001
+5.40108010801E+009, -2.55743116985E-001, +1.58204304701E-001
+5.40110011001E+009, -2.46639664943E-001, +1.65128605349E-001
+5.40112011201E+009, -2.34354806166E-001, +1.71864965704E-001
+5.40114011401E+009, -2.17532291440E-001, +1.76980058655E-001
+5.40116011601E+009, -1.94669651464E-001, +1.77063583317E-001
+5.40118011801E+009, -1.67104996246E-001, +1.65886413374E-001
+5.40120012001E+009, -1.43587398638E-001, +1.36631078329E-001
+5.40122012201E+009, -1.40905899925E-001, +9.33262505202E-002
+5.40124012401E+009, -1.65519301509E-001, +5.73866026599E-002
+5.40126012601E+009, -1.99016629025E-001, +4.51474637930E-002
+5.40128012801E+009, -2.25236252951E-001, +4.92210237891E-002
+5.40130013001E+009, -2.41842696976E-001, +5.88089752026E-002
+5.40132013201E+009, -2.51867882122E-001, +6.89375827939E-002
+5.40134013401E+009, -2.57524207643E-001, +7.79475468575E-002
+5.40136013601E+009, -2.61177858686E-001, +8.61072784075E-002
+5.40138013801E+009, -2.63147666324E-001, +9.31487658278E-002
+5.40140014001E+009, -2.64358069865E-001, +9.93832131254E-002
+5.40142014201E+009, -2.64907099063E-001, +1.05007563793E-001
+5.40144014401E+009, -2.64930568776E-001, +1.10026304998E-001
+5.40146014601E+009, -2.64731522740E-001, +1.14716562546E-001
+5.40148014801E+009, -2.64281378778E-001, +1.18937097195E-001
+5.40150015002E+009, -2.63765017673E-001, +1.22962253567E-001
+5.40152015202E+009, -2.63003791502E-001, +1.26663260281E-001
+5.40154015402E+009, -2.62135523481E-001, +1.30392110834E-001
+5.40156015602E+009, -2.61279128504E-001, +1.33807711712E-001
+5.40158015802E+009, -2.60159070836E-001, +1.37001142530E-001
+5.40160016002E+009, -2.59161642710E-001, +1.39989295609E-001
+5.40162016202E+009, -2.58158532095E-001, +1.43038509025E-001
+5.40164016402E+009, -2.56998554863E-001, +1.46103609965E-001
+5.40166016602E+009, -2.55857808733E-001, +1.48849752588E-001
+5.40168016802E+009, -2.54608485244E-001, +1.51645612723E-001
+5.40170017002E+009, -2.53454071769E-001, +1.54263560976E-001
+5.40172017202E+009, -2.52087033395E-001, +1.56790476775E-001
+5.40174017402E+009, -2.50804445964E-001, +1.59424053951E-001
+5.40176017602E+009, -2.49427322794E-001, +1.61883422180E-001
+5.40178017802E+009, -2.48121939333E-001, +1.64326906167E-001
+5.40180018002E+009, -2.46875729295E-001, +1.66753851457E-001
+5.40182018202E+009, -2.45436244031E-001, +1.69086279138E-001
+5.40184018402E+009, -2.43971367517E-001, +1.71373590630E-001
+5.40186018602E+009, -2.42494072202E-001, +1.73641476955E-001
+5.40188018802E+009, -2.41141327640E-001, +1.75917345692E-001
+5.40190019002E+009, -2.39699784869E-001, +1.78091320383E-001
+5.40192019202E+009, -2.38181234874E-001, +1.80264455755E-001
+5.40194019402E+009, -2.36841458839E-001, +1.82417065229E-001
+5.40196019602E+009, -2.35300352920E-001, +1.84580430223E-001
+5.40198019802E+009, -2.33697909914E-001, +1.86640997640E-001
+5.40200020002E+009, -2.32239312679E-001, +1.88658001461E-001
+5.40202020202E+009, -2.30512254763E-001, +1.90662456669E-001
+5.40204020402E+009, -2.29173747888E-001, +1.92748191793E-001
+5.40206020602E+009, -2.27476014847E-001, +1.94751568771E-001
+5.40208020802E+009, -2.25977473099E-001, +1.96703669516E-001
+5.40210021002E+009, -2.24307413418E-001, +1.98591229330E-001
+5.40212021202E+009, -2.22692385372E-001, +2.00407346249E-001
+5.40214021402E+009, -2.21059882292E-001, +2.02453390804E-001
+5.40216021602E+009, -2.19401167854E-001, +2.04385063161E-001
+5.40218021802E+009, -2.17789838399E-001, +2.06213370180E-001
+5.40220022002E+009, -2.16153715428E-001, +2.08061134211E-001
+5.40222022202E+009, -2.14390445155E-001, +2.09862678967E-001
+5.40224022402E+009, -2.12696703641E-001, +2.11651282868E-001
+5.40226022602E+009, -2.11070278753E-001, +2.13388878971E-001
+5.40228022802E+009, -2.09293998409E-001, +2.15147145770E-001
+5.40230023002E+009, -2.07429834922E-001, +2.16950553448E-001
+5.40232023202E+009, -2.05702668182E-001, +2.18668811773E-001
+5.40234023402E+009, -2.03981834674E-001, +2.20427184502E-001
+5.40236023602E+009, -2.02300031481E-001, +2.21969376037E-001
+5.40238023802E+009, -2.00508513757E-001, +2.23747769104E-001
+5.40240024002E+009, -1.98641457489E-001, +2.25324570055E-001
+5.40242024202E+009, -1.96896261995E-001, +2.27016296486E-001
+5.40244024402E+009, -1.95052261421E-001, +2.28599994164E-001
+5.40246024602E+009, -1.93280161603E-001, +2.30275200048E-001
+5.40248024802E+009, -1.91466505709E-001, +2.31896261572E-001
+5.40250025003E+009, -1.89472533718E-001, +2.33424644292E-001
+5.40252025203E+009, -1.87556556498E-001, +2.34969308663E-001
+5.40254025403E+009, -1.85760773151E-001, +2.36434643451E-001
+5.40256025603E+009, -1.83879121733E-001, +2.38028345535E-001
+5.40258025803E+009, -1.81988111453E-001, +2.39590630146E-001
+5.40260026003E+009, -1.80102620765E-001, +2.40914155875E-001
