"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.80000000000E+009, +2.86261255416E-002, -3.31967345291E-001
+4.80002000200E+009, +1.83081949269E-002, -3.57455904788E-001
+4.80004000400E+009, +5.98945939482E-003, -3.76127477167E-001
+4.80006000600E+009, -6.75323887188E-003, -3.90014669336E-001
+4.80008000800E+009, -1.90903543840E-002, -4.00078978771E-001
+4.80010001000E+009, -3.05347436338E-002, -4.07502509406E-001
+4.80012001200E+009, -4.11489617621E-002, -4.13033166246E-001
+4.80014001400E+009, -5.10437550403E-002, -4.17210102162E-001
+4.80016001600E+009, -6.01473269076E-002, -4.20203728732E-001
+4.80018001800E+009, -6.87486674663E-002, -4.22507715758E-001
+4.80020002000E+009, -7.68564483684E-002, -4.24172263955E-001
+4.80022002200E+009, -8.45974301634E-002, -4.25345258579E-001
+4.80024002400E+009, -9.16734126976E-002, -4.26196071679E-001
+4.80026002600E+009, -9.86911966530E-002, -4.26536712233E-001
+4.80028002800E+009, -1.05261125711E-001, -4.26779870220E-001
+4.80030003000E+009, -1.11502371545E-001, -4.26665402319E-001
+4.80032003200E+009, -1.17676239980E-001, -4.26458543913E-001
+4.80034003400E+009, -1.23422702471E-001, -4.26027374759E-001
+4.80036003600E+009, -1.29166108482E-001, -4.25520655533E-001
+4.80038003800E+009, -1.34752259282E-001, -4.24858577621E-001
+4.80040004000E+009, -1.40144410577E-001, -4.24052566153E-001
+4.80042004200E+009, -1.45444431867E-001, -4.23055126051E-001
+4.80044004400E+009, -1.50510756004E-001, -4.22122906195E-001
+4.80046004600E+009, -1.55677982799E-001, -4.21012274010E-001
+4.80048004800E+009, -1.60643015804E-001, -4.19806270260E-001
+4.80050005001E+009, -1.65479753518E-001, -4.18735066584E-001
+4.80052005201E+009, -1.70243859121E-001, -4.17442418340E-001
+4.80054005401E+009, -1.74955362411E-001, -4.15997496633E-001
+4.80056005601E+009, -1.79556349558E-001, -4.14525336596E-001
+4.80058005801E+009, -1.84180008003E-001, -4.12991027035E-001
+4.80060006001E+009, -1.88677476678E-001, -4.11494893549E-001
+4.80062006201E+009, -1.93394311171E-001, -4.09911976850E-001
+4.80064006401E+009, -1.97896239876E-001, -4.08289534871E-001
+4.80066006601E+009, -2.02289100480E-001, -4.06576506613E-001
+4.80068006801E+009, -2.06565932566E-001, -4.04813881166E-001
+4.80070007001E+009, -2.10983742074E-001, -4.03001038464E-001
+4.80072007201E+009, -2.15289386594E-001, -4.01186609907E-001
+4.80074007401E+009, -2.19598998048E-001, -3.99284367117E-001
+4.80076007601E+009, -2.23777437130E-001, -3.97373516797E-001
+4.80078007801E+009, -2.28058805656E-001, -3.95276951703E-001
+4.80080008001E+009, -2.32314612592E-001, -3.93254978302E-001
+4.80082008201E+009, -2.36353911617E-001, -3.91047601743E-001
+4.80084008401E+009, -2.40697078805E-001, -3.88840585923E-001
+4.80086008601E+009, -2.44926475071E-001, -3.86765764168E-001
+4.80088008801E+009, -2.49024786130E-001, -3.84521197367E-001
+4.80090009001E+009, -2.53169915725E-001, -3.82166282269E-001
+4.80092009201E+009, -2.57256518440E-001, -3.79674712298E-001
+4.80094009401E+009, -2.61463801221E-001, -3.77271496588E-001
+4.80096009601E+009, -2.65784535119E-001, -3.74576460355E-001
+4.80098009801E+009, -2.69876891684E-001, -3.72041527042E-001
+4.80100010001E+009, -2.74235288263E-001, -3.69340640468E-001
+4.80102010201E+009, -2.78468909115E-001, -3.66713156102E-001
+4.80104010401E+009, -2.82750591836E-001, -3.63767834320E-001
+4.80106010601E+009, -2.87009184478E-001, -3.60866006245E-001
+4.80108010801E+009, -2.91252931989E-001, -3.57777127773E-001
+4.80110011001E+009, -2.95665019832E-001, -3.54682724133E-001
+4.80112011201E+009, -3.00011116879E-001, -3.51494711326E-001
+4.80114011401E+009, -3.04504135801E-001, -3.48196501715E-001
+4.80116011601E+009, -3.08909130722E-001, -3.44676270492E-001
+4.80118011801E+009, -3.13590925862E-001, -3.40973069673E-001
+4.80120012001E+009, -3.18020192000E-001, -3.37134091650E-001
+4.80122012201E+009, -3.22740756641E-001, -3.33187672868E-001
+4.80124012401E+009, -3.27529429941E-001, -3.28805100448E-001
+4.80126012601E+009, -3.32581231711E-001, -3.24446066625E-001
+4.80128012801E+009, -3.37630821032E-001, -3.19673427689E-001
+4.80130013001E+009, -3.42930282888E-001, -3.14582393313E-001
+4.80132013201E+009, -3.48177803097E-001, -3.09166428138E-001
+4.80134013401E+009, -3.53679915543E-001, -3.03223435799E-001
+4.80136013601E+009, -3.59353675280E-001, -2.96837646720E-001
+4.80138013801E+009, -3.65403118669E-001, -2.89717425931E-001
+4.80140014001E+009, -3.71590048372E-001, -2.81805646060E-001
+4.80142014201E+009, -3.78054517679E-001, -2.72713262074E-001
+4.80144014401E+009, -3.84750174090E-001, -2.62503831284E-001
+4.80146014601E+009, -3.91615216551E-001, -2.50337378483E-001
+4.80148014801E+009, -3.98591653650E-001, -2.36113329405E-001
+4.80150015002E+009, -4.05323132385E-001, -2.18868266234E-001
+4.80152015202E+009, -4.11308238116E-001, -1.97118900339E-001
+4.80154015402E+009, -4.15075773084E-001, -1.69081056033E-001
+4.80156015602E+009, -4.12877127700E-001, -1.31963266912E-001
+4.80158015802E+009, -3.96031186971E-001, -8.24333904988E-002
+4.80160016002E+009, -3.46240702333E-001, -2.59412320853E-002
+4.80162016202E+009, -2.54523389467E-001, +4.42033659343E-003
+4.80164016402E+009, -1.61867315259E-001, -2.07146099638E-002
+4.80166016602E+009, -1.05312329075E-001, -8.02520416986E-002
+4.80168016802E+009, -8.58493573204E-002, -1.43505590400E-001
+4.80170017002E+009, -9.09349293708E-002, -1.97407223568E-001
+4.80172017202E+009, -1.09054574086E-001, -2.38500542603E-001
+4.80174017402E+009, -1.32665035289E-001, -2.66819589932E-001
+4.80176017602E+009, -1.57380880160E-001, -2.85560278036E-001
+4.80178017802E+009, -1.80814448753E-001, -2.97158793879E-001
+4.80180018002E+009, -2.01880494543E-001, -3.03512821224E-001
+4.80182018202E+009, -2.20281844260E-001, -3.06680753385E-001
+4.80184018402E+009, -2.36531250229E-001, -3.07488106403E-001
+4.80186018602E+009, -2.50440897984E-001, -3.06701470579E-001
+4.80188018802E+009, -2.62692293352E-001, -3.05036663608E-001
+4.80190019002E+009, -2.73438667471E-001, -3.02715288668E-001
+4.80192019202E+009, -2.83071381948E-001, -3.00020229303E-001
+4.80194019402E+009, -2.91718511631E-001, -2.97033630617E-001
+4.80196019602E+009, -2.99747703717E-001, -2.93609891490E-001
+4.80198019802E+009, -3.06691020526E-001, -2.90252203385E-001
+4.80200020002E+009, -3.13259360176E-001, -2.86777257611E-001
+4.80202020202E+009, -3.19266007622E-001, -2.83277422887E-001
+4.80204020402E+009, -3.24983652312E-001, -2.79741182352E-001
+4.80206020602E+009, -3.30211280151E-001, -2.76086248110E-001
+4.80208020802E+009, -3.35190250660E-001, -2.72401782486E-001
+4.80210021002E+009, -3.39777146458E-001, -2.68817903451E-001
+4.80212021202E+009, -3.44111368380E-001, -2.65111805138E-001
+4.80214021402E+009, -3.48358344455E-001, -2.61454671105E-001
+4.80216021602E+009, -3.52372598622E-001, -2.57850063750E-001
+4.80218021802E+009, -3.56113332659E-001, -2.54256867117E-001
+4.80220022002E+009, -3.59781705210E-001, -2.50535937612E-001
+4.80222022202E+009, -3.63272641264E-001, -2.46921050809E-001
+4.80224022402E+009, -3.66655195146E-001, -2.43164994868E-001
+4.80226022602E+009, -3.69804611671E-001, -2.39504422458E-001
+4.80228022802E+009, -3.72891020901E-001, -2.35829314509E-001
+4.80230023002E+009, -3.75916128586E-001, -2.32093638770E-001
+4.80232023202E+009, -3.78841561773E-001, -2.28403157412E-001
+4.80234023402E+009, -3.81680611953E-001, -2.24710654863E-001
+4.80236023602E+009, -3.84497110276E-001, -2.21010869969E-001
+4.80238023802E+009, -3.87132145891E-001, -2.17310303422E-001
+4.80240024002E+009, -3.89662160298E-001, -2.13637376621E-001
+4.80242024202E+009, -3.92154031462E-001, -2.09861914265E-001
+4.80244024402E+009, -3.94713110185E-001, -2.06236907935E-001
+4.80246024602E+009, -3.97170233480E-001, -2.02537651591E-001
+4.80248024802E+009, -3.99399466114E-001, -1.98758480685E-001
+4.80250025003E+009, -4.01550850465E-001, -1.94878061541E-001
+4.80252025203E+009, -4.03713162657E-001, -1.91225142194E-001
+4.80254025403E+009, -4.05916426013E-001, -1.87430032610E-001
+4.80256025603E+009, -4.07955001289E-001, -1.83636207533E-001
+4.80258025803E+009, -4.10056683717E-001, -1.79942257353E-001
+4.80260026003E+009, -4.11934477458E-001, -1.76026395153E-001
+4.80262026203E+009, -4.13986807079E-001, -1.72152774446E-001
+4.80264026403E+009, -4.15702504639E-001, -1.68286989547E-001
+4.80266026603E+009, -4.17601958079E-001, -1.64464927405E-001
+4.80268026803E+009, -4.19483147115E-001, -1.60595743591E-001
+4.80270027003E+009, -4.21225943899E-001, -1.56738115875E-001
+4.80272027203E+009, -4.22942683099E-001, -1.52834921549E-001
+4.80274027403E+009, -4.24622511977E-001, -1.48890786625E-001
+4.80276027603E+009, -4.26184978956E-001, -1.45065854702E-001
+4.80278027803E+009, -4.27835701271E-001, -1.41037408296E-001
+4.80280028003E+009, -4.29223972741E-001, -1.37190244386E-001
+4.80282028203E+009, -4.30836651261E-001, -1.33052491921E-001
+4.80284028403E+009, -4.32312750193E-001, -1.29027544926E-001
+4.80286028603E+009, -4.33691957052E-001, -1.25096073754E-001
+4.80288028803E+009, -4.35152331661E-001, -1.20887014935E-001
+4.80290029003E+009, -4.36470398031E-001, -1.16976217543E-001
+4.80292029203E+009, -4.37742565938E-001, -1.12748555867E-001
+4.80294029403E+009, -4.38972403220E-001, -1.08589816269E-001
+4.80296029603E+009, -4.40276439878E-001, -1.04444315659E-001
+4.80298029803E+009, -4.41442215065E-001, -1.00243089665E-001
+4.80300030003E+009, -4.42604777871E-001, -9.59316608660E-002
+4.80302030203E+009, -4.43861995779E-001, -9.17617582798E-002
+4.80304030403E+009, -4.44829100877E-001, -8.73995564815E-002
+4.80306030603E+009, -4.45832292311E-001, -8.31521605646E-002
+4.80308030803E+009, -4.46924144658E-001, -7.86550367736E-002
+4.80310031003E+009, -4.47864184876E-001, -7.43200305828E-002
+4.80312031203E+009, -4.48884991611E-001, -6.97566000920E-002
+4.80314031403E+009, -4.49707156626E-001, -6.52595715945E-002
+4.80316031603E+009, -4.50594801146E-001, -6.05929556100E-002
+4.80318031803E+009, -4.51368093999E-001, -5.59902005947E-002
+4.80320032003E+009, -4.52078880982E-001, -5.13427358606E-002
+4.80322032203E+009, -4.52906476422E-001, -4.66797819938E-002
+4.80324032403E+009, -4.53653626357E-001, -4.18432203567E-002
+4.80326032603E+009, -4.54266816227E-001, -3.68792059328E-002
+4.80328032803E+009, -4.54859040089E-001, -3.18391552411E-002
+4.80330033003E+009, -4.55428888828E-001, -2.67883949753E-002
+4.80332033203E+009, -4.55910505559E-001, -2.14245156639E-002
+4.80334033403E+009, -4.56395596488E-001, -1.62848235575E-002
+4.80336033603E+009, -4.56732855112E-001, -1.08253736392E-002
+4.80338033803E+009, -4.57064329951E-001, -5.12823274435E-003
+4.80340034003E+009, -4.57342322567E-001, +5.42232257502E-004
+4.80342034203E+009, -4.57462333145E-001, +6.57593114884E-003
+4.80344034403E+009, -4.57506254338E-001, +1.25818444638E-002
+4.80346034603E+009, -4.57504468659E-001, +1.90639878161E-002
+4.80348034803E+009, -4.57368611064E-001, +2.55689915422E-002
+4.80350035004E+009, -4.57155549660E-001, +3.25344348127E-002
+4.80352035204E+009, -4.56538802185E-001, +3.97436244768E-002
+4.80354035404E+009, -4.55880954907E-001, +4.72925559424E-002
+4.80356035604E+009, -4.54990254707E-001, +5.53548783935E-002
+4.80358035804E+009, -4.53761010117E-001, +6.39123053537E-002
+4.80360036004E+009, -4.51987269528E-001, +7.31453913290E-002
+4.80362036204E+009, -4.49853818409E-001, +8.28924835651E-002
+4.80364036404E+009, -4.47052184731E-001, +9.34792335868E-002
