"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.60000000000E+009, +2.71132836844E-001, +5.52922845046E-002
+4.60002000200E+009, +2.29031220905E-001, +6.69520817862E-002
+4.60004000400E+009, +2.00126562356E-001, +9.64397430339E-002
+4.60006000600E+009, +1.89869764857E-001, +1.30395087874E-001
+4.60008000800E+009, +1.93657897024E-001, +1.59651262692E-001
+4.60010001000E+009, +2.05793180658E-001, +1.82106994123E-001
+4.60012001200E+009, +2.21812170981E-001, +1.97346313557E-001
+4.60014001400E+009, +2.38714125348E-001, +2.06284447726E-001
+4.60016001600E+009, +2.55072394457E-001, +2.10539153807E-001
+4.60018001800E+009, +2.70060485540E-001, +2.11365893674E-001
+4.60020002000E+009, +2.83257012752E-001, +2.09836195547E-001
+4.60022002200E+009, +2.94799646011E-001, +2.06703240861E-001
+4.60024002400E+009, +3.04953358911E-001, +2.02744440401E-001
+4.60026002600E+009, +3.13423707178E-001, +1.98157183459E-001
+4.60028002800E+009, +3.20844238102E-001, +1.93288783176E-001
+4.60030003000E+009, +3.27352294916E-001, +1.88309073960E-001
+4.60032003200E+009, +3.32865268947E-001, +1.83377951668E-001
+4.60034003400E+009, +3.37871741272E-001, +1.78359430351E-001
+4.60036003600E+009, +3.42395521508E-001, +1.73508173051E-001
+4.60038003800E+009, +3.46395984887E-001, +1.68659638257E-001
+4.60040004000E+009, +3.49809430165E-001, +1.64035729903E-001
+4.60042004200E+009, +3.53235267626E-001, +1.59380279063E-001
+4.60044004400E+009, +3.56199440605E-001, +1.54801369913E-001
+4.60046004600E+009, +3.58918996172E-001, +1.50330279765E-001
+4.60048004800E+009, +3.61559568415E-001, +1.45906242374E-001
+4.60050005001E+009, +3.63940259358E-001, +1.41520185863E-001
+4.60052005201E+009, +3.65902443462E-001, +1.37303362311E-001
+4.60054005401E+009, +3.68146844961E-001, +1.33144057873E-001
+4.60056005601E+009, +3.70080492703E-001, +1.28910526444E-001
+4.60058005801E+009, +3.71881844131E-001, +1.24784942338E-001
+4.60060006001E+009, +3.73651243818E-001, +1.20587613543E-001
+4.60062006201E+009, +3.75291725978E-001, +1.16438189031E-001
+4.60064006401E+009, +3.76815293782E-001, +1.12424936694E-001
+4.60066006601E+009, +3.78318963405E-001, +1.08415535702E-001
+4.60068006801E+009, +3.79573973776E-001, +1.04461274429E-001
+4.60070007001E+009, +3.80996323237E-001, +1.00389791848E-001
+4.60072007201E+009, +3.82109524371E-001, +9.64431299430E-002
+4.60074007401E+009, +3.83423407674E-001, +9.25954771798E-002
+4.60076007601E+009, +3.84518310828E-001, +8.86116977950E-002
+4.60078007801E+009, +3.85389174995E-001, +8.47157908805E-002
+4.60080008001E+009, +3.86460089214E-001, +8.08391685869E-002
+4.60082008201E+009, +3.87518885433E-001, +7.69613328159E-002
+4.60084008401E+009, +3.88301251599E-001, +7.30896424356E-002
+4.60086008601E+009, +3.89127900381E-001, +6.91979230471E-002
+4.60088008801E+009, +3.89864285425E-001, +6.53183258308E-002
+4.60090009001E+009, +3.90671562335E-001, +6.14721507430E-002
+4.60092009201E+009, +3.91379018312E-001, +5.77827147115E-002
+4.60094009401E+009, +3.92054554511E-001, +5.38062820833E-002
+4.60096009601E+009, +3.92771428104E-001, +5.00498080725E-002
+4.60098009801E+009, +3.93269093933E-001, +4.62646116237E-002
+4.60100010001E+009, +3.93747268272E-001, +4.25001715118E-002
+4.60102010201E+009, +3.94265110834E-001, +3.86330790205E-002
