"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.40000000000E+009, +6.51792435441E-002, +8.37883272120E-001
+5.40002000200E+009, +8.30428496247E-002, +8.16902831815E-001
+5.40004000400E+009, +1.00333112244E-001, +7.92930805194E-001
+5.40006000600E+009, +1.15331415261E-001, +7.65593285376E-001
+5.40008000800E+009, +1.27045237830E-001, +7.33752137433E-001
+5.40010001000E+009, +1.32800331726E-001, +6.98241023484E-001
+5.40012001200E+009, +1.30410058325E-001, +6.58885267576E-001
+5.40014001400E+009, +1.20142348014E-001, +6.18912235175E-001
+5.40016001600E+009, +1.00140331466E-001, +5.80237398520E-001
+5.40018001800E+009, +7.19264806211E-002, +5.47321225400E-001
+5.40020002000E+009, +3.61087692675E-002, +5.21624922214E-001
+5.40022002200E+009, -4.10813260510E-003, +5.06088483172E-001
+5.40024002400E+009, -4.72985605736E-002, +5.00484134322E-001
+5.40026002600E+009, -8.86283085116E-002, +5.04845773235E-001
+5.40028002800E+009, -1.26340543737E-001, +5.18086074329E-001
+5.40030003000E+009, -1.57429883549E-001, +5.38764168175E-001
+5.40032003200E+009, -1.81929011997E-001, +5.64400049809E-001
+5.40034003400E+009, -1.99652277041E-001, +5.93110538300E-001
+5.40036003600E+009, -2.10550719079E-001, +6.21573925084E-001
+5.40038003800E+009, -2.16493406165E-001, +6.48348505395E-001
+5.40040004000E+009, -2.18189754302E-001, +6.73817510954E-001
+5.40042004200E+009, -2.16355623154E-001, +6.97244718803E-001
+5.40044004400E+009, -2.11359257956E-001, +7.20077104109E-001
+5.40046004600E+009, -2.04478493231E-001, +7.40163462694E-001
+5.40048004800E+009, -1.95883167599E-001, +7.59216319510E-001
+5.40050005001E+009, -1.86841539416E-001, +7.74686343226E-001
+5.40052005201E+009, -1.76949354454E-001, +7.88432826075E-001
+5.40054005401E+009, -1.66901303983E-001, +8.00313732674E-001
+5.40056005601E+009, -1.56107888993E-001, +8.11671864549E-001
+5.40058005801E+009, -1.44641144223E-001, +8.22622903466E-001
+5.40060006001E+009, -1.32902004549E-001, +8.32595373108E-001
+5.40062006201E+009, -1.21335321623E-001, +8.41572349440E-001
+5.40064006401E+009, -1.10484585295E-001, +8.48081163920E-001
+5.40066006601E+009, -9.95768419453E-002, +8.54236151362E-001
+5.40068006801E+009, -8.88544143369E-002, +8.59200267577E-001
+5.40070007001E+009, -7.74606515571E-002, +8.65241733878E-001
+5.40072007201E+009, -6.63130019863E-002, +8.70381781991E-001
+5.40074007401E+009, -5.46288390566E-002, +8.75961885067E-001
+5.40076007601E+009, -4.39826419540E-002, +8.79529626622E-001
+5.40078007801E+009, -3.34026968814E-002, +8.83146813601E-001
+5.40080008001E+009, -2.31599680271E-002, +8.85420027838E-001
+5.40082008201E+009, -1.29712341021E-002, +8.88050028023E-001
+5.40084008401E+009, -2.30119252914E-003, +8.90913131933E-001
+5.40086008601E+009, +8.42508016766E-003, +8.93711005898E-001
+5.40088008801E+009, +1.92275370790E-002, +8.96636231963E-001
+5.40090009001E+009, +2.90287672385E-002, +8.97542822809E-001
+5.40092009201E+009, +3.91720367821E-002, +8.98907782312E-001
+5.40094009401E+009, +4.79549547928E-002, +8.99071275782E-001
+5.40096009601E+009, +5.83936074696E-002, +9.00514735655E-001
+5.40098009801E+009, +6.87736352649E-002, +9.02079319541E-001
+5.40100010001E+009, +7.91316691360E-002, +9.03701587804E-001
+5.40102010201E+009, +8.82283488484E-002, +9.03683718311E-001
+5.40104010401E+009, +9.76991928494E-002, +9.03664817904E-001
+5.40106010601E+009, +1.06741745591E-001, +9.03376735081E-001
+5.40108010801E+009, +1.15997660504E-001, +9.03317014809E-001
+5.40110011001E+009, +1.26086222293E-001, +9.03864418092E-001
+5.40112011201E+009, +1.35647275683E-001, +9.03850053829E-001
+5.40114011401E+009, +1.45524481518E-001, +9.04019849267E-001
+5.40116011601E+009, +1.53978583991E-001, +9.02682572530E-001
+5.40118011801E+009, +1.62986603850E-001, +9.02118431378E-001
+5.40120012001E+009, +1.71570622819E-001, +9.00796344895E-001
+5.40122012201E+009, +1.81191856547E-001, +9.00318789438E-001
+5.40124012401E+009, +1.90326736704E-001, +8.99631451315E-001
+5.40126012601E+009, +2.00037387625E-001, +8.99260892453E-001
+5.40128012801E+009, +2.08699923226E-001, +8.97757932310E-001
+5.40130013001E+009, +2.17313033759E-001, +8.96312089611E-001
+5.40132013201E+009, +2.25501399574E-001, +8.94243358925E-001
+5.40134013401E+009, +2.34019468213E-001, +8.92757780939E-001
+5.40136013601E+009, +2.43489715445E-001, +8.91621891609E-001
+5.40138013801E+009, +2.52654872966E-001, +8.90371963427E-001
+5.40140014001E+009, +2.62051733116E-001, +8.89368341633E-001
+5.40142014201E+009, +2.69589843831E-001, +8.86546313203E-001
+5.40144014401E+009, +2.77893311270E-001, +8.84405113582E-001
+5.40146014601E+009, +2.85175684241E-001, +8.81526295099E-001
+5.40148014801E+009, +2.94418822245E-001, +8.79949836253E-001
+5.40150015002E+009, +3.03335059493E-001, +8.77775917013E-001
+5.40152015202E+009, +3.12858090259E-001, +8.76274182746E-001
+5.40154015402E+009, +3.20973314117E-001, +8.73680100080E-001
+5.40156015602E+009, +3.28852936251E-001, +8.70924063656E-001
+5.40158015802E+009, +3.36225338347E-001, +8.67941644229E-001
+5.40160016002E+009, +3.44125568575E-001, +8.64994090629E-001
+5.40162016202E+009, +3.53376975374E-001, +8.62802928025E-001
+5.40164016402E+009, +3.61878342458E-001, +8.60277586347E-001
+5.40166016602E+009, +3.70858722068E-001, +8.57949448846E-001
+5.40168016802E+009, +3.78077816896E-001, +8.54381038880E-001
+5.40170017002E+009, +3.85944973754E-001, +8.51088672988E-001
+5.40172017202E+009, +3.92399122394E-001, +8.47189807476E-001
+5.40174017402E+009, +4.01197705020E-001, +8.44451094114E-001
+5.40176017602E+009, +4.09624755635E-001, +8.41559119412E-001
+5.40178017802E+009, +4.18714162360E-001, +8.38988574620E-001
+5.40180018002E+009, +4.26476128770E-001, +8.35372665651E-001
+5.40182018202E+009, +4.33799523666E-001, +8.31493308060E-001
+5.40184018402E+009, +4.40511394142E-001, +8.27490831593E-001
+5.40186018602E+009, +4.47850097590E-001, +8.23537657990E-001
+5.40188018802E+009, +4.56544611104E-001, +8.20289593268E-001
+5.40190019002E+009, +4.64772963295E-001, +8.16808001215E-001
+5.40192019202E+009, +4.73843787014E-001, +8.13537136023E-001
+5.40194019402E+009, +4.80154282574E-001, +8.09152799180E-001
+5.40196019602E+009, +4.87411031100E-001, +8.04757038928E-001
+5.40198019802E+009, +4.93532246193E-001, +8.00229016119E-001
+5.40200020002E+009, +5.01755026805E-001, +7.96446488076E-001
+5.40202020202E+009, +5.09677791742E-001, +7.92358389896E-001
+5.40204020402E+009, +5.18544920620E-001, +7.88708119893E-001
+5.40206020602E+009, +5.25955068539E-001, +7.84297829701E-001
+5.40208020802E+009, +5.32378749494E-001, +7.79552480346E-001
+5.40210021002E+009, +5.38718252116E-001, +7.74613608118E-001
+5.40212021202E+009, +5.45266812436E-001, +7.69857101514E-001
+5.40214021402E+009, +5.53538155617E-001, +7.65441021358E-001
+5.40216021602E+009, +5.61288060623E-001, +7.61116854183E-001
+5.40218021802E+009, +5.69846990080E-001, +7.56748555361E-001
+5.40220022002E+009, +5.76056057993E-001, +7.51466976126E-001
+5.40222022202E+009, +5.82389196397E-001, +7.46486131077E-001
+5.40224022402E+009, +5.87796848741E-001, +7.40799506428E-001
+5.40226022602E+009, +5.95574362429E-001, +7.36154462585E-001
+5.40228022802E+009, +6.03269757607E-001, +7.31144996600E-001
+5.40230023002E+009, +6.11768976388E-001, +7.26362806147E-001
+5.40232023202E+009, +6.18517331771E-001, +7.21036528935E-001
+5.40234023402E+009, +6.24460977027E-001, +7.15462354296E-001
+5.40236023602E+009, +6.30152928253E-001, +7.09988371821E-001
+5.40238023802E+009, +6.36074933501E-001, +7.04149992120E-001
+5.40240024002E+009, +6.44026907600E-001, +6.98906222629E-001
+5.40242024202E+009, +6.51380467215E-001, +6.93407808159E-001
+5.40244024402E+009, +6.59403697134E-001, +6.88188738487E-001
+5.40246024602E+009, +6.64857778551E-001, +6.82019575337E-001
+5.40248024802E+009, +6.70935255898E-001, +6.76294750077E-001
+5.40250025003E+009, +6.76057471868E-001, +6.70153994796E-001
+5.40252025203E+009, +6.83118214548E-001, +6.64220512694E-001
+5.40254025403E+009, +6.90166788889E-001, +6.58330286475E-001
+5.40256025603E+009, +6.97661409337E-001, +6.52331787110E-001
+5.40258025803E+009, +7.04396121229E-001, +6.46502497394E-001
+5.40260026003E+009, +7.10144780872E-001, +6.40015985630E-001
+5.40262026203E+009, +7.16071058801E-001, +6.33750172617E-001
+5.40264026403E+009, +7.21220478374E-001, +6.27193615059E-001
+5.40266026603E+009, +7.28324941192E-001, +6.20844075010E-001
+5.40268026803E+009, +7.33982565091E-001, +6.14331896639E-001
+5.40270027003E+009, +7.41363178357E-001, +6.07699908967E-001
+5.40272027203E+009, +7.46966594042E-001, +6.01183553829E-001
+5.40274027403E+009, +7.53623091780E-001, +5.94520503521E-001
+5.40276027603E+009, +7.57744680783E-001, +5.87680276329E-001
+5.40278027803E+009, +7.64162979314E-001, +5.80703983659E-001
+5.40280028003E+009, +7.70449820659E-001, +5.73753586588E-001
+5.40282028203E+009, +7.76953080108E-001, +5.66744765027E-001
+5.40284028403E+009, +7.83065256462E-001, +5.59719827718E-001
+5.40286028603E+009, +7.87973972790E-001, +5.52324799519E-001
+5.40288028803E+009, +7.93559121333E-001, +5.45047106649E-001
+5.40290029003E+009, +7.98693004058E-001, +5.37681015141E-001
+5.40292029203E+009, +8.05500696923E-001, +5.30560522139E-001
+5.40294029403E+009, +8.11069360708E-001, +5.22655068912E-001
+5.40296029603E+009, +8.18407726835E-001, +5.14940866374E-001
+5.40298029803E+009, +8.22695620922E-001, +5.07431156495E-001
+5.40300030003E+009, +8.27756849245E-001, +4.99549616951E-001
+5.40302030203E+009, +8.31373761842E-001, +4.91759184711E-001
+5.40304030403E+009, +8.36574260418E-001, +4.83813294622E-001
+5.40306030603E+009, +8.43375477042E-001, +4.75535720515E-001
+5.40308030803E+009, +8.50924234924E-001, +4.66943672343E-001
+5.40310031003E+009, +8.56797702564E-001, +4.58560159373E-001
+5.40312031203E+009, +8.60668210865E-001, +4.50453054248E-001
+5.40314031403E+009, +8.64282473148E-001, +4.42140168305E-001
+5.40316031603E+009, +8.67929713572E-001, +4.33385665007E-001
+5.40318031803E+009, +8.74322723549E-001, +4.24694520339E-001
+5.40320032003E+009, +8.80903278393E-001, +4.15400044345E-001
+5.40322032203E+009, +8.88417648596E-001, +4.06018209396E-001
+5.40324032403E+009, +8.92476678167E-001, +3.97058489608E-001
+5.40326032603E+009, +8.96253917424E-001, +3.87670257110E-001
+5.40328032803E+009, +8.99438372529E-001, +3.78470298105E-001
+5.40330033003E+009, +9.04201053043E-001, +3.68805710397E-001
+5.40332033203E+009, +9.10020966917E-001, +3.58645736356E-001
+5.40334033403E+009, +9.16720807671E-001, +3.48085210376E-001
+5.40336033603E+009, +9.22281839325E-001, +3.37637692226E-001
+5.40338033803E+009, +9.26039311940E-001, +3.27434578542E-001
+5.40340034003E+009, +9.29110662310E-001, +3.17049218040E-001
+5.40342034203E+009, +9.32089442334E-001, +3.06484114497E-001
+5.40344034403E+009, +9.37963337589E-001, +2.94699413721E-001
+5.40346034603E+009, +9.43763955882E-001, +2.82626465318E-001
+5.40348034803E+009, +9.50627061322E-001, +2.70138470088E-001
+5.40350035004E+009, +9.54235004433E-001, +2.58061222088E-001
+5.40352035204E+009, +9.57668045694E-001, +2.45796221352E-001
+5.40354035404E+009, +9.59577795828E-001, +2.33484865321E-001
+5.40356035604E+009, +9.64024386500E-001, +2.19878461544E-001
+5.40358035804E+009, +9.68989270945E-001, +2.05493804988E-001
+5.40360036004E+009, +9.74588699732E-001, +1.89918656337E-001
+5.40362036204E+009, +9.79596226718E-001, +1.74094500432E-001
+5.40364036404E+009, +9.81840031695E-001, +1.58751254444E-001
+5.40366036604E+009, +9.84037760301E-001, +1.42592679271E-001
+5.40368036804E+009, +9.85427501869E-001, +1.25710016321E-001
+5.40370037004E+009, +9.89227219679E-001, +1.06453153789E-001
+5.40372037204E+009, +9.92228219357E-001, +8.61922491277E-002
+5.40374037404E+009, +9.95830659405E-001, +6.38206198249E-002
+5.40376037604E+009, +9.95829995868E-001, +4.16386386283E-002
+5.40378037804E+009, +9.94484640447E-001, +1.81328954642E-002
+5.40380038004E+009, +9.90993139117E-001, -6.64953930313E-003
+5.40382038204E+009, +9.87577251091E-001, -3.45885392644E-002
+5.40384038404E+009, +9.82654742990E-001, -6.54946125598E-002
+5.40386038604E+009, +9.74830595987E-001, -9.93078102754E-002
+5.40388038804E+009, +9.62734032831E-001, -1.34956687714E-001
+5.40390039004E+009, +9.43275227821E-001, -1.71690249548E-001
+5.40392039204E+009, +9.16692772942E-001, -2.09666552453E-001
+5.40394039404E+009, +8.80272528475E-001, -2.48448388231E-001
+5.40396039604E+009, +8.34096568826E-001, -2.87000742768E-001
+5.40398039804E+009, +7.74755714910E-001, -3.19535455185E-001
+5.40400040004E+009, +7.00999917662E-001, -3.40838096996E-001
+5.40402040204E+009, +6.16538320280E-001, -3.41713256129E-001
+5.40404040404E+009, +5.27199530347E-001, -3.16573780979E-001
+5.40406040604E+009, +4.46181084655E-001, -2.65255437540E-001
+5.40408040804E+009, +3.83373255731E-001, -1.93319547179E-001
+5.40410041004E+009, +3.47315704068E-001, -1.07851845310E-001
+5.40412041204E+009, +3.38829101881E-001, -2.33452714430E-002
+5.40414041404E+009, +3.54033622402E-001, +5.50132686310E-002
+5.40416041604E+009, +3.84490780323E-001, +1.18864688012E-001
+5.40418041804E+009, +4.24824909804E-001, +1.68080246711E-001
+5.40420042004E+009, +4.68749410850E-001, +2.02257840900E-001
+5.40422042204E+009, +5.13588904402E-001, +2.24289879523E-001
+5.40424042404E+009, +5.56238234043E-001, +2.36526352826E-001
+5.40426042604E+009, +5.95804548759E-001, +2.41097888758E-001
+5.40428042804E+009, +6.30237397718E-001, +2.40590070897E-001
+5.40430043004E+009, +6.60700638942E-001, +2.36408611733E-001
+5.40432043204E+009, +6.87183628413E-001, +2.29665275108E-001
+5.40434043404E+009, +7.11020941939E-001, +2.20903242896E-001
+5.40436043604E+009, +7.32028833901E-001, +2.11207557911E-001
+5.40438043804E+009, +7.51152012958E-001, +2.00126332299E-001
+5.40440044004E+009, +7.68420415544E-001, +1.88551229862E-001
+5.40442044204E+009, +7.82586025750E-001, +1.77248985230E-001
+5.40444044404E+009, +7.95949142339E-001, +1.65388534040E-001
+5.40446044604E+009, +8.06448945436E-001, +1.54003101502E-001
+5.40448044804E+009, +8.17217829710E-001, +1.41845141641E-001
+5.40450045005E+009, +8.26455468128E-001, +1.30305219203E-001
+5.40452045205E+009, +8.35846519491E-001, +1.18168837651E-001
+5.40454045405E+009, +8.43261994484E-001, +1.06662336273E-001
+5.40456045605E+009, +8.50507429345E-001, +9.49999380684E-002
+5.40458045805E+009, +8.55285244547E-001, +8.42961963825E-002
+5.40460046005E+009, +8.60781998239E-001, +7.33973461644E-002
+5.40462046205E+009, +8.66725323564E-001, +6.15853964327E-002
+5.40464046405E+009, +8.72494092116E-001, +5.00416446270E-002
+5.40466046605E+009, +8.77666130344E-001, +3.83253398539E-002
+5.40468046805E+009, +8.80558277198E-001, +2.80851702787E-002
+5.40470047005E+009, +8.83557006585E-001, +1.75674802286E-002
+5.40472047205E+009, +8.85581846625E-001, +7.93832472096E-003
+5.40474047405E+009, +8.89214579914E-001, -3.30898840365E-003
+5.40476047605E+009, +8.92111214668E-001, -1.39285171756E-002
+5.40478047805E+009, +8.95941144499E-001, -2.54141438071E-002
+5.40480048005E+009, +8.97630783434E-001, -3.54674254184E-002
+5.40482048205E+009, +8.98661959181E-001, -4.51257209177E-002
+5.40484048405E+009, +8.99299698603E-001, -5.46641041414E-002
+5.40486048605E+009, +9.00091961389E-001, -6.42614054401E-002
+5.40488048805E+009, +9.02187441794E-001, -7.49400049290E-002
+5.40490049005E+009, +9.03814674768E-001, -8.55998374738E-002
+5.40492049205E+009, +9.05710512467E-001, -9.62347008211E-002
+5.40494049405E+009, +9.05699900902E-001, -1.05571157678E-001
+5.40496049605E+009, +9.05768406571E-001, -1.14992310854E-001
+5.40498049805E+009, +9.04856738074E-001, -1.23617047983E-001
+5.40500050005E+009, +9.05393967488E-001, -1.33949139831E-001
+5.40502050205E+009, +9.05988355761E-001, -1.43621041426E-001
+5.40504050405E+009, +9.07088874726E-001, -1.54482019911E-001
+5.40506050605E+009, +9.06757335301E-001, -1.63723104758E-001
+5.40508050805E+009, +9.05859231783E-001, -1.72911630221E-001
+5.40510051005E+009, +9.04352299970E-001, -1.81443509175E-001
+5.40512051205E+009, +9.03392276868E-001, -1.90415937226E-001
+5.40514051405E+009, +9.03242654598E-001, -2.00383937523E-001
+5.40516051605E+009, +9.03071863858E-001, -2.10516101988E-001
+5.40518051805E+009, +9.02888798702E-001, -2.20844031102E-001
+5.40520052005E+009, +9.01163845812E-001, -2.29250020824E-001
+5.40522052205E+009, +8.99613762509E-001, -2.38080081006E-001
+5.40524052405E+009, +8.97042953236E-001, -2.46056667760E-001
+5.40526052605E+009, +8.96403202734E-001, -2.55952641314E-001
+5.40528052805E+009, +8.95149381922E-001, -2.65306373424E-001
+5.40530053005E+009, +8.94517240632E-001, -2.75870948594E-001
+5.40532053205E+009, +8.92773134111E-001, -2.84862124167E-001
+5.40534053405E+009, +8.90413607270E-001, -2.93146307446E-001
+5.40536053605E+009, +8.87856822925E-001, -3.01421480568E-001
+5.40538053805E+009, +8.85147392720E-001, -3.09385422661E-001
+5.40540054005E+009, +8.83696429234E-001, -3.19272979239E-001
