"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.80000000000E+009, +8.00642543404E-001, +1.09768412318E-001
+5.80002000200E+009, +8.01137487686E-001, +1.03065333259E-001
+5.80004000400E+009, +8.01870874077E-001, +9.64247170503E-002
+5.80006000600E+009, +8.02360753829E-001, +8.96680465832E-002
+5.80008000800E+009, +8.03958001599E-001, +8.21712070582E-002
+5.80010001000E+009, +8.04961993737E-001, +7.50914132847E-002
+5.80012001200E+009, +8.06838264434E-001, +6.74988964789E-002
+5.80014001400E+009, +8.07302029889E-001, +6.04635357008E-002
+5.80016001600E+009, +8.07806423136E-001, +5.34653605764E-002
+5.80018001800E+009, +8.07810524267E-001, +4.65994616146E-002
+5.80020002000E+009, +8.08262676984E-001, +3.96819795819E-002
+5.80022002200E+009, +8.09443123690E-001, +3.17590700901E-002
+5.80024002400E+009, +8.10448956825E-001, +2.43395503517E-002
+5.80026002600E+009, +8.11562685839E-001, +1.63815686812E-002
+5.80028002800E+009, +8.11213476945E-001, +9.58662690531E-003
+5.80030003000E+009, +8.11687562617E-001, +2.22767307635E-003
+5.80032003200E+009, +8.11123268362E-001, -4.61737493047E-003
+5.80034003400E+009, +8.11859730767E-001, -1.25451764679E-002
+5.80036003600E+009, +8.12047516403E-001, -2.03241200111E-002
+5.80038003800E+009, +8.13005066143E-001, -2.83288895627E-002
+5.80040004000E+009, +8.13002983297E-001, -3.58290663946E-002
+5.80042004200E+009, +8.12635894153E-001, -4.32380998864E-002
+5.80044004400E+009, +8.12061499085E-001, -5.07389484020E-002
+5.80046004600E+009, +8.11512344387E-001, -5.82685061222E-002
+5.80048004800E+009, +8.11822297480E-001, -6.66290588710E-002
+5.80050005001E+009, +8.11593396256E-001, -7.44763460147E-002
+5.80052005201E+009, +8.11810732057E-001, -8.31921924370E-002
+5.80054005401E+009, +8.10883220224E-001, -9.05452984022E-002
+5.80056005601E+009, +8.10260612435E-001, -9.90168077056E-002
+5.80058005801E+009, +8.08938389713E-001, -1.06250334229E-001
+5.80060006001E+009, +8.08717786466E-001, -1.15086576476E-001
+5.80062006201E+009, +8.07794449551E-001, -1.23449689641E-001
+5.80064006401E+009, +8.07491948611E-001, -1.32661924808E-001
+5.80066006601E+009, +8.06464938781E-001, -1.41315459232E-001
+5.80068006801E+009, +8.04895207770E-001, -1.49588536624E-001
+5.80070007001E+009, +8.03382551859E-001, -1.58326273632E-001
+5.80072007201E+009, +8.01501154748E-001, -1.66809999934E-001
+5.80074007401E+009, +8.00570412233E-001, -1.76842763976E-001
+5.80076007601E+009, +7.98868128676E-001, -1.86385361897E-001
+5.80078007801E+009, +7.97604524172E-001, -1.96813870438E-001
+5.80080008001E+009, +7.95102588918E-001, -2.06051177061E-001
+5.80082008201E+009, +7.92451314133E-001, -2.16305830267E-001
+5.80084008401E+009, +7.88803773868E-001, -2.25666840368E-001
+5.80086008601E+009, +7.85520321890E-001, -2.36126398614E-001
+5.80088008801E+009, +7.81623442682E-001, -2.46799070482E-001
+5.80090009001E+009, +7.77840754742E-001, -2.58401368386E-001
+5.80092009201E+009, +7.73110140520E-001, -2.70050709030E-001
+5.80094009401E+009, +7.67425260575E-001, -2.81447979863E-001
+5.80096009601E+009, +7.60794899828E-001, -2.93030535185E-001
+5.80098009801E+009, +7.52555925070E-001, -3.03774926607E-001
+5.80100010001E+009, +7.44363770674E-001, -3.15848777865E-001
+5.80102010201E+009, +7.34316111059E-001, -3.26727399297E-001
+5.80104010401E+009, +7.23715020958E-001, -3.38082264629E-001
+5.80106010601E+009, +7.10825141219E-001, -3.47950843315E-001
+5.80108010801E+009, +6.97215169236E-001, -3.56668989841E-001
+5.80110011001E+009, +6.81513328626E-001, -3.63415274208E-001
+5.80112011201E+009, +6.65587049346E-001, -3.68379978278E-001
+5.80114011401E+009, +6.49195885752E-001, -3.71683642107E-001
+5.80116011601E+009, +6.32827820074E-001, -3.72900265186E-001
+5.80118011801E+009, +6.17160379145E-001, -3.71993044539E-001
+5.80120012001E+009, +6.01644065655E-001, -3.68068992376E-001
+5.80122012201E+009, +5.88050291091E-001, -3.62855775741E-001
+5.80124012401E+009, +5.75915762545E-001, -3.55546409681E-001
+5.80126012601E+009, +5.65613684854E-001, -3.47730144612E-001
+5.80128012801E+009, +5.57074261077E-001, -3.39537998641E-001
+5.80130013001E+009, +5.50870342721E-001, -3.31519719719E-001
+5.80132013201E+009, +5.45933250767E-001, -3.22788416029E-001
+5.80134013401E+009, +5.42847491064E-001, -3.14268875004E-001
+5.80136013601E+009, +5.40370825655E-001, -3.05836236258E-001
+5.80138013801E+009, +5.39405989306E-001, -2.99191628054E-001
+5.80140014001E+009, +5.39073521020E-001, -2.93151298947E-001
+5.80142014201E+009, +5.39352966976E-001, -2.88465158424E-001
+5.80144014401E+009, +5.39622084050E-001, -2.83388473699E-001
+5.80146014601E+009, +5.39106319150E-001, -2.77480672948E-001
+5.80148014801E+009, +5.39263986687E-001, -2.71696466238E-001
+5.80150015002E+009, +5.39455943739E-001, -2.64023261900E-001
+5.80152015202E+009, +5.41392282304E-001, -2.56529419113E-001
+5.80154015402E+009, +5.45770497662E-001, -2.46962554656E-001
+5.80156015602E+009, +5.53422193496E-001, -2.37756154867E-001
+5.80158015802E+009, +5.64045148220E-001, -2.29060573026E-001
+5.80160016002E+009, +5.77585878926E-001, -2.22906374956E-001
+5.80162016202E+009, +5.92724701283E-001, -2.18496832513E-001
+5.80164016402E+009, +6.11236623364E-001, -2.16993648803E-001
+5.80166016602E+009, +6.31020973517E-001, -2.21075091461E-001
+5.80168016802E+009, +6.50306470083E-001, -2.30626896706E-001
+5.80170017002E+009, +6.66328077667E-001, -2.45655298518E-001
+5.80172017202E+009, +6.77034335967E-001, -2.62378730334E-001
+5.80174017402E+009, +6.83930530809E-001, -2.80732079146E-001
+5.80176017602E+009, +6.86637888007E-001, -2.98011415620E-001
+5.80178017802E+009, +6.87159151951E-001, -3.15300947440E-001
+5.80180018002E+009, +6.85573566678E-001, -3.30817069231E-001
+5.80182018202E+009, +6.82899748792E-001, -3.45631893988E-001
+5.80184018402E+009, +6.79391000114E-001, -3.58004393242E-001
+5.80186018602E+009, +6.74852698019E-001, -3.68939773977E-001
+5.80188018802E+009, +6.70360110882E-001, -3.78991860434E-001
+5.80190019002E+009, +6.65961049601E-001, -3.88232760550E-001
+5.80192019202E+009, +6.61827559761E-001, -3.97802348166E-001
+5.80194019402E+009, +6.57366961281E-001, -4.06272265643E-001
+5.80196019602E+009, +6.53441704936E-001, -4.15195343564E-001
+5.80198019802E+009, +6.48674868469E-001, -4.22327128024E-001
