"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+009, -9.69032119568E-001, +4.27451055314E-002
+5.00002000200E+009, -9.67714085001E-001, +5.09434450574E-002
+5.00004000400E+009, -9.67055452039E-001, +5.97639624601E-002
+5.00006000600E+009, -9.66175968265E-001, +6.84471857244E-002
+5.00008000800E+009, -9.65428736088E-001, +7.73559875905E-002
+5.00010001000E+009, -9.62975227970E-001, +8.48243694170E-002
+5.00012001200E+009, -9.61195259719E-001, +9.30167792164E-002
+5.00014001400E+009, -9.58780520359E-001, +1.00462989717E-001
+5.00016001600E+009, -9.57478589212E-001, +1.09259166191E-001
+5.00018001800E+009, -9.55836098373E-001, +1.17723479736E-001
+5.00020002000E+009, -9.55075095523E-001, +1.26901061942E-001
+5.00022002200E+009, -9.52615239282E-001, +1.34743913861E-001
+5.00024002400E+009, -9.50680300195E-001, +1.43059204315E-001
+5.00026002600E+009, -9.47751617865E-001, +1.50701935834E-001
+5.00028002800E+009, -9.45124132384E-001, +1.58302730073E-001
+5.00030003000E+009, -9.43160164622E-001, +1.66823777330E-001
+5.00032003200E+009, -9.40934589049E-001, +1.75231332940E-001
+5.00034003400E+009, -9.39211377479E-001, +1.84379859182E-001
+5.00036003600E+009, -9.35983764305E-001, +1.91911750286E-001
+5.00038003800E+009, -9.33389090640E-001, +2.00009015058E-001
+5.00040004000E+009, -9.29689110781E-001, +2.07198793213E-001
+5.00042004200E+009, -9.27324637584E-001, +2.15866656841E-001
+5.00044004400E+009, -9.24242177519E-001, +2.23619214444E-001
+5.00046004600E+009, -9.21716894713E-001, +2.32431573964E-001
+5.00048004800E+009, -9.18721064173E-001, +2.40628171553E-001
+5.00050005001E+009, -9.15375532400E-001, +2.48433341548E-001
+5.00052005201E+009, -9.11558742602E-001, +2.55733022835E-001
+5.00054005401E+009, -9.07642226960E-001, +2.63168589299E-001
+5.00056005601E+009, -9.04665430656E-001, +2.71594012898E-001
+5.00058005801E+009, -9.00990216040E-001, +2.79387911081E-001
+5.00060006001E+009, -8.97989764402E-001, +2.88339534239E-001
+5.00062006201E+009, -8.93771061695E-001, +2.95618877770E-001
+5.00064006401E+009, -8.89914791488E-001, +3.03543957528E-001
+5.00066006601E+009, -8.85040229802E-001, +3.10035808872E-001
+5.00068006801E+009, -8.80869458372E-001, +3.18071633521E-001
+5.00070007001E+009, -8.76916336274E-001, +3.26207667562E-001
+5.00072007201E+009, -8.73390300075E-001, +3.34825654668E-001
+5.00074007401E+009, -8.68925802020E-001, +3.42427719559E-001
+5.00076007601E+009, -8.63971596027E-001, +3.49421534499E-001
+5.00078007801E+009, -8.58911832802E-001, +3.56425110690E-001
+5.00080008001E+009, -8.53726102557E-001, +3.63280819308E-001
+5.00082008201E+009, -8.49480342815E-001, +3.71720599531E-001
+5.00084008401E+009, -8.44599085433E-001, +3.79335373562E-001
+5.00086008601E+009, -8.40192061852E-001, +3.88042303713E-001
+5.00088008801E+009, -8.34551844085E-001, +3.94358859670E-001
+5.00090009001E+009, -8.29247107488E-001, +4.01719161678E-001
+5.00092009201E+009, -8.23123604669E-001, +4.07637214333E-001
+5.00094009401E+009, -8.17795607228E-001, +4.14997180841E-001
+5.00096009601E+009, -8.12181019019E-001, +4.22834687264E-001
+5.00098009801E+009, -8.06694442152E-001, +4.30853661142E-001
+5.00100010001E+009, -8.00792544201E-001, +4.38222849179E-001
+5.00102010201E+009, -7.94451615509E-001, +4.44479100078E-001
+5.00104010401E+009, -7.88171955151E-001, +4.50853875958E-001
