"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.00000000000E+009, +1.97544221082E-001, -1.92618484496E+000
+4.00002000200E+009, +1.82559203305E-001, -1.92663754718E+000
+4.00004000400E+009, +1.67344859228E-001, -1.92656540637E+000
+4.00006000600E+009, +1.49974708549E-001, -1.93019341289E+000
+4.00008000800E+009, +1.33782144790E-001, -1.93133338299E+000
+4.00010001000E+009, +1.16026493108E-001, -1.93521105347E+000
+4.00012001200E+009, +1.01355977633E-001, -1.93438130641E+000
+4.00014001400E+009, +8.54070593938E-002, -1.93471058948E+000
+4.00016001600E+009, +7.08764183690E-002, -1.93336270316E+000
+4.00018001800E+009, +5.42394834492E-002, -1.93478937438E+000
+4.00020002000E+009, +3.75953048705E-002, -1.93594252106E+000
+4.00022002200E+009, +2.04052539908E-002, -1.93771504374E+000
+4.00024002400E+009, +4.16123093715E-003, -1.93825805164E+000
+4.00026002600E+009, -1.09637932880E-002, -1.93697260269E+000
+4.00028002800E+009, -2.66709352577E-002, -1.93646141822E+000
+4.00030003000E+009, -4.18290760519E-002, -1.93497718698E+000
+4.00032003200E+009, -5.89384469544E-002, -1.93586426192E+000
+4.00034003400E+009, -7.54032813376E-002, -1.93596623548E+000
+4.00036003600E+009, -9.32923903027E-002, -1.93743825727E+000
+4.00038003800E+009, -1.08049790301E-001, -1.93519711308E+000
+4.00040004000E+009, -1.24305085291E-001, -1.93429104306E+000
+4.00042004200E+009, -1.38811967101E-001, -1.93154263524E+000
+4.00044004400E+009, -1.55351074050E-001, -1.93061232363E+000
+4.00046004600E+009, -1.71841024043E-001, -1.92993365824E+000
+4.00048004800E+009, -1.88736758959E-001, -1.92952888578E+000
+4.00050005001E+009, -2.06170627437E-001, -1.92922757771E+000
+4.00052005201E+009, -2.20738879120E-001, -1.92621395995E+000
+4.00054005401E+009, -2.36422289372E-001, -1.92394835488E+000
+4.00056005601E+009, -2.50568831673E-001, -1.92045768208E+000
+4.00058005801E+009, -2.68138617362E-001, -1.91927416087E+000
+4.00060006001E+009, -2.84165151467E-001, -1.91750263143E+000
+4.00062006201E+009, -3.02185333239E-001, -1.91693993651E+000
+4.00064006401E+009, -3.17423640099E-001, -1.91364622881E+000
+4.00066006601E+009, -3.33025421329E-001, -1.91085672636E+000
+4.00068006801E+009, -3.47738049674E-001, -1.90715084221E+000
+4.00070007001E+009, -3.63165183509E-001, -1.90391323496E+000
+4.00072007201E+009, -3.79404256664E-001, -1.90091597243E+000
+4.00074007401E+009, -3.95432945709E-001, -1.89795222533E+000
+4.00076007601E+009, -4.13443909731E-001, -1.89652617476E+000
+4.00078007801E+009, -4.27993268203E-001, -1.89203102757E+000
+4.00080008001E+009, -4.44325629424E-001, -1.88905369172E+000
+4.00082008201E+009, -4.57686284968E-001, -1.88351516114E+000
+4.00084008401E+009, -4.74235237849E-001, -1.88009888377E+000
+4.00086008601E+009, -4.89359861826E-001, -1.87548090038E+000
+4.00088008801E+009, -5.07002799615E-001, -1.87322620380E+000
+4.00090009001E+009, -5.22907450177E-001, -1.86901080668E+000
+4.00092009201E+009, -5.38598258764E-001, -1.86480328923E+000
+4.00094009401E+009, -5.52669501142E-001, -1.85891742213E+000
+4.00096009601E+009, -5.66414786174E-001, -1.85325512311E+000
+4.00098009801E+009, -5.83453874817E-001, -1.84966451808E+000
+4.00100010001E+009, -5.99829301759E-001, -1.84549867982E+000
+4.00102010201E+009, -6.17735422035E-001, -1.84215934447E+000
+4.00104010401E+009, -6.30860630633E-001, -1.83537266994E+000
+4.00106010601E+009, -6.45807069358E-001, -1.82987122887E+000
+4.00108010801E+009, -6.58282358970E-001, -1.82279818508E+000
+4.00110011001E+009, -6.74983128421E-001, -1.81808716892E+000
+4.00112011201E+009, -6.90500544147E-001, -1.81283463053E+000
+4.00114011401E+009, -7.07718044371E-001, -1.80812510578E+000
+4.00116011601E+009, -7.23205264666E-001, -1.80274763121E+000
+4.00118011801E+009, -7.36899538034E-001, -1.79586882867E+000
+4.00120012001E+009, -7.50659525032E-001, -1.78893604800E+000
+4.00122012201E+009, -7.63792495953E-001, -1.78158703988E+000
+4.00124012401E+009, -7.80712699070E-001, -1.77615314870E+000
+4.00126012601E+009, -7.95552385345E-001, -1.76973171480E+000
+4.00128012801E+009, -8.12825899244E-001, -1.76423454491E+000
+4.00130013001E+009, -8.26257207679E-001, -1.75678029451E+000
+4.00132013201E+009, -8.39799779833E-001, -1.74941669354E+000
+4.00134013401E+009, -8.52322748755E-001, -1.74145297718E+000
+4.00136013601E+009, -8.67185435725E-001, -1.73443392543E+000
+4.00138013801E+009, -8.82691601288E-001, -1.72757848769E+000
+4.00140014001E+009, -8.98733223974E-001, -1.72081542172E+000
+4.00142014201E+009, -9.14439779457E-001, -1.71365398023E+000
+4.00144014401E+009, -9.26495995664E-001, -1.70552796954E+000
+4.00146014601E+009, -9.40254878103E-001, -1.69737740061E+000
+4.00148014801E+009, -9.51908621734E-001, -1.68834153259E+000
+4.00150015002E+009, -9.68431964916E-001, -1.68130556354E+000
+4.00152015202E+009, -9.83291032767E-001, -1.67348666028E+000
+4.00154015402E+009, -9.99017456333E-001, -1.66596592559E+000
+4.00156015602E+009, -1.01180009830E+000, -1.65711422179E+000
+4.00158015802E+009, -1.02491007559E+000, -1.64827623015E+000
+4.00160016002E+009, -1.03627477251E+000, -1.63869827349E+000
+4.00162016202E+009, -1.04955380080E+000, -1.63002382902E+000
+4.00164016402E+009, -1.06525188554E+000, -1.62196562259E+000
+4.00166016602E+009, -1.07916407029E+000, -1.61310463162E+000
+4.00168016802E+009, -1.09455267716E+000, -1.60468796065E+000
+4.00170017002E+009, -1.10601513686E+000, -1.59489166380E+000
+4.00172017202E+009, -1.11880180220E+000, -1.58546384393E+000
+4.00174017402E+009, -1.12949029925E+000, -1.57537612842E+000
+4.00176017602E+009, -1.14416707614E+000, -1.56629242404E+000
+4.00178017802E+009, -1.15749691988E+000, -1.55676639116E+000
+4.00180018002E+009, -1.17290657118E+000, -1.54774840952E+000
+4.00182018202E+009, -1.18521779384E+000, -1.53768225344E+000
+4.00184018402E+009, -1.19729716194E+000, -1.52757417604E+000
+4.00186018602E+009, -1.20788617539E+000, -1.51689883381E+000
+4.00188018802E+009, -1.21903006007E+000, -1.50643566082E+000
+4.00190019002E+009, -1.23410981048E+000, -1.49668767979E+000
+4.00192019202E+009, -1.24674312311E+000, -1.48623002581E+000
+4.00194019402E+009, -1.26155031369E+000, -1.47648120975E+000
+4.00196019602E+009, -1.27169337254E+000, -1.46546807970E+000
+4.00198019802E+009, -1.28374157881E+000, -1.45462434583E+000
+4.00200020002E+009, -1.29269180389E+000, -1.44332289537E+000
+4.00202020202E+009, -1.30574380212E+000, -1.43252385264E+000
+4.00204020402E+009, -1.31824088956E+000, -1.42160410154E+000
+4.00206020602E+009, -1.33278036994E+000, -1.41096743974E+000
+4.00208020802E+009, -1.34448729809E+000, -1.39986937985E+000
+4.00210021002E+009, -1.35424636239E+000, -1.38820362607E+000
+4.00212021202E+009, -1.36438587347E+000, -1.37651223166E+000
+4.00214021402E+009, -1.37436487708E+000, -1.36497645340E+000
+4.00216021602E+009, -1.38809000129E+000, -1.35365877680E+000
+4.00218021802E+009, -1.39958979622E+000, -1.34205773846E+000
+4.00220022002E+009, -1.41334594138E+000, -1.33062357899E+000
+4.00222022202E+009, -1.42245733299E+000, -1.31849013260E+000
+4.00224022402E+009, -1.43348084591E+000, -1.30647913055E+000
+4.00226022602E+009, -1.44108967612E+000, -1.29418576978E+000
+4.00228022802E+009, -1.45233739102E+000, -1.28216429001E+000
+4.00230023002E+009, -1.46420311852E+000, -1.27007901681E+000
+4.00232023202E+009, -1.47644508888E+000, -1.25782267307E+000
+4.00234023402E+009, -1.48744650095E+000, -1.24546569917E+000
+4.00236023602E+009, -1.49560059199E+000, -1.23273487597E+000
+4.00238023802E+009, -1.50513662777E+000, -1.22030827120E+000
+4.00240024002E+009, -1.51292029321E+000, -1.20718895780E+000
+4.00242024202E+009, -1.52533752701E+000, -1.19479717930E+000
+4.00244024402E+009, -1.53513546236E+000, -1.18193129640E+000
+4.00246024602E+009, -1.54768322082E+000, -1.16926114183E+000
+4.00248024802E+009, -1.55613507015E+000, -1.15624766796E+000
+4.00250025003E+009, -1.56536233497E+000, -1.14297485580E+000
+4.00252025203E+009, -1.57305126251E+000, -1.12995973268E+000
+4.00254025403E+009, -1.58143226085E+000, -1.11669242432E+000
+4.00256025603E+009, -1.59136202685E+000, -1.10337372407E+000
+4.00258025803E+009, -1.60078376149E+000, -1.09007982975E+000
+4.00260026003E+009, -1.61164404245E+000, -1.07648647847E+000
+4.00262026203E+009, -1.61931253733E+000, -1.06294851730E+000
+4.00264026403E+009, -1.62807021381E+000, -1.04929110494E+000
+4.00266026603E+009, -1.63405755091E+000, -1.03564829800E+000
+4.00268026803E+009, -1.64358687702E+000, -1.02187038398E+000
