"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.80000000000E+009, +2.07421937264E-001, +3.08217849046E-001
+4.80002000200E+009, +8.21191089691E-002, +3.60785504186E-001
+4.80004000400E+009, -1.95935778119E-002, +4.46990636789E-001
+4.80006000600E+009, -9.07192404051E-002, +5.55602577080E-001
+4.80008000800E+009, -1.26362117119E-001, +6.68312814048E-001
+4.80010001000E+009, -1.33054233741E-001, +7.79359113572E-001
+4.80012001200E+009, -1.15768349048E-001, +8.79062909895E-001
+4.80014001400E+009, -7.98191047410E-002, +9.68573084217E-001
+4.80016001600E+009, -3.14561480775E-002, +1.04402213379E+000
+4.80018001800E+009, +2.45621687302E-002, +1.10506410983E+000
+4.80020002000E+009, +8.46298655392E-002, +1.15268375167E+000
+4.80022002200E+009, +1.46788953865E-001, +1.18900280583E+000
+4.80024002400E+009, +2.09676726882E-001, +1.21520032873E+000
+4.80026002600E+009, +2.76162463033E-001, +1.23547508300E+000
+4.80028002800E+009, +3.43046796455E-001, +1.24789589356E+000
+4.80030003000E+009, +4.13963780357E-001, +1.25383278787E+000
+4.80032003200E+009, +4.86377203267E-001, +1.25138619675E+000
+4.80034003400E+009, +5.63491037563E-001, +1.23922422664E+000
+4.80036003600E+009, +6.48450975843E-001, +1.21387012457E+000
+4.80038003800E+009, +7.44745095425E-001, +1.16758530823E+000
+4.80040004000E+009, +8.61835615429E-001, +1.07697805294E+000
+4.80042004200E+009, +9.67994296301E-001, +8.82439916948E-001
+4.80044004400E+009, +9.23141016795E-001, +5.64950024655E-001
+4.80046004600E+009, +6.32049279896E-001, +3.56137606957E-001
+4.80048004800E+009, +3.45010684334E-001, +4.06727481443E-001
+4.80050005001E+009, +2.04944931397E-001, +5.56538718372E-001
+4.80052005201E+009, +1.64296500731E-001, +6.95752228583E-001
+4.80054005401E+009, +1.70575713028E-001, +8.02829524994E-001
+4.80056005601E+009, +1.99765710881E-001, +8.86656027013E-001
+4.80058005801E+009, +2.39112728434E-001, +9.48374771864E-001
+4.80060006001E+009, +2.80829038504E-001, +9.92296855828E-001
+4.80062006201E+009, +3.24359863307E-001, +1.02410318011E+000
+4.80064006401E+009, +3.64879820185E-001, +1.04488971714E+000
+4.80066006601E+009, +4.06022831466E-001, +1.06031005870E+000
+4.80068006801E+009, +4.42707127753E-001, +1.06949575898E+000
+4.80070007001E+009, +4.78155460121E-001, +1.07541875309E+000
+4.80072007201E+009, +5.08867697808E-001, +1.07692420854E+000
+4.80074007401E+009, +5.37777775930E-001, +1.07639340389E+000
+4.80076007601E+009, +5.64006474212E-001, +1.07353899626E+000
+4.80078007801E+009, +5.90037792980E-001, +1.07027227912E+000
+4.80080008001E+009, +6.15644099399E-001, +1.06615789171E+000
+4.80082008201E+009, +6.39741892114E-001, +1.06088024393E+000
+4.80084008401E+009, +6.62709184593E-001, +1.05506726248E+000
+4.80086008601E+009, +6.82649664593E-001, +1.04754485828E+000
+4.80088008801E+009, +7.02455511010E-001, +1.03968753828E+000
+4.80090009001E+009, +7.20400738487E-001, +1.03110427700E+000
+4.80092009201E+009, +7.41165896318E-001, +1.02337930094E+000
+4.80094009401E+009, +7.59803521630E-001, +1.01448497513E+000
+4.80096009601E+009, +7.79637429050E-001, +1.00621204731E+000
+4.80098009801E+009, +7.96017820280E-001, +9.96386083762E-001
+4.80100010001E+009, +8.12203243817E-001, +9.86392653113E-001
+4.80102010201E+009, +8.26765967688E-001, +9.76037935276E-001
+4.80104010401E+009, +8.42890547061E-001, +9.65550072649E-001
+4.80106010601E+009, +8.59342370108E-001, +9.55157194221E-001
+4.80108010801E+009, +8.75969566044E-001, +9.44728312487E-001
+4.80110011001E+009, +8.92330539977E-001, +9.33781187198E-001
+4.80112011201E+009, +9.05684310789E-001, +9.22026408250E-001
+4.80114011401E+009, +9.20340456902E-001, +9.10443603015E-001
+4.80116011601E+009, +9.32606974132E-001, +8.98209146906E-001
+4.80118011801E+009, +9.47548102359E-001, +8.86321825273E-001
+4.80120012001E+009, +9.61135379791E-001, +8.73768463277E-001
+4.80122012201E+009, +9.77086741063E-001, +8.61321488480E-001
+4.80124012401E+009, +9.90743853357E-001, +8.48469088758E-001
+4.80126012601E+009, +1.00405144240E+000, +8.35230341131E-001
+4.80128012801E+009, +1.01623951043E+000, +8.21545274057E-001
+4.80130013001E+009, +1.02805016326E+000, +8.07439346549E-001
+4.80132013201E+009, +1.04183409538E+000, +7.93200125396E-001
+4.80134013401E+009, +1.05569989613E+000, +7.78526090793E-001
+4.80136013601E+009, +1.07096770872E+000, +7.63469309276E-001
+4.80138013801E+009, +1.08260068284E+000, +7.47984685577E-001
+4.80140014001E+009, +1.09487319686E+000, +7.32005064943E-001
+4.80142014201E+009, +1.10582079418E+000, +7.15310193037E-001
+4.80144014401E+009, +1.11977790578E+000, +6.97989903553E-001
+4.80146014601E+009, +1.13391693247E+000, +6.80142029937E-001
+4.80148014801E+009, +1.14883873855E+000, +6.61372888899E-001
