smurf_band,smurf_chan,smurf_freq,vna_freq,design_freq,index,mux_band,pad,mux_posn,biasline,pol,freq,det_row,det_col,rhomb,opt,det_x,det_y
4.0,304.0,4284.224,4284.224,4220.013571428571,34.0,1.0,4.0,16.0,11.0,B,150,5.0,9.0,B,1.0,40.159956,18.359738999999998
4.0,368.0,4285.0,4285.0,4221.88428571429,35.0,1.0,8.0,16.0,11.0,B,150,3.0,9.0,B,1.0,34.859956,27.539607999999998
4.0,8.0,4286.754,4286.754,4225.62571428571,37.0,1.0,16.0,16.0,11.0,B,150,11.0,10.0,B,1.0,58.709956,-4.5899350000000005
4.0,72.0,4287.72,4287.72,4227.4964285714295,38.0,1.0,20.0,16.0,11.0,B,150,9.0,10.0,B,1.0,53.409956,4.5899350000000005
4.0,136.0,4289.768,4289.768,4229.36714285714,39.0,1.0,24.0,16.0,11.0,B,150,7.0,10.0,B,1.0,48.109956,13.769803999999999
4.0,264.0,4291.664,4291.664,4231.23785714286,40.0,1.0,28.0,16.0,11.0,B,150,5.0,10.0,B,1.0,42.809956,22.949672999999997
4.0,328.0,4292.688,4292.688,4233.10857142857,41.0,1.0,32.0,16.0,11.0,B,150,3.0,10.0,B,1.0,37.509955999999995,32.129542
4.0,392.0,4293.768,4293.768,4234.979285714289,42.0,1.0,36.0,16.0,11.0,B,150,1.0,10.0,B,1.0,32.209956000000005,41.309412
4.0,40.0,4298.874,4298.874,4236.85,43.0,1.0,40.0,16.0,11.0,B,150,11.0,11.0,B,1.0,61.359956,0.0
4.0,104.0,4300.324,4300.324,4238.7207142857105,44.0,1.0,44.0,16.0,11.0,B,150,9.0,11.0,B,1.0,56.059956,9.179869
4.0,296.0,4304.44,4304.44,4240.59142857143,45.0,1.0,48.0,16.0,11.0,B,150,7.0,11.0,B,1.0,50.759955999999995,18.359738999999998
4.0,24.0,4306.756,4306.756,4242.46214285714,46.0,1.0,52.0,16.0,11.0,B,150,5.0,11.0,B,1.0,45.459956,27.539607999999998
4.0,88.0,4309.09,4309.09,4244.33285714286,47.0,1.0,56.0,16.0,11.0,B,150,3.0,11.0,B,1.0,40.159956,36.719477
4.0,280.0,4312.442,4312.442,4246.20357142857,48.0,1.0,60.0,16.0,11.0,B,150,1.0,11.0,B,1.0,34.859956,45.899345999999994
4.0,120.0,4316.656,4316.656,4251.79642857143,50.0,1.0,2.0,16.0,11.0,B,150,6.0,9.0,B,1.0,42.809956,13.769803999999999
4.0,184.0,4317.456,4317.456,4255.53785714286,52.0,1.0,10.0,16.0,11.0,B,150,2.0,9.0,B,1.0,32.209956000000005,32.129542
4.0,248.0,4318.894,4318.894,4257.40857142857,53.0,1.0,14.0,16.0,11.0,B,150,0.0,9.0,B,1.0,26.909956,41.309412
4.0,312.0,4321.128,4321.128,4261.15,55.0,1.0,22.0,16.0,11.0,B,150,8.0,10.0,B,1.0,50.759955999999995,9.179869
4.0,376.0,4323.722,4323.722,4263.020714285711,56.0,1.0,26.0,16.0,11.0,B,150,6.0,10.0,B,1.0,45.459956,18.359738999999998
4.0,4.0,4324.538,4324.538,4264.89142857143,57.0,1.0,30.0,16.0,11.0,B,150,4.0,10.0,B,1.0,40.159956,27.539607999999998
4.0,68.0,4325.858,4325.858,4266.76214285714,58.0,1.0,34.0,16.0,11.0,B,150,2.0,10.0,B,1.0,34.859956,36.719477
4.0,132.0,4328.266,4328.266,4268.63285714286,59.0,1.0,38.0,16.0,11.0,B,150,0.0,10.0,B,1.0,29.559956000000003,45.899345999999994
4.0,260.0,4329.942,4329.942,4268.63285714286,59.0,1.0,38.0,16.0,11.0,B,150,0.0,10.0,B,1.0,29.559956000000003,45.899345999999994
4.0,324.0,4331.794,4331.794,4270.5035714285705,60.0,1.0,42.0,16.0,11.0,B,150,10.0,11.0,B,1.0,58.709956,4.5899350000000005
4.0,36.0,4334.018,4334.018,4272.37428571429,61.0,1.0,46.0,16.0,11.0,B,150,8.0,11.0,B,1.0,53.409956,13.769803999999999
4.0,100.0,4335.472,4335.472,4274.245,62.0,1.0,50.0,16.0,11.0,B,150,6.0,11.0,B,1.0,48.109956,22.949672999999997
4.0,164.0,4335.986,4335.986,4276.11571428571,63.0,1.0,54.0,16.0,11.0,B,150,4.0,11.0,B,1.0,42.809956,32.129542
4.0,228.0,4337.348,4337.348,4277.986428571429,64.0,1.0,58.0,16.0,11.0,B,150,2.0,11.0,B,1.0,37.509955999999995,41.309412
4.0,292.0,4339.642,4339.642,4293.34,4.0,2.0,15.0,27.0,7.0,B,90,11.0,4.0,C,1.0,-49.229977999999996,-21.009738999999996
4.0,356.0,4342.118,4342.118,4297.08142857143,6.0,2.0,23.0,27.0,7.0,B,90,11.0,0.0,C,1.0,-59.829978,-2.65
4.0,420.0,4343.342,4343.342,4298.95214285714,7.0,2.0,27.0,27.0,7.0,A,90,10.0,10.0,C,1.0,-28.029978,-48.549346
4.0,20.0,4345.392,4345.392,4300.822857142861,8.0,2.0,31.0,27.0,7.0,A,90,10.0,8.0,C,1.0,-33.329978,-39.369476999999996
4.0,84.0,4345.916,4345.916,4300.822857142861,8.0,2.0,31.0,27.0,7.0,A,90,10.0,8.0,C,1.0,-33.329978,-39.369476999999996
4.0,276.0,4348.516,4348.516,4302.693571428571,9.0,2.0,35.0,27.0,7.0,A,90,10.0,6.0,C,1.0,-38.629977999999994,-30.189607999999996
4.0,340.0,4350.042,4350.042,4304.564285714289,10.0,2.0,39.0,27.0,7.0,A,90,10.0,4.0,C,1.0,-43.929978,-21.009738999999996
4.0,404.0,4350.698,4350.698,4306.435,11.0,2.0,43.0,27.0,7.0,A,90,10.0,2.0,C,1.0,-49.229977999999996,-11.829868999999999
4.0,468.0,4351.122,4351.122,4308.305714285711,12.0,2.0,47.0,27.0,7.0,A,90,10.0,0.0,C,1.0,-54.52997799999999,-2.65
4.0,52.0,4353.938,4353.938,4312.04714285714,14.0,2.0,55.0,27.0,7.0,B,90,9.0,9.0,C,1.0,-25.379977999999998,-43.959412
4.0,116.0,4356.906,4356.906,4313.91785714286,15.0,2.0,59.0,27.0,7.0,B,90,9.0,7.0,C,1.0,-30.679978,-34.779542
4.0,308.0,4359.602,4359.602,4315.78857142857,16.0,2.0,63.0,27.0,7.0,B,90,9.0,5.0,C,1.0,-35.979977999999996,-25.599673
4.0,12.0,4365.424,4365.424,4319.5107142857105,17.0,2.0,1.0,27.0,7.0,B,90,11.0,11.0,C,1.0,-30.679978,-53.139281
4.0,268.0,4367.824,4367.824,4321.381428571429,18.0,2.0,5.0,27.0,7.0,B,90,11.0,9.0,C,1.0,-35.979977999999996,-43.959412
