smurf_band,smurf_chan,smurf_freq,vna_freq,design_freq,index,mux_band,pad,mux_posn,biasline,pol,freq,det_row,det_col,rhomb,opt,det_x,det_y
0.0,185.0,4012.804,4012.804,4022.741428571431,2.0,0.0,7.0,17.0,11.0,A,150,8.0,0.0,C,1.0,-43.929978,-2.65
0.0,121.0,4014.784,4014.784,4024.61214285714,3.0,0.0,11.0,17.0,11.0,A,150,6.0,0.0,C,1.0,-33.329978,-2.65
0.0,249.0,4016.726,4016.726,4026.4828571428598,4.0,0.0,15.0,17.0,11.0,A,150,4.0,0.0,C,1.0,-22.729978,-2.65
0.0,505.0,4018.746,4018.746,4028.3535714285695,5.0,0.0,19.0,17.0,11.0,A,150,2.0,0.0,C,1.0,-12.129978000000001,-2.65
0.0,261.0,4020.352,4020.352,4030.2242857142896,6.0,0.0,23.0,17.0,11.0,A,150,0.0,0.0,C,1.0,-1.5299779999999998,-2.65
0.0,133.0,4021.874,4021.874,4032.095,7.0,0.0,27.0,17.0,11.0,A,150,10.0,1.0,C,1.0,-51.879977999999994,-7.239935
0.0,69.0,4024.794,4024.794,4033.9657142857104,8.0,0.0,31.0,17.0,11.0,A,150,8.0,1.0,C,1.0,-41.27997799999999,-7.239935
0.0,197.0,4026.334,4026.334,4037.70714285714,10.0,0.0,39.0,17.0,11.0,A,150,4.0,1.0,C,1.0,-20.079978,-7.239935
0.0,453.0,4028.336,4028.336,4039.57785714286,11.0,0.0,43.0,17.0,11.0,A,150,2.0,1.0,C,1.0,-9.479978000000001,-7.239935
0.0,37.0,4029.266,4029.266,4041.4485714285693,12.0,0.0,47.0,17.0,11.0,A,150,0.0,1.0,C,1.0,1.1200219999999999,-7.239935
0.0,165.0,4031.45,4031.45,4043.31928571429,13.0,0.0,51.0,17.0,11.0,A,150,10.0,2.0,C,1.0,-49.229977999999996,-11.829868999999999
0.0,421.0,4033.14,4033.14,4045.19,14.0,0.0,55.0,17.0,11.0,A,150,8.0,2.0,C,1.0,-38.629977999999994,-11.829868999999999
0.0,357.0,4035.054,4035.054,4047.06071428571,15.0,0.0,59.0,17.0,11.0,A,150,6.0,2.0,C,1.0,-28.029978,-11.829868999999999
0.0,485.0,4037.422,4037.422,4048.931428571431,16.0,0.0,63.0,17.0,11.0,A,150,4.0,2.0,C,1.0,-17.429978,-11.829868999999999
0.0,85.0,4043.646,4043.646,4052.65357142857,17.0,0.0,1.0,17.0,11.0,A,150,11.0,0.0,C,1.0,-59.829978,-2.65
0.0,341.0,4044.528,4044.528,4054.52428571429,18.0,0.0,5.0,17.0,11.0,A,150,9.0,0.0,C,1.0,-49.229977999999996,-2.65
0.0,213.0,4046.426,4046.426,4056.395,19.0,0.0,9.0,17.0,11.0,A,150,7.0,0.0,C,1.0,-38.629977999999994,-2.65
0.0,53.0,4048.486,4048.486,4058.26571428571,20.0,0.0,13.0,17.0,11.0,A,150,5.0,0.0,C,1.0,-28.029978,-2.65
0.0,309.0,4050.186,4050.186,4060.13642857143,21.0,0.0,17.0,17.0,11.0,A,150,3.0,0.0,C,1.0,-17.429978,-2.65
0.0,437.0,4051.99,4051.99,4062.00714285714,22.0,0.0,21.0,17.0,11.0,A,150,1.0,0.0,C,1.0,-6.829978,-2.65
0.0,245.0,4055.908,4055.908,4065.7485714285704,24.0,0.0,29.0,17.0,11.0,A,150,9.0,1.0,C,1.0,-46.579978,-7.239935
0.0,13.0,4057.97,4057.97,4067.6192857142896,25.0,0.0,33.0,17.0,11.0,A,150,7.0,1.0,C,1.0,-35.979977999999996,-7.239935
0.0,397.0,4061.594,4061.594,4073.2314285714297,28.0,0.0,45.0,17.0,11.0,A,150,1.0,1.0,C,1.0,-4.179978,-7.239935
0.0,205.0,4064.742,4064.742,4076.97285714286,30.0,0.0,53.0,17.0,11.0,A,150,9.0,2.0,C,1.0,-43.929978,-11.829868999999999
0.0,461.0,4066.424,4066.424,4078.84357142857,31.0,0.0,57.0,17.0,11.0,A,150,7.0,2.0,C,1.0,-33.329978,-11.829868999999999
0.0,29.0,4076.61,4076.61,4084.71428571429,33.0,0.0,0.0,17.0,11.0,B,150,11.0,0.0,C,1.0,-59.829978,-2.65
