mux_band,mux_posn
0,0
1,1
2,2
5,3
4,4
3,5
6,6
7,7
8,8
9,9
13,10
12,11
11,12
10,13
3,14
2,15
1,16
0,17
8,18
7,19
5,20
4,21
9,22
10,23
11,24
12,25
13,26
