Band,Index,UFM Frequency
3,63,4570042000.0
3,64,4572006000.0
3,65,4573930000.0
4,1,4575760000.0
4,2,4577816000.0
4,3,4580002000.0
4,4,4582044000.0
4,5,4583780000.0
4,6,4585798000.0
4,7,4588228000.0
4,8,4590002000.0
4,9,4593068000.0
4,10,4595688000.0
4,11,4597630000.0
4,12,4599852000.0
4,13,4602220000.0
4,14,4604868000.0
4,15,4607032000.0
4,16,4608832000.0
4,18,4611390000.0
4,19,4613538000.0
4,20,4615718000.0
4,22,4620048000.0
4,23,4621520000.0
4,24,4624320000.0
4,25,4626834000.0
4,26,4627492000.0
4,27,4629054000.0
4,28,4631302000.0
4,29,4633500000.0
4,30,4635958000.0
4,31,4638522000.0
4,32,4640550000.0
4,33,4644336000.0
4,34,4646526000.0
4,35,4648076000.0
4,36,4650256000.0
4,37,4652514000.0
4,38,4654914000.0
4,39,4656400000.0
4,40,4657878000.0
4,41,4660456000.0
4,42,4662600000.0
4,43,4664444000.0
4,44,4666576000.0
4,45,4668754000.0
4,46,4671070000.0
4,47,4673488000.0
4,48,4675292000.0
4,50,4678554000.0
4,51,4680280000.0
4,52,4682020000.0
4,53,4683934000.0
4,54,4686300000.0
4,55,4690202000.0
4,56,4692014000.0
4,57,4693146000.0
4,58,4696136000.0
4,59,4698278000.0
4,60,4700484000.0
4,61,4702790000.0
4,62,4704816000.0
4,63,4707346000.0
4,64,4709276000.0
4,65,4711254000.0
5,1,4712928000.0
5,2,4714700000.0
5,3,4716518000.0
5,4,4718768000.0
5,6,4722366000.0
5,7,4724340000.0
5,8,4726188000.0
5,9,4728478000.0
5,10,4729402000.0
5,11,4731254000.0
5,12,4732910000.0
5,13,4734826000.0
5,14,4737284000.0
5,15,4739932000.0
5,16,4742328000.0
5,17,4744356000.0
5,18,4746254000.0
5,19,4747948000.0
5,20,4750068000.0
5,21,4752024000.0
5,22,4753942000.0
5,23,4756068000.0
5,24,4758540000.0
5,25,4760462000.0
5,26,4761698000.0
5,27,4762896000.0
5,28,4764774000.0
5,29,4766398000.0
5,30,4768796000.0
5,31,4771116000.0
5,32,4773534000.0
5,33,4780596000.0
5,34,4782552000.0
5,35,4784238000.0
5,36,4785812000.0
5,37,4787764000.0
5,38,4789450000.0
5,39,4790992000.0
5,40,4793052000.0
5,41,4794638000.0
5,42,4796660000.0
5,43,4798020000.0
5,44,4799922000.0
5,45,4801668000.0
5,46,4803902000.0
5,47,4806900000.0
5,48,4809364000.0
5,49,4812584000.0
5,50,4814400000.0
5,51,4816310000.0
5,52,4818078000.0
5,53,4819894000.0
5,54,4821532000.0
5,55,4823228000.0
5,56,4824804000.0
5,57,4826806000.0
5,58,4828622000.0
5,59,4830336000.0
5,60,4832020000.0
5,61,4833814000.0
5,62,4835744000.0
5,63,4838596000.0
5,64,4841106000.0
5,65,4843268000.0
7,0,5000362000.0
7,1,5001732000.0
7,2,5002680000.0
7,3,5003624000.0
7,4,5006300000.0
7,5,5007906000.0
7,6,5009552000.0
7,7,5011330000.0
7,8,5014008000.0
7,9,5015434000.0
7,10,5016872000.0
7,11,5018494000.0
7,12,5020306000.0
7,14,5023558000.0
7,15,5025380000.0
7,16,5027394000.0
7,18,5034006000.0
7,19,5035048000.0
7,20,5037586000.0
7,21,5039534000.0
7,22,5040972000.0
7,23,5042976000.0
7,24,5045412000.0
7,25,5047286000.0
7,26,5048334000.0
7,27,5050050000.0
7,28,5051950000.0
7,29,5053552000.0
7,30,5055272000.0
7,31,5056872000.0
7,32,5058810000.0
7,33,5067082000.0
7,34,5069166000.0
7,35,5071138000.0
7,36,5073204000.0
7,37,5074538000.0
7,38,5076348000.0
7,39,5078150000.0
7,40,5079838000.0
7,41,5082130000.0
7,42,5083882000.0
7,43,5085954000.0
7,44,5087812000.0
7,45,5089512000.0
7,46,5091462000.0
7,47,5093148000.0
7,48,5095976000.0
7,49,5099024000.0
7,50,5101018000.0
7,51,5102372000.0
7,53,5105508000.0
7,54,5106762000.0
7,55,5108274000.0
7,56,5110270000.0
7,57,5112070000.0
7,58,5114166000.0
7,59,5115424000.0
7,60,5117980000.0
7,61,5119762000.0
7,62,5121758000.0
7,63,5123602000.0
7,64,5125528000.0
7,65,5127310000.0
8,0,5179594000.0
8,1,5182104000.0
8,2,5183444000.0
8,3,5185180000.0
8,4,5187166000.0
8,5,5189452000.0
8,6,5191484000.0
8,7,5194162000.0
8,8,5197816000.0
8,9,5198780000.0
8,11,5202344000.0
8,12,5204138000.0
8,13,5205468000.0
8,14,5207012000.0
8,15,5209730000.0
8,16,5210296000.0
8,17,5214286000.0
8,18,5217078000.0
8,19,5219188000.0
8,20,5221170000.0
8,21,5223548000.0
8,22,5225746000.0
8,23,5229536000.0
8,24,5231570000.0
8,25,5232588000.0
8,26,5234496000.0
8,27,5236028000.0
8,28,5237634000.0
8,30,5241036000.0
8,31,5244172000.0
8,33,5248202000.0
8,34,5250184000.0
8,35,5252232000.0
8,36,5254296000.0
8,37,5256742000.0
8,39,5261262000.0
8,40,5263650000.0
8,41,5265878000.0
8,42,5267860000.0
8,43,5269962000.0
8,44,5271508000.0
8,46,5275930000.0
8,47,5278018000.0
8,49,5280842000.0
8,50,5282520000.0
8,51,5283882000.0
8,52,5286508000.0
8,54,5290990000.0
8,55,5293178000.0
8,56,5295778000.0
8,57,5297810000.0
8,58,5300046000.0
8,59,5301934000.0
8,60,5303896000.0
8,61,5305462000.0
8,62,5307464000.0
8,64,5310348000.0
8,65,5310846000.0
9,2,5312298000.0
9,3,5312780000.0
9,4,5314910000.0
9,5,5316608000.0
9,6,5318556000.0
9,7,5320518000.0
9,8,5323006000.0
9,9,5324202000.0
9,10,5326424000.0
9,11,5328434000.0
9,12,5329832000.0
9,13,5332848000.0
9,14,5333528000.0
9,15,5335596000.0
9,16,5336868000.0
9,17,5343072000.0
9,18,5343980000.0
9,19,5345522000.0
9,20,5347106000.0
9,21,5348560000.0
9,22,5350628000.0
9,23,5352194000.0
9,24,5355060000.0
9,26,5358126000.0
9,27,5360072000.0
9,28,5361792000.0
9,29,5364590000.0
9,30,5365580000.0
9,31,5367066000.0
9,32,5369062000.0
9,34,5377972000.0
9,35,5379112000.0
9,36,5380638000.0
9,37,5382776000.0
9,38,5384450000.0
9,39,5386422000.0
9,40,5388208000.0
9,41,5389818000.0
9,42,5392154000.0
9,43,5393474000.0
9,44,5395040000.0
9,45,5397400000.0
9,46,5399724000.0
9,47,5401234000.0
9,48,5404298000.0
9,49,5406488000.0
