Band,Index,UFM Frequency
0,0,4001556000.0
0,2,4004140000.0
0,3,4005774000.0
0,4,4007452000.0
0,5,4009526000.0
0,6,4012232000.0
0,7,4013822000.0
0,8,4017538000.0
0,9,4018106000.0
0,10,4019790000.0
0,11,4021816000.0
0,12,4023432000.0
0,13,4025056000.0
0,14,4025582000.0
0,15,4027334000.0
0,16,4028204000.0
0,17,4033700000.0
0,19,4037266000.0
0,20,4039062000.0
0,21,4041008000.0
0,22,4043518000.0
0,23,4045390000.0
0,24,4048732000.0
0,25,4050518000.0
0,26,4050782000.0
0,27,4053348000.0
0,28,4055166000.0
0,29,4056790000.0
0,30,4058078000.0
0,31,4059096000.0
0,32,4059794000.0
0,33,4066292000.0
0,34,4068034000.0
0,35,4069618000.0
0,36,4071288000.0
0,37,4073072000.0
0,38,4075356000.0
0,39,4077742000.0
0,40,4079812000.0
0,41,4082084000.0
0,42,4083988000.0
0,43,4085906000.0
0,44,4087996000.0
0,45,4089388000.0
0,46,4091298000.0
0,47,4092712000.0
0,48,4093732000.0
0,49,4095088000.0
0,50,4100010000.0
0,51,4101626000.0
0,52,4103210000.0
0,54,4106964000.0
0,55,4109312000.0
0,56,4111332000.0
0,57,4113742000.0
0,58,4115974000.0
0,59,4117900000.0
0,60,4119796000.0
0,61,4121286000.0
0,62,4123098000.0
0,63,4124606000.0
0,64,4126094000.0
0,65,4127050000.0
1,0,4160600000.0
1,1,4163508000.0
1,2,4164764000.0
1,3,4165846000.0
1,4,4167382000.0
1,5,4168864000.0
1,6,4169788000.0
1,7,4171216000.0
1,8,4173592000.0
1,9,4174312000.0
1,10,4175784000.0
1,11,4177944000.0
1,12,4180120000.0
1,13,4182424000.0
1,14,4184936000.0
1,15,4187552000.0
1,16,4190160000.0
1,17,4195292000.0
1,18,4196830000.0
1,19,4198150000.0
1,20,4199448000.0
1,21,4200942000.0
1,22,4202038000.0
1,23,4203064000.0
1,24,4205408000.0
1,25,4206990000.0
1,26,4207496000.0
1,27,4209532000.0
1,28,4211648000.0
1,29,4214006000.0
1,30,4216576000.0
1,31,4219114000.0
1,32,4221674000.0
1,33,4228352000.0
1,35,4230728000.0
1,36,4231438000.0
1,37,4232940000.0
1,38,4233948000.0
1,39,4235058000.0
1,40,4236750000.0
1,41,4237704000.0
1,42,4239544000.0
1,43,4240654000.0
1,44,4243192000.0
1,45,4245448000.0
1,46,4247970000.0
1,47,4250750000.0
1,48,4253292000.0
1,49,4256138000.0
1,50,4262202000.0
1,51,4263042000.0
1,52,4264068000.0
1,53,4265174000.0
1,54,4267458000.0
1,55,4267982000.0
1,56,4269954000.0
1,57,4271572000.0
1,58,4272518000.0
1,59,4274576000.0
1,60,4277164000.0
1,61,4279576000.0
1,62,4282174000.0
1,63,4285092000.0
1,64,4287574000.0
1,65,4290996000.0
2,0,4293416000.0
2,1,4294560000.0
2,2,4296154000.0
2,3,4297558000.0
2,4,4299154000.0
2,5,4300876000.0
2,6,4302892000.0
2,8,4305486000.0
2,9,4306954000.0
2,10,4308440000.0
2,11,4310372000.0
2,12,4312272000.0
2,13,4314306000.0
2,14,4316018000.0
2,15,4317806000.0
2,16,4319544000.0
2,17,4325522000.0
2,18,4326646000.0
2,19,4327860000.0
2,20,4329574000.0
2,21,4331038000.0
2,22,4332510000.0
2,23,4334272000.0
2,24,4336916000.0
2,26,4340250000.0
2,27,4342350000.0
2,28,4343912000.0
2,29,4345436000.0
2,30,4347954000.0
2,31,4349488000.0
2,32,4351252000.0
2,33,4359154000.0
2,34,4360232000.0
2,35,4361886000.0
2,36,4363108000.0
2,37,4364350000.0
2,38,4365502000.0
2,39,4367076000.0
2,40,4368960000.0
2,41,4370774000.0
2,42,4372470000.0
2,43,4374382000.0
2,44,4376116000.0
2,45,4377888000.0
2,46,4379738000.0
2,47,4381894000.0
2,48,4384024000.0
2,49,4386856000.0
2,50,4393010000.0
2,51,4393948000.0
2,52,4395622000.0
2,53,4396810000.0
2,54,4397828000.0
2,55,4399102000.0
2,56,4400870000.0
2,57,4402382000.0
2,58,4404018000.0
3,2,4406428000.0
2,60,4407930000.0
2,61,4409548000.0
3,5,4411622000.0
3,6,4413694000.0
2,64,4414642000.0
2,65,4416052000.0
3,7,4417342000.0
3,8,4418184000.0
3,9,4418928000.0
3,10,4420080000.0
3,11,4421936000.0
3,12,4423370000.0
3,13,4425110000.0
3,14,4427356000.0
3,15,4429286000.0
3,16,4431364000.0
3,17,4435396000.0
3,19,4439726000.0
3,20,4441298000.0
3,21,4443074000.0
3,22,4444858000.0
3,23,4446692000.0
3,24,4448814000.0
3,25,4451050000.0
3,26,4451582000.0
3,27,4453574000.0
3,28,4455330000.0
3,29,4457060000.0
3,30,4459044000.0
3,31,4460968000.0
3,32,4462816000.0
3,33,4501214000.0
3,34,4503370000.0
3,35,4505558000.0
3,36,4507184000.0
3,37,4508874000.0
3,38,4510636000.0
3,39,4512420000.0
3,40,4514020000.0
3,41,4515712000.0
3,42,4517650000.0
3,43,4519252000.0
3,44,4521062000.0
3,45,4522758000.0
3,46,4524638000.0
3,48,4525706000.0
3,49,4528482000.0
3,50,4530936000.0
3,51,4535118000.0
3,52,4537244000.0
