Detector,x,y,z_avg,z_150GHz,z_90GHz
124,-35.979978,7.239935,1.8715,1.812,1.931
125,-30.679978,7.239935,1.8715,1.812,1.931
126,-25.379978,7.239935,1.8715,1.812,1.931
127,-20.079978,7.239935,1.8715,1.812,1.931
128,-14.779978,7.239935,1.8715,1.812,1.931
129,-9.479978,7.239935,1.8715,1.812,1.931
130,-4.179978,7.239935,1.8715,1.812,1.931
131,1.120022,7.239935,1.8715,1.812,1.931
132,-59.829978,2.65,1.8715,1.812,1.931
133,-54.529978,2.65,1.8715,1.812,1.931
134,-49.229978,2.65,1.8715,1.812,1.931
135,-43.929978,2.65,1.8715,1.812,1.931
136,-38.629978,2.65,1.8715,1.812,1.931
137,-33.329978,2.65,1.8715,1.812,1.931
138,-28.029978,2.65,1.8715,1.812,1.931
139,-22.729978,2.65,1.8715,1.812,1.931
140,-17.429978,2.65,1.8715,1.812,1.931
141,-12.129978,2.65,1.8715,1.812,1.931
142,-6.829978,2.65,1.8715,1.812,1.931
143,61.359956,0,1.8715,1.812,1.931
144,58.709956,-4.589935,1.8715,1.812,1.931
145,56.059956,-9.179869,1.8715,1.812,1.931
146,53.409956,-13.769804,1.8715,1.812,1.931
147,50.759956,-18.359739,1.8715,1.812,1.931
148,48.109956,-22.949673,1.8715,1.812,1.931
149,45.459956,-27.539608,1.8715,1.812,1.931
150,42.809956,-32.129542,1.8715,1.812,1.931
151,40.159956,-36.719477,1.8715,1.812,1.931
152,37.509956,-41.309412,1.8715,1.812,1.931
153,34.859956,-45.899346,1.8715,1.812,1.931
154,32.209956,-50.489281,1.8715,1.812,1.931
155,58.709956,4.589935,1.8715,1.812,1.931
156,56.059956,0,1.8715,1.812,1.931
157,53.409956,-4.589935,1.8715,1.812,1.931
158,50.759956,-9.179869,1.8715,1.812,1.931
159,48.109956,-13.769804,1.8715,1.812,1.931
160,45.459956,-18.359739,1.8715,1.812,1.931
161,42.809956,-22.949673,1.8715,1.812,1.931
162,40.159956,-27.539608,1.8715,1.812,1.931
163,37.509956,-32.129542,1.8715,1.812,1.931
164,34.859956,-36.719477,1.8715,1.812,1.931
165,32.209956,-41.309412,1.8715,1.812,1.931
166,29.559956,-45.899346,1.8715,1.812,1.931
167,56.059956,9.179869,1.8715,1.812,1.931
168,53.409956,4.589935,1.8715,1.812,1.931
169,50.759956,0,1.8715,1.812,1.931
170,48.109956,-4.589935,1.8715,1.812,1.931
171,45.459956,-9.179869,1.8715,1.812,1.931
172,42.809956,-13.769804,1.8715,1.812,1.931
173,40.159956,-18.359739,1.8715,1.812,1.931
174,37.509956,-22.949673,1.8715,1.812,1.931
175,34.859956,-27.539608,1.8715,1.812,1.931
176,32.209956,-32.129542,1.8715,1.812,1.931
177,29.559956,-36.719477,1.8715,1.812,1.931
178,26.909956,-41.309412,1.8715,1.812,1.931
179,53.409956,13.769804,1.8715,1.812,1.931
180,50.759956,9.179869,1.8715,1.812,1.931
181,48.109956,4.589935,1.8715,1.812,1.931
182,45.459956,0,1.8715,1.812,1.931
183,42.809956,-4.589935,1.8715,1.812,1.931
184,40.159956,-9.179869,1.8715,1.812,1.931
185,37.509956,-13.769804,1.8715,1.812,1.931
186,34.859956,-18.359739,1.8715,1.812,1.931
187,32.209956,-22.949673,1.8715,1.812,1.931
188,29.559956,-27.539608,1.8715,1.812,1.931
189,26.909956,-32.129542,1.8715,1.812,1.931
190,24.259956,-36.719477,1.8715,1.812,1.931
191,50.759956,18.359739,1.8715,1.812,1.931
192,48.109956,13.769804,1.8715,1.812,1.931
193,45.459956,9.179869,1.8715,1.812,1.931
194,42.809956,4.589935,1.8715,1.812,1.931
195,40.159956,0,1.8715,1.812,1.931
196,37.509956,-4.589935,1.8715,1.812,1.931
197,34.859956,-9.179869,1.8715,1.812,1.931
198,32.209956,-13.769804,1.8715,1.812,1.931
199,29.559956,-18.359739,1.8715,1.812,1.931
200,26.909956,-22.949673,1.8715,1.812,1.931
201,24.259956,-27.539608,1.8715,1.812,1.931
202,21.609956,-32.129542,1.8715,1.812,1.931
203,48.109956,22.949673,1.8715,1.812,1.931
204,45.459956,18.359739,1.8715,1.812,1.931
205,42.809956,13.769804,1.8715,1.812,1.931
206,40.159956,9.179869,1.8715,1.812,1.931
207,37.509956,4.589935,1.8715,1.812,1.931
208,34.859956,0,1.8715,1.812,1.931
209,32.209956,-4.589935,1.8715,1.812,1.931
210,29.559956,-9.179869,1.8715,1.812,1.931
211,26.909956,-13.769804,1.8715,1.812,1.931
212,24.259956,-18.359739,1.8715,1.812,1.931
213,21.609956,-22.949673,1.8715,1.812,1.931
214,18.959956,-27.539608,1.8715,1.812,1.931
215,45.459956,27.539608,1.8715,1.812,1.931
216,42.809956,22.949673,1.8715,1.812,1.931
217,40.159956,18.359739,1.8715,1.812,1.931
218,37.509956,13.769804,1.8715,1.812,1.931
219,34.859956,9.179869,1.8715,1.812,1.931
220,32.209956,4.589935,1.8715,1.812,1.931
221,29.559956,0,1.8715,1.812,1.931
222,26.909956,-4.589935,1.8715,1.812,1.931
223,24.259956,-9.179869,1.8715,1.812,1.931
224,21.609956,-13.769804,1.8715,1.812,1.931
225,18.959956,-18.359739,1.8715,1.812,1.931
226,16.309956,-22.949673,1.8715,1.812,1.931
227,42.809956,32.129542,1.8715,1.812,1.931
228,40.159956,27.539608,1.8715,1.812,1.931
229,37.509956,22.949673,1.8715,1.812,1.931
230,34.859956,18.359739,1.8715,1.812,1.931
231,32.209956,13.769804,1.8715,1.812,1.931
232,29.559956,9.179869,1.8715,1.812,1.931
233,26.909956,4.589935,1.8715,1.812,1.931
234,24.259956,0,1.8715,1.812,1.931
235,21.609956,-4.589935,1.8715,1.812,1.931
236,18.959956,-9.179869,1.8715,1.812,1.931
237,16.309956,-13.769804,1.8715,1.812,1.931
238,13.659956,-18.359739,1.8715,1.812,1.931
239,40.159956,36.719477,1.8715,1.812,1.931
240,37.509956,32.129542,1.8715,1.812,1.931
241,34.859956,27.539608,1.8715,1.812,1.931
242,32.209956,22.949673,1.8715,1.812,1.931
243,29.559956,18.359739,1.8715,1.812,1.931
244,26.909956,13.769804,1.8715,1.812,1.931
245,24.259956,9.179869,1.8715,1.812,1.931
246,21.609956,4.589935,1.8715,1.812,1.931
247,18.959956,0,1.8715,1.812,1.931
248,16.309956,-4.589935,1.8715,1.812,1.931
249,13.659956,-9.179869,1.8715,1.812,1.931
250,11.009956,-13.769804,1.8715,1.812,1.931
251,37.509956,41.309412,1.8715,1.812,1.931
252,34.859956,36.719477,1.8715,1.812,1.931
253,32.209956,32.129542,1.8715,1.812,1.931
254,29.559956,27.539608,1.8715,1.812,1.931
255,26.909956,22.949673,1.8715,1.812,1.931
256,24.259956,18.359739,1.8715,1.812,1.931
257,21.609956,13.769804,1.8715,1.812,1.931
258,18.959956,9.179869,1.8715,1.812,1.931
259,16.309956,4.589935,1.8715,1.812,1.931
260,13.659956,0,1.8715,1.812,1.931
