Band,Index,UFM Frequency
0,0,4087916000.0
0,1,4090326000.0
0,2,4092960000.0
0,3,4095050000.0
0,4,4096766000.0
0,5,4100066000.0
0,6,4102642000.0
0,8,4107138000.0
0,9,4109036000.0
0,10,4109850000.0
0,11,4110268000.0
0,14,4111058000.0
0,15,4111524000.0
0,17,4122162000.0
0,18,4124262000.0
0,19,4126394000.0
0,20,4128668000.0
0,21,4131374000.0
0,22,4133840000.0
0,23,4136506000.0
0,24,4138904000.0
0,25,4141228000.0
0,27,4142816000.0
0,29,4143760000.0
0,34,4164178000.0
0,35,4166384000.0
0,36,4168572000.0
0,37,4171156000.0
0,39,4176642000.0
0,40,4179110000.0
0,41,4179874000.0
0,45,4181470000.0
0,50,4195732000.0
0,51,4197646000.0
0,55,4205570000.0
0,56,4208076000.0
0,57,4210962000.0
0,59,4213030000.0
0,60,4213558000.0
0,62,4214206000.0
1,0,4216516000.0
1,1,4220210000.0
1,2,4221338000.0
1,3,4223112000.0
1,4,4226450000.0
1,5,4228674000.0
1,6,4230840000.0
1,7,4233936000.0
1,8,4236970000.0
1,9,4239180000.0
1,10,4241114000.0
1,11,4242992000.0
1,12,4244028000.0
1,13,4244632000.0
1,14,4245726000.0
1,15,4247470000.0
1,16,4248368000.0
1,17,4252042000.0
1,18,4254308000.0
1,19,4254802000.0
1,20,4257972000.0
1,21,4260108000.0
1,22,4261998000.0
1,23,4265298000.0
1,24,4268072000.0
1,25,4270746000.0
1,26,4273112000.0
1,27,4274754000.0
1,28,4275676000.0
1,29,4276996000.0
1,30,4277838000.0
1,31,4279056000.0
1,32,4280486000.0
1,33,4286030000.0
1,34,4287964000.0
1,35,4288522000.0
1,36,4290976000.0
1,37,4294086000.0
1,38,4296496000.0
1,39,4298412000.0
1,40,4301580000.0
1,41,4304074000.0
1,43,4306990000.0
1,44,4310216000.0
1,45,4310834000.0
1,46,4311436000.0
1,47,4312564000.0
1,48,4313674000.0
1,49,4315760000.0
1,50,4320012000.0
1,51,4321344000.0
1,52,4322416000.0
1,54,4326170000.0
1,55,4328030000.0
1,56,4330656000.0
1,57,4333178000.0
1,58,4336272000.0
1,60,4340778000.0
1,61,4342314000.0
1,63,4343896000.0
1,64,4344538000.0
1,65,4346116000.0
2,0,4347304000.0
2,1,4348984000.0
2,2,4352290000.0
2,3,4353940000.0
2,4,4356858000.0
2,5,4359844000.0
2,6,4361852000.0
2,7,4364448000.0
2,8,4366976000.0
2,11,4375304000.0
2,12,4377242000.0
2,13,4378498000.0
2,14,4379812000.0
2,15,4381600000.0
2,16,4383098000.0
2,17,4384078000.0
2,19,4385828000.0
2,20,4388060000.0
2,21,4390964000.0
2,22,4393486000.0
2,23,4395978000.0
2,24,4398270000.0
2,25,4400966000.0
2,26,4404050000.0
2,27,4406284000.0
2,28,4409022000.0
2,30,4412092000.0
2,31,4413136000.0
2,32,4415300000.0
2,33,4417448000.0
2,34,4421554000.0
2,35,4422830000.0
2,37,4427742000.0
2,38,4429914000.0
2,39,4431806000.0
2,40,4434084000.0
2,41,4437122000.0
2,42,4439716000.0
2,43,4441684000.0
2,44,4444882000.0
2,45,4446704000.0
2,46,4447640000.0
2,47,4449074000.0
2,50,4454180000.0
2,51,4456070000.0
2,52,4458638000.0
2,53,4461208000.0
2,56,4467846000.0
2,57,4470948000.0
2,58,4473672000.0
2,59,4475772000.0
2,60,4478272000.0
2,61,4479322000.0
2,62,4480808000.0
2,63,4481628000.0
2,64,4484532000.0
2,65,4486494000.0
3,1,4492016000.0
3,3,4495518000.0
3,4,4497496000.0
3,4,4498456000.0
3,5,4500800000.0
3,6,4503430000.0
3,7,4505498000.0
3,8,4508904000.0
3,9,4512552000.0
3,12,4520298000.0
3,13,4522402000.0
3,15,4523706000.0
3,16,4524360000.0
3,18,4526230000.0
3,19,4529004000.0
3,20,4529674000.0
3,21,4532112000.0
3,22,4534686000.0
3,23,4537246000.0
3,24,4539790000.0
3,25,4543656000.0
3,26,4546892000.0
3,27,4549904000.0
3,28,4551924000.0
3,29,4554672000.0
3,31,4558610000.0
3,32,4559694000.0
3,33,4589980000.0
3,34,4592584000.0
3,35,4593648000.0
3,36,4596828000.0
3,37,4600444000.0
3,38,4602222000.0
3,41,4609774000.0
3,42,4613372000.0
3,43,4616120000.0
3,44,4619094000.0
3,45,4621312000.0
3,46,4622660000.0
3,47,4623736000.0
3,48,4625040000.0
3,50,4626936000.0
3,51,4627686000.0
3,53,4630716000.0
3,54,4633392000.0
3,55,4635914000.0
3,56,4638830000.0
3,57,4641272000.0
3,58,4644968000.0
4,0,4652866000.0
4,1,4654922000.0
4,2,4655442000.0
4,4,4656854000.0
4,5,4658564000.0
