Band,Index,UFM Frequency
1,0,4217078000.0
1,1,4217568000.0
1,2,4218468000.0
1,3,4219630000.0
1,5,4220800000.0
1,6,4222306000.0
1,7,4223594000.0
1,8,4225088000.0
1,9,4226642000.0
1,10,4228678000.0
1,11,4232026000.0
1,12,4235804000.0
1,13,4238860000.0
1,14,4241948000.0
1,15,4244288000.0
1,16,4246984000.0
1,17,4250094000.0
1,19,4250948000.0
1,20,4251544000.0
1,21,4252534000.0
1,22,4254006000.0
1,23,4255570000.0
1,24,4256796000.0
1,25,4258654000.0
1,26,4259502000.0
1,27,4263298000.0
1,28,4266840000.0
1,29,4270034000.0
1,30,4272696000.0
1,31,4275238000.0
1,32,4278418000.0
1,34,4284224000.0
1,35,4285000000.0
1,37,4286754000.0
1,38,4287720000.0
1,39,4289768000.0
1,40,4291664000.0
1,41,4292688000.0
1,42,4293768000.0
1,43,4298874000.0
1,44,4300324000.0
1,45,4304440000.0
1,46,4306756000.0
1,47,4309090000.0
1,48,4312442000.0
1,49,4315204000.0
1,50,4316656000.0
1,52,4317456000.0
1,53,4318894000.0
1,55,4321128000.0
1,56,4323722000.0
1,57,4324538000.0
1,58,4325858000.0
1,59,4328266000.0
1,59,4329942000.0
1,60,4331794000.0
1,61,4334018000.0
1,62,4335472000.0
1,63,4335986000.0
1,64,4337348000.0
2,2,4337948000.0
2,3,4338474000.0
2,4,4339642000.0
2,6,4342118000.0
2,7,4343342000.0
2,8,4345392000.0
2,8,4345916000.0
2,9,4348516000.0
2,10,4350042000.0
2,11,4350698000.0
2,12,4351122000.0
2,13,4353200000.0
2,14,4353938000.0
2,15,4356906000.0
2,16,4359602000.0
2,17,4365424000.0
2,18,4367824000.0
2,19,4369070000.0
2,20,4370320000.0
2,22,4371006000.0
2,23,4373328000.0
2,24,4376574000.0
2,25,4379686000.0
2,26,4382094000.0
2,27,4382786000.0
2,28,4384242000.0
2,29,4386682000.0
2,30,4388188000.0
2,31,4388780000.0
2,32,4390506000.0
2,33,4402698000.0
2,34,4403870000.0
2,35,4405206000.0
2,36,4406794000.0
2,37,4407708000.0
2,38,4409330000.0
2,40,4411986000.0
2,41,4415322000.0
2,42,4418846000.0
2,43,4419644000.0
2,45,4422374000.0
2,46,4424362000.0
2,47,4425814000.0
2,48,4427630000.0
2,49,4431018000.0
2,50,4436000000.0
2,51,4437180000.0
2,52,4438850000.0
2,53,4439844000.0
2,55,4441384000.0
2,56,4442752000.0
2,58,4446786000.0
2,59,4448892000.0
2,60,4451298000.0
2,61,4453358000.0
2,62,4455606000.0
2,63,4457340000.0
2,64,4458608000.0
2,65,4461572000.0
3,0,4470956000.0
3,1,4474254000.0
3,2,4475922000.0
3,3,4477060000.0
3,4,4479372000.0
3,5,4480062000.0
3,6,4480672000.0
3,8,4483068000.0
3,9,4486306000.0
3,10,4487976000.0
3,11,4489070000.0
3,12,4490654000.0
3,13,4493994000.0
3,14,4495890000.0
3,15,4499250000.0
3,16,4502560000.0
3,17,4506034000.0
3,18,4507222000.0
3,19,4509458000.0
3,20,4510628000.0
3,22,4513148000.0
3,24,4514844000.0
3,25,4516956000.0
3,26,4519756000.0
3,27,4520926000.0
3,28,4521716000.0
3,29,4525142000.0
3,30,4527204000.0
3,31,4529766000.0
3,32,4533986000.0
3,33,4573216000.0
3,34,4574250000.0
3,35,4575618000.0
3,36,4577758000.0
3,37,4579012000.0
3,38,4579674000.0
3,39,4580326000.0
3,40,4581998000.0
3,41,4584304000.0
3,42,4586670000.0
3,43,4587570000.0
3,44,4589098000.0
3,45,4591212000.0
3,46,4593404000.0
3,47,4595704000.0
3,48,4599608000.0
3,49,4604024000.0
3,50,4606062000.0
3,52,4609026000.0
3,53,4611132000.0
3,54,4612554000.0
3,56,4613460000.0
3,57,4614896000.0
3,58,4617816000.0
3,59,4619534000.0
3,60,4621118000.0
3,61,4622648000.0
3,62,4624888000.0
3,63,4626984000.0
3,64,4630082000.0
3,65,4633650000.0
4,0,4634504000.0
4,1,4637566000.0
4,2,4639424000.0
4,3,4640554000.0
4,4,4643376000.0
4,5,4645140000.0
4,6,4646170000.0
4,7,4647498000.0
4,8,4650314000.0
4,9,4651440000.0
4,10,4652974000.0
4,11,4653788000.0
4,13,4656874000.0
4,15,4660868000.0
4,16,4663358000.0
4,17,4668906000.0
4,19,4671120000.0
4,20,4672392000.0
4,21,4674444000.0
4,22,4676886000.0
4,23,4678200000.0
4,24,4679136000.0
4,25,4681220000.0
4,26,4681808000.0
4,27,4684858000.0
4,28,4686112000.0
4,29,4687202000.0
4,31,4691156000.0
4,32,4691698000.0
4,33,4699326000.0
4,35,4708058000.0
4,36,4709544000.0
4,37,4712208000.0
4,38,4714232000.0
4,39,4715728000.0
4,40,4717730000.0
4,41,4719642000.0
4,42,4721378000.0
4,43,4724892000.0
4,45,4726406000.0
4,48,4728732000.0
4,49,4729840000.0
4,50,4741308000.0
4,51,4742712000.0
4,52,4743682000.0
4,53,4745196000.0
4,54,4747046000.0
4,55,4749136000.0
4,56,4751342000.0
4,57,4752844000.0
4,58,4755326000.0
4,59,4757052000.0
4,60,4757980000.0
4,61,4759130000.0
4,62,4761184000.0
4,63,4764538000.0
4,64,4773202000.0
4,65,4776934000.0
5,1,4777968000.0
5,2,4778436000.0
5,3,4780040000.0
5,4,4782524000.0
5,5,4785380000.0
5,6,4789408000.0
5,7,4793302000.0
5,8,4793914000.0
5,9,4794376000.0
5,10,4795872000.0
5,11,4801886000.0
5,12,4804898000.0
5,13,4805634000.0
5,14,4808562000.0
5,15,4809740000.0
5,16,4810338000.0
5,17,4810884000.0
5,18,4813812000.0
5,19,4816150000.0
5,20,4818344000.0
5,21,4819494000.0
5,22,4820194000.0
5,23,4823122000.0
5,24,4826120000.0
5,25,4826688000.0
5,26,4829346000.0
5,27,4830866000.0
5,28,4837778000.0
5,29,4839034000.0
5,30,4843142000.0
5,31,4846222000.0
5,32,4846850000.0
5,33,4847450000.0
5,34,4849296000.0
5,35,4851794000.0
5,36,4853078000.0
5,37,4855236000.0
5,39,4860784000.0
5,40,4861438000.0
5,41,4862100000.0
5,42,4862730000.0
5,43,4865736000.0
5,44,4867978000.0
5,45,4873304000.0
5,46,4875688000.0
5,47,4877104000.0
5,49,4879972000.0
5,50,4881018000.0
5,51,4882620000.0
5,52,4886298000.0
5,54,4888892000.0
5,55,4889736000.0
5,56,4893914000.0
5,57,4894358000.0
5,58,4896574000.0
5,61,4906794000.0
5,62,4913562000.0
5,63,4916856000.0
5,64,4928560000.0
5,65,4931570000.0
6,0,4956980000.0
6,1,4960448000.0
6,2,4961264000.0
6,3,4962298000.0
6,4,4963786000.0
6,5,4965566000.0
6,6,4966702000.0
6,7,4967312000.0
6,9,4968226000.0
6,10,4970994000.0
6,11,4972382000.0
6,12,4975614000.0
6,14,4979408000.0
6,15,4984266000.0
6,16,4987170000.0
6,17,4989872000.0
6,18,4992396000.0
6,19,4993566000.0
6,20,4994922000.0
6,21,4995948000.0
