smurf_band,smurf_chan,mux_band,mux_pad
0,317,0,-1
0,381,0,3
0,3,0,7
0,67,0,11
0,131,0,15
0,259,0,19
0,35,0,27
0,291,0,31
0,355,0,35
0,419,0,39
0,483,0,55
0,-1,0,63
0,51,0,1
0,115,0,5
0,307,0,9
0,371,0,13
0,11,0,17
0,267,0,29
0,43,0,33
0,107,0,41
0,171,0,53
0,59,0,4
0,123,0,4
0,315,0,8
0,39,0,40
0,103,0,44
0,167,0,56
0,279,0,2
0,343,0,6
0,15,0,30
0,271,0,38
0,335,1,-1
0,47,1,3
0,111,1,7
0,303,1,11
0,367,1,15
0,287,1,27
0,63,1,31
0,127,1,35
0,191,1,39
0,319,1,43
0,383,1,47
0,447,1,51
0,511,1,55
0,0,1,59
0,256,1,1
0,320,1,5
0,32,1,17
0,288,1,21
0,352,1,25
0,16,1,29
0,272,1,33
0,336,1,37
0,400,1,41
0,48,1,45
0,112,1,53
0,176,1,57
0,304,1,61
0,8,1,8
0,264,1,12
0,328,1,16
0,40,1,20
0,104,1,24
0,296,1,28
0,24,1,36
0,88,1,40
0,280,1,56
0,344,1,60
0,56,1,60
0,120,1,64
0,312,1,2
0,376,1,6
0,440,1,10
0,4,1,14
0,68,1,18
0,260,1,22
0,36,1,26
0,292,1,34
0,356,1,38
0,20,1,46
0,84,1,54
0,148,1,54
0,212,1,62
0,276,1,62
0,340,2,-1
0,52,2,3
0,116,2,7
0,180,2,11
0,308,2,15
0,268,2,27
0,332,2,31
0,44,2,35
0,108,2,39
0,300,2,43
0,364,2,47
0,428,2,51
0,28,2,55
0,92,2,63
0,284,2,5
0,348,2,9
0,60,2,13
0,124,2,17
0,316,2,25
0,2,2,29
0,66,2,33
0,258,2,37
0,322,2,41
0,34,2,45
0,98,2,49
0,162,2,53
0,18,2,0
0,82,2,4
0,274,2,8
0,338,2,12
0,306,2,24
0,10,2,32
0,74,2,36
0,266,2,40
0,330,2,48
0,394,2,48
0,298,2,64
0,362,2,6
0,26,2,10
0,282,2,18
0,346,2,22
0,58,2,26
0,122,2,30
0,314,2,34
0,378,2,38
0,6,2,42
0,70,2,46
0,38,3,3
0,294,3,11
0,358,3,15
1,57,3,35
1,313,3,39
1,377,3,43
1,5,3,47
1,69,3,51
1,261,3,55
1,325,3,59
1,389,3,1
1,37,3,9
1,101,3,13
1,293,3,21
1,21,3,25
1,85,3,29
1,309,3,45
1,269,3,61
1,317,3,0
1,259,3,20
1,35,3,24
1,99,3,28
1,291,3,32
1,19,3,36
1,51,3,64
1,307,3,2
1,371,3,10
1,11,3,14
1,75,3,18
1,267,3,22
1,43,3,26
1,107,3,30
1,283,3,50
1,347,3,54
1,411,3,58
1,59,4,3
1,315,4,15
1,7,4,19
1,71,4,23
1,263,4,27
1,327,4,31
1,39,4,35
1,295,4,39
1,23,4,47
1,87,4,59
1,279,4,63
1,343,4,5
1,55,4,13
1,311,4,17
1,375,4,21
1,15,4,25
1,79,4,29
1,303,4,41
1,367,4,45
1,31,4,53
1,95,4,57
1,287,4,4
1,63,4,8
1,127,4,12
1,319,4,16
1,383,4,24
1,288,4,36
1,352,4,18
1,16,4,26
1,272,4,30
1,336,4,38
1,264,4,58
1,40,4,62
1,104,5,-1
1,296,5,11
1,360,5,15
1,24,5,35
1,280,5,39
1,344,5,43
1,56,5,47
1,312,5,51
1,376,5,55
1,260,5,1
1,36,5,17
1,100,5,25
1,292,5,29
1,20,5,33
1,276,5,41
1,52,5,45
1,308,5,57
1,12,5,61
1,268,5,0
1,332,5,16
1,44,5,20
1,300,5,24
1,316,5,52
1,2,5,64
1,66,5,10
1,258,5,18
1,34,5,26
1,274,5,50
1,338,5,62
1,402,6,3
1,50,6,7
1,114,6,11
1,178,6,19
1,242,6,19
1,306,6,27
1,370,6,27
1,10,6,35
1,74,6,39
1,266,6,51
1,330,6,55
1,42,6,59
1,106,6,63
1,26,6,5
1,90,6,13
1,154,6,21
1,282,6,25
1,346,6,29
1,314,6,37
1,378,6,41
1,442,6,45
1,6,6,49
1,70,6,53
1,134,6,57
1,198,6,61
2,57,6,36
2,313,6,44
2,5,6,52
2,69,6,56
2,133,6,60
2,293,6,10
2,357,6,18
2,421,6,22
2,53,6,54
2,3,7,-1
2,67,7,3
2,259,7,7
2,323,7,11
2,35,7,31
2,99,7,35
2,291,7,39
2,355,7,43
2,19,7,55
2,275,7,59
2,339,7,63
2,307,7,1
2,11,7,17
2,267,7,29
2,331,7,33
2,299,7,53
2,363,7,57
2,27,7,61
2,7,7,12
2,71,7,16
2,39,7,44
2,295,7,52
2,23,7,56
2,279,7,64
2,55,7,10
2,311,7,14
2,375,7,18
2,47,7,54
2,111,7,58
2,303,7,62
2,287,8,-1
2,63,8,3
2,127,8,7
2,319,8,11
2,383,8,15
2,32,8,47
2,272,8,1
2,336,8,9
2,304,8,25
2,368,8,29
2,40,8,61
2,24,8,0
2,312,8,28
2,260,8,60
2,36,8,64
2,276,8,26
2,52,8,30
2,12,8,58
2,76,8,62
2,268,9,-1
2,44,9,7
2,108,9,7
2,300,9,11
2,2,9,31
2,258,9,35
2,322,9,47
2,386,9,55
2,34,9,59
2,98,9,5
2,50,9,29
2,306,9,33
2,10,9,41
2,74,9,45
2,138,9,49
2,202,9,53
2,-1,9,57
2,58,9,20
2,314,9,28
2,378,9,32
2,6,9,36
2,70,9,44
2,262,9,56
2,38,9,2
3,57,9,18
3,313,9,34
3,5,9,50
3,261,9,54
3,53,10,35
3,45,10,13
3,275,10,8
3,11,10,24
3,299,10,14
3,59,10,30
3,295,11,31
3,23,11,39
3,55,11,51
3,311,11,1
3,15,11,9
3,271,11,29
3,47,11,45
3,31,11,57
3,63,11,0
3,319,11,4
3,288,11,44
3,16,11,52
3,272,11,56
3,48,11,6
3,280,12,19
3,312,12,43
3,376,12,47
3,4,12,51
3,68,12,55
3,132,12,59
3,308,12,41
3,372,12,45
3,274,12,22
3,338,12,30
3,298,13,23
3,282,13,39
3,346,13,43
3,294,13,29
3,358,13,33
3,422,13,41
