4089.5780,30,317,-1
4091.6440,30,381,-1
4094.1420,31,3,-1
4096.4100,31,67,-1
4097.9760,31,131,-1
4101.3080,32,259,-1
4106.5520,33,35,-1
4108.4920,34,291,-1
4110.3860,34,355,-1
4111.1080,34,419,-1
4112.3100,34,483,-1
4112.8400,34,-1,-1
4123.4440,37,51,-1
4125.4380,37,115,-1
4127.6440,38,307,-1
4129.8580,38,371,-1
4132.6580,39,11,-1
4140.1740,40,267,-1
4142.3520,41,43,-1
4144.0360,41,107,-1
4144.5780,41,171,-1
4164.7940,45,59,-1
4165.3920,45,123,-1
4167.7120,46,315,-1
4180.9300,49,39,-1
4181.9840,49,103,-1
4182.7060,49,167,-1
4196.9680,52,279,-1
4198.8400,52,343,-1
4212.1000,55,15,-1
4214.1580,56,271,-1
4218.0540,56,335,-1
4221.4220,57,47,-1
4222.5480,57,111,-1
4224.2900,58,303,-1
4227.4740,58,367,-1
4235.0680,60,287,-1
4238.2380,61,63,-1
4240.3800,61,127,-1
4242.3460,61,191,-1
4244.2900,62,319,-1
4245.1320,62,383,-1
4245.9060,62,447,-1
4246.9220,62,511,-1
4248.7040,63,0,-1
4253.1660,64,256,-1
4255.5020,64,320,-1
4261.3120,65,32,-1
4263.1900,66,288,-1
4266.5180,66,352,-1
4269.3220,67,16,-1
4271.8560,68,272,-1
4274.3060,68,336,-1
4276.0060,68,400,-1
4276.8320,69,48,-1
4279.0340,69,112,-1
4280.3420,69,176,-1
4281.7880,70,304,-1
4289.6620,71,8,-1
4292.0740,72,264,-1
4295.3260,72,328,-1
4297.5820,73,40,-1
4299.5780,73,104,-1
4302.7640,74,296,-1
4306.0060,75,24,-1
4308.1840,75,88,-1
4312.6640,76,280,-1
4313.7980,76,344,-1
4314.8600,77,56,-1
4317.0620,77,120,-1
4321.2740,78,312,-1
4322.5480,78,376,-1
4323.7860,78,440,-1
4327.3240,79,4,-1
4329.1800,79,68,-1
4331.7980,80,260,-1
4334.2460,81,36,-1
4339.6820,82,292,-1
4341.9380,82,356,-1
4343.6080,83,20,-1
4345.2300,83,84,-1
4345.7760,83,148,-1
4347.3540,83,212,-1
4348.5160,84,276,-1
4350.6100,84,340,-1
4353.5820,85,52,-1
4355.1820,85,116,-1
4357.9640,85,180,-1
4360.9760,86,308,-1
4368.2880,88,268,-1
4371.0880,88,332,-1
4373.7180,89,44,-1
4376.6300,89,108,-1
4378.5880,90,300,-1
4379.7400,90,364,-1
4381.1860,90,428,-1
4382.8640,91,28,-1
4385.4120,91,92,-1
4387.1460,92,284,-1
4389.2520,92,348,-1
4392.1760,93,60,-1
4394.7280,93,124,-1
4399.5380,94,316,-1
4402.2140,95,2,-1
4405.3060,95,66,-1
4407.5280,96,258,-1
4410.2720,96,322,-1
4411.4280,97,34,-1
4413.3860,97,98,-1
4414.5580,97,162,-1
4422.8040,99,18,-1
4424.1360,99,82,-1
4425.9020,100,274,-1
4428.9520,100,338,-1
4435.4140,102,306,-1
4441.0060,103,10,-1
4442.9260,103,74,-1
4445.9880,104,266,-1
4447.8740,104,330,-1
4448.8620,104,394,-1
4455.5080,106,298,-1
4457.3800,106,362,-1
4459.8420,107,26,-1
4464.8820,108,282,-1
4466.6700,108,346,-1
4469.1180,109,58,-1
4472.2440,109,122,-1
4474.9940,110,314,-1
4476.9060,110,378,-1
4479.5280,111,6,-1
4480.5900,111,70,-1
4489.0140,113,38,-1
4493.3020,114,294,-1
4496.7900,114,358,-1
