Edge,Index,Detector wafer bond pad,DCXpos,DCypos,DTGrouptype,DTGroupindex,DTGoupsection,DTPadlabel,DTPadxpos,DTPadypos,DTPixelrow,DTPixelcolumn,DTPixelsection,DTPixelxcenter,DTPixelycenter,DTRawangle,DTActualangle,DTSignaldescription,BiasName,Bias line,SQUID,SQUID_PIN,Mux chip position,x,y
XCR,XCR248,124,-5423.84,-55334.25,RowPad,7,C,X00+,-5493.842,-57404.248,7,0,C,-38629.978,-2650,0,-120,NC,LNY_B1,10,SQ_26,SQ_26_Ch_6_+,26,20040,-34710.29818
XCR,XCR298,149,-123.84,-55334.25,RowPad,6,C,X00+,-193.842,-57404.248,6,0,C,-33329.978,-2650,0,-120,NC,LNY_B2,7,SQ_26,SQ_26_Ch_31_+,26,17390,-30120.36354
XCR,XCR348,174,5176.16,-55334.25,RowPad,5,C,X00+,5106.158,-57404.248,5,0,C,-28029.978,-2650,0,-120,NC,LNY_B1,10,SQ_26,SQ_26_Ch_56_+,26,14740,-25530.4289
XCR,XCR398,199,10476.16,-55334.25,RowPad,4,C,X00+,10406.158,-57404.248,4,0,C,-22729.978,-2650,0,-120,NC,LNY_B2,7,SQ_23,SQ_23_Ch_17_+,23,12090,-20940.49426
XCR,XCR448,224,15776.16,-55334.25,RowPad,3,C,X00+,15706.158,-57404.248,3,0,C,-17429.978,-2650,0,-120,NC,LNY_B1,10,SQ_24,SQ_24_Ch_52_+,24,9440,-16350.55962
XCR,XCR498,249,21076.16,-55334.25,RowPad,2,C,X00+,21006.158,-57404.248,2,0,C,-12129.978,-2650,0,-120,NC,LNY_B2,7,SQ_27,SQ_27_Ch_13_+,25,6790,-11760.62498
XCR,XCR548,274,26376.16,-55334.25,RowPad,1,C,X00+,26306.158,-57404.248,1,0,C,-6829.978,-2650,0,-120,NC,LNY_B1,10,SQ_27,SQ_27_Ch_38_+,25,4140,-7170.690343
XCR,XCR598,299,31296.16,-55334.25,RowPad,0,C,X00+,31226.158,-57404.248,0,0,C,-1529.978,-2650,0,-120,NC,LNY_B2,7,SQ_27,SQ_27_Ch_63_+,25,1490,-2580.755703
XAR,XAR049,,-34608.95,50724.05,RowPad,11,A,X00-,-36037.886,51549.047,11,0,A,27620.022,53139.281,0,120,NC,ULNY_B1,2,SQ_03,SQ_03_Ch_24_-,5,-61280,-60
XAR,XAR099,,-37258.95,46134.11,RowPad,10,A,X00-,-38687.886,46959.113,10,0,A,24970.022,48549.346,0,120,NC,ULNY_B2,5,SQ_07,SQ_07_Ch_5_-,7,-55980,-60
XAR,XAR149,,-39908.95,41544.18,RowPad,9,A,X00-,-41337.886,42369.178,9,0,A,22320.022,43959.412,0,120,NC,ULNY_B1,2,SQ_07,SQ_07_Ch_30_-,7,-50680,-60
XAR,XAR199,,-42558.95,36954.24,RowPad,8,A,X00-,-43987.886,37779.244,8,0,A,19670.022,39369.477,0,120,NC,ULNY_B2,5,SQ_07,SQ_07_Ch_55_-,7,-45380,-60
XAR,XAR249,,-45208.95,32364.31,RowPad,7,A,X00-,-46637.886,33189.309,7,0,A,17020.022,34779.542,0,120,NC,ULNY_B1,2,SQ_06,SQ_06_Ch_16_-,6,-40080,-60
XAR,XAR299,,-47858.95,27774.37,RowPad,6,A,X00-,-49287.886,28599.374,6,0,A,14370.022,30189.608,0,120,NC,ULNY_B2,5,SQ_06,SQ_06_Ch_41_-,6,-34780,-60
XAR,XAR349,,-50508.95,23184.44,RowPad,5,A,X00-,-51937.886,24009.44,5,0,A,11720.022,25599.673,0,120,NC,ULNY_B1,2,SQ_10,SQ_10_Ch_2_-,13,-29480,-60
XAR,XAR399,,-53158.95,18594.5,RowPad,4,A,X00-,-54587.886,19419.505,4,0,A,9070.022,21009.739,0,120,NC,ULNY_B2,5,SQ_10,SQ_10_Ch_27_-,13,-24180,-60
XAR,XAR449,,-55808.95,14004.57,RowPad,3,A,X00-,-57237.886,14829.57,3,0,A,6420.022,16419.804,0,120,NC,ULNY_B1,2,SQ_10,SQ_10_Ch_52_-,13,-18880,-60
XAR,XAR499,,-58458.95,9414.64,RowPad,2,A,X00-,-59887.886,10239.636,2,0,A,3770.022,11829.869,0,120,NC,ULNY_B2,5,SQ_11,SQ_11_Ch_13_-,12,-13580,-60
XAR,XAR549,,-61108.95,4824.7,RowPad,1,A,X00-,-62537.886,5649.701,1,0,A,1120.022,7239.935,0,120,NC,ULNY_B1,2,SQ_11,SQ_11_Ch_38_-,12,-8280,-60
XAR,XAR599,,-63568.95,563.86,RowPad,0,A,X00-,-64997.886,1388.856,0,0,A,-1529.978,2650,0,120,NC,ULNY_B2,5,SQ_11,SQ_11_Ch_63_-,12,-2980,-60
XBR,XBR049,,61232.79,4610.2,RowPad,11,B,X00-,62661.728,5435.201,11,0,B,32209.956,-50489.281,0,0,NC,URNY_B1,0,SQ_12,SQ_12_Ch_24_-,11,30640,53070.03674
