Edge,Index,Detector wafer bond pad,DCXpos,DCypos,DTGrouptype,DTGroupindex,DTGoupsection,DTPadlabel,DTPadxpos,DTPadypos,DTPixelrow,DTPixelcolumn,DTPixelsection,DTPixelxcenter,DTPixelycenter,DTRawangle,DTActualangle,DTSignaldescription,BiasName,Bias line,SQUID,SQUID_PIN,Mux chip position,x,y
XAR,XAR401,,-54128.95,16914.42,RowPad,3,A,T11-,-55557.886,17739.416,3,11,A,-51879.978,16419.804,157.5,277.5,90ghz,ULNY_B1,2,SQ_10,SQ_10_Ch_28_-,13,-51879.978,16419.804
XAR,XAR451,,-56778.95,12324.48,RowPad,2,A,T11-,-58207.886,13149.481,2,11,A,-54529.978,11829.869,112.5,232.5,90ghz,ULNY_B2,5,SQ_10,SQ_10_Ch_53_-,13,-54529.978,11829.869
XAR,XAR501,,-59428.95,7734.55,RowPad,1,A,T11-,-60857.886,8559.546,1,11,A,-57179.978,7239.935,157.5,277.5,90ghz,ULNY_B1,2,SQ_11,SQ_11_Ch_14_-,12,-57179.978,7239.935
XAR,XAR551,,-61888.95,3473.7,RowPad,0,A,T11-,-63317.886,4298.701,0,11,A,-59829.978,2650,112.5,232.5,90ghz,ULNY_B2,5,SQ_11,SQ_11_Ch_39_-,12,-59829.978,2650
XBR,XBR001,,62912.79,1700.36,RowPad,11,B,T11-,64341.728,2525.356,11,11,B,61359.956,0,157.5,157.5,90ghz,URNY_B1,0,SQ_12,SQ_12_Ch_0_-,11,61359.956,0
XBR,XBR051,,60262.79,6290.29,RowPad,10,B,T11-,61691.728,7115.29,10,11,B,58709.956,4589.935,112.5,112.5,90ghz,URNY_B2,3,SQ_12,SQ_12_Ch_25_-,11,58709.956,4589.935
XBR,XBR101,,57612.79,10880.23,RowPad,9,B,T11-,59041.728,11705.225,9,11,B,56059.956,9179.869,157.5,157.5,90ghz,URNY_B1,0,SQ_12,SQ_12_Ch_50_-,11,56059.956,9179.869
XBR,XBR151,,54962.79,15470.16,RowPad,8,B,T11-,56391.728,16295.159,8,11,B,53409.956,13769.804,112.5,112.5,90ghz,URNY_B2,3,SQ_13,SQ_13_Ch_11_-,10,53409.956,13769.804
XBR,XBR201,,52312.79,20060.1,RowPad,7,B,T11-,53741.728,20885.094,7,11,B,50759.956,18359.739,157.5,157.5,90ghz,URNY_B1,0,SQ_13,SQ_13_Ch_36_-,10,50759.956,18359.739
XBR,XBR251,,49662.79,24650.03,RowPad,6,B,T11-,51091.728,25475.029,6,11,B,48109.956,22949.673,112.5,112.5,90ghz,URNY_B2,3,SQ_13,SQ_13_Ch_61_-,10,48109.956,22949.673
XBR,XBR301,,47012.79,29239.97,RowPad,5,B,T11-,48441.728,30064.963,5,11,B,45459.956,27539.608,157.5,157.5,90ghz,URNY_B1,0,SQ_09,SQ_09_Ch_22_-,9,45459.956,27539.608
