Band,Pad,Index,Design Frequency,Frequency Shift,UMM Frequency,UFM Frequency Shift
0,-1,0,4019000000,70737979.57,4089737980,-4800000
0,3,1,4020870714,69407936.98,4090278651,-4800000
0,7,2,4022741429,68117798.92,4090859227,-4800000
0,11,3,4024612143,67419427.29,4092031570,-4800000
0,19,5,4028353571,65101643.01,4093455214,-4800000
0,23,6,4030224286,64756648.42,4094980934,-4800000
0,27,7,4032095000,64699453.51,4096794454,-4800000
0,31,8,4033965714,63713818.67,4097679533,-4800000
0,35,9,4035836429,63398399.66,4099234828,-4800000
0,39,10,4037707143,63398747.58,4101105890,-4800000
0,43,11,4039577857,64605842.52,4104183700,-4800000
0,47,12,4041448571,66753995.81,4108202567,-4800000
0,51,13,4043319286,67763395.69,4111082681,-4800000
0,55,14,4045190000,68931307.66,4114121308,-4800000
0,59,15,4047060714,69630664.01,4116691378,-4800000
0,63,16,4048931429,70538461.06,4119469890,-4800000
0,1,17,4052653571,70071372.15,4122724944,-4800000
0,5,18,4054524286,68806277.9,4123330564,-4800000
0,9,19,4056395000,67106666.46,4123501666,-4800000
0,13,20,4058265714,65931737.99,4124197452,-4800000
0,17,21,4060136429,65232467.43,4125368896,-4800000
0,21,22,4062007143,64736796.57,4126743939,-4800000
0,25,23,4063877857,64320137.1,4128197994,-4800000
0,29,24,4065748571,63818938.71,4129567510,-4800000
0,33,25,4067619286,63589301.58,4131208587,-4800000
0,37,26,4069490000,62497254.61,4131987255,-4800000
0,41,27,4071360714,64151515.84,4135512230,-4800000
0,45,28,4073231429,65822519.22,4139053948,-4800000
0,49,29,4075102143,67079947.26,4142182090,-4800000
0,53,30,4076972857,68034423.19,4145007280,-4800000
0,57,31,4078843571,68700549.8,4147544121,-4800000
0,61,32,4080714286,70340692.95,4151054979,-4800000
0,0,33,4084714286,71859858.62,4156574144,-4800000
0,4,34,4086585000,70177600.38,4156762600,-4800000
0,8,35,4088455714,69086975.76,4157542690,-4800000
0,12,36,4090326429,67513788.56,4157840217,-4800000
0,16,37,4092197143,67163238.3,4159360381,-4800000
0,20,38,4094067857,66377379.29,4160445236,-4800000
0,24,39,4095938571,66413715.11,4162352287,-4800000
0,28,40,4097809286,66446834.42,4164256120,-4800000
0,32,41,4099680000,65547967.1,4165227967,-4800000
0,36,42,4101550714,64694212.69,4166244927,-4800000
0,40,43,4103421429,67701746.52,4171123175,-4800000
0,44,44,4105292143,67321631.32,4172613774,-4800000
0,48,45,4107162857,69335985.73,4176498843,-4800000
0,52,46,4109033571,69590194.32,4178623766,-4800000
0,56,47,4110904286,71030410.89,4181934697,-4800000
0,60,48,4112775000,71927024.45,4184702024,-4800000
0,64,49,4114645714,72978086.6,4187623801,-4800000
0,2,50,4118367857,70810924.36,4189178782,-4800000
0,6,51,4120238571,69274865.27,4189513437,-4800000
0,10,52,4122109286,68099412.31,4190208698,-4800000
0,14,53,4123980000,67427283.08,4191407283,-4800000
0,18,54,4125850714,66340317.42,4192191032,-4800000
0,22,55,4127721429,66189323.36,4193910752,-4800000
0,26,56,4129592143,66714420,4196306563,-4800000
0,30,57,4131462857,65567886.56,4197030744,-4800000
0,34,58,4133333571,65134350.4,4198467922,-4800000
0,38,59,4135204286,65637324.37,4200841610,-4800000
0,42,60,4137075000,67192575.12,4204267575,-4800000
0,46,61,4138945714,66842858.92,4205788573,-4800000
0,50,62,4140816429,66944925.76,4207761354,-4800000
0,54,63,4142687143,65524899.99,4208212043,-4800000
0,58,64,4144557857,65597110.32,4210154967,-4800000
0,62,65,4146428571,64359658.8,4210788230,-4800000
1,-1,0,4152428571,59081618.45,4211510190,-4800000
1,3,1,4154299286,57724073.81,4212023360,-4800000
1,7,2,4156170000,56271831.45,4212441831,-4800000
1,11,3,4158040714,55118956.71,4213159671,-4800000
1,15,4,4159911429,54530691.89,4214442120,-4800000
1,19,5,4161782143,53737473.02,4215519616,-4800000
1,23,6,4163652857,53112616.36,4216765473,-4800000
1,27,7,4165523571,52511835.86,4218035407,-4800000
1,31,8,4167394286,52506151.44,4219900437,-4800000
1,35,9,4169265000,53263973.89,4222528974,-4800000
1,39,10,4171135714,53174720.07,4224310434,-4800000
1,43,11,4173006429,52034599.02,4225041028,-4800000
1,47,12,4174877143,50554960.38,4225432103,-4800000
1,51,13,4176747857,50631660.61,4227379518,-4800000
1,55,14,4178618571,49600158.83,4228218730,-4800000
1,59,15,4180489286,51177643.64,4231666929,-4800000
1,63,16,4182360000,51989423.9,4234349424,-4800000
1,1,17,4186082143,53697606.78,4239779750,-4800000
1,5,18,4187952857,54084233.39,4242037091,-4800000
1,9,19,4189823571,53506780.88,4243330352,-4800000
1,13,20,4191694286,52434236.25,4244128522,-4800000
1,17,21,4193565000,50841524.13,4244406524,-4800000
1,21,22,4195435714,49882419.88,4245318134,-4800000
1,25,23,4197306429,50954621.41,4248261050,-4800000
1,29,24,4199177143,52523189.61,4251700332,-4800000
1,33,25,4201047857,52786464.42,4253834322,-4800000
1,37,26,4202918571,53097150.97,4256015722,-4800000
1,41,27,4204789286,52183565.2,4256972851,-4800000
1,45,28,4206660000,51835407.07,4258495407,-4800000
1,49,29,4208530714,52231079.26,4260761794,-4800000
1,53,30,4210401429,52063315.28,4262464744,-4800000
1,57,31,4212272143,51147189.21,4263419332,-4800000
1,61,32,4214142857,51283664.31,4265426521,-4800000
1,0,33,4218142857,59306849.28,4277449706,-4800000
1,4,34,4220013571,58353779.09,4278367351,-4800000
1,8,35,4221884286,57948468.99,4279832755,-4800000
1,12,36,4223755000,57925740.71,4281680741,-4800000
1,16,37,4225625714,56933229.11,4282558943,-4800000
1,20,38,4227496429,56999777.13,4284496206,-4800000
1,24,39,4229367143,55730062.14,4285097205,-4800000
1,28,40,4231237857,55953011.51,4287190869,-4800000
1,32,41,4233108571,56985086.08,4290093658,-4800000
1,36,42,4234979286,58275743.37,4293255029,-4800000
1,40,43,4236850000,57408192.81,4294258193,-4800000
1,44,44,4238720714,56153693.19,4294874407,-4800000
1,48,45,4240591429,56421565.17,4297012994,-4800000
1,52,46,4242462143,56577924,4299040067,-4800000
1,56,47,4244332857,56174837.79,4300507695,-4800000
1,60,48,4246203571,56325581.55,4302529153,-4800000
1,64,49,4248074286,57557826.2,4305632112,-4800000
1,2,50,4251796429,58884915.84,4310681344,-4800000
1,6,51,4253667143,58193499.91,4311860643,-4800000
1,10,52,4255537857,57871830.27,4313409687,-4800000
1,14,53,4257408571,57253427.7,4314661999,-4800000
1,18,54,4259279286,55999588.42,4315278874,-4800000
1,22,55,4261150000,55649765.54,4316799766,-4800000
1,26,56,4263020714,55148361.22,4318169076,-4800000
1,34,58,4266762143,55563894.15,4322326037,-6500000
1,38,59,4268632857,54798713.18,4323431570,-6500000
1,42,60,4270503571,55376404.17,4325879976,-6500000
1,46,61,4272374286,55938036.26,4328312322,-6500000
1,50,62,4274245000,56233767.8,4330478768,-6500000
1,54,63,4276115714,56048314.16,4332164028,-6500000
1,58,64,4277986429,55475676.84,4333462105,-6500000
1,62,65,4279857143,56577314.8,4336434458,-6500000
2,-1,0,4285857143,60876589.41,4346733732,-6500000
2,3,1,4287727857,60892808.34,4348620665,-6500000
2,7,2,4289598571,60397106.35,4349995678,-6500000
2,11,3,4291469286,59723245.59,4351192531,-6500000
2,15,4,4293340000,59991099.19,4353331099,-6500000
2,19,5,4295210714,59164681.8,4354375396,-6500000
2,23,6,4297081429,58173023.76,4355254452,-6500000
2,27,7,4298952143,56991442.05,4355943585,-6500000
2,31,8,4300822857,57074104.57,4357896962,-6500000
2,35,9,4302693571,57850165.28,4360543737,-6500000
2,39,10,4304564286,57896733.33,4362461019,-6500000
2,43,11,4306435000,57306763.84,4363741764,-6500000
2,47,12,4308305714,57069312.84,4365375027,-6500000
2,51,13,4310176429,58305191.02,4368481620,-6500000
2,55,14,4312047143,58126625.25,4370173768,-6500000
2,59,15,4313917857,59558117.18,4373475974,-6500000
2,63,16,4315788571,60651529.72,4376440101,-6500000
2,1,17,4319510714,60763739.05,4380274453,-6500000
2,5,18,4321381429,59985700.35,4381367129,-6500000
2,9,19,4323252143,60321961.14,4383574104,-6500000
2,13,20,4325122857,59471364.36,4384594222,-6500000
2,17,21,4326993571,60202460.19,4387196032,-6500000
2,21,22,4328864286,58778405.03,4387642691,-6500000
2,25,23,4330735000,57424900.73,4388159901,-6500000
2,29,24,4332605714,57057907.19,4389663621,-6500000
2,33,25,4334476429,57218375.72,4391694804,-6500000
2,37,26,4336347143,57922427.74,4394269571,-6500000
2,41,27,4338217857,57326310.68,4395544168,-6500000
2,45,28,4340088571,56473985.55,4396562557,-6500000
2,49,29,4341959286,57764274,4399723560,-6500000
2,53,30,4343830000,57985692.42,4401815692,-6500000
2,57,31,4345700714,58285242.33,4403985957,-6500000
2,61,32,4347571429,60460833.96,4408032263,-6500000
2,0,33,4351571429,61921045.86,4413492474,-6500000
2,4,34,4353442143,61100123.96,4414542267,-6500000
2,8,35,4355312857,61011985.99,4416324843,-6500000
2,12,36,4357183571,60902201.74,4418085773,-6500000
2,16,37,4359054286,60324408.17,4419378694,-6500000
2,20,38,4360925000,59284259.72,4420209260,-6500000
2,24,39,4362795714,58379080.02,4421174794,-6500000
2,28,40,4364666429,58253505.15,4422919934,-6500000
2,32,41,4366537143,58416053.58,4424953196,-6500000
2,36,42,4368407857,58880802.03,4427288659,-6500000
2,40,43,4370278571,57793429.66,4428072001,-6500000
2,44,44,4372149286,57742849.58,4429892135,-6500000
2,48,45,4374020000,58115939.98,4432135940,-6500000
2,52,46,4375890714,58481586.27,4434372301,-6500000
2,56,47,4377761429,58707867.87,4436469296,-6500000
2,60,48,4379632143,60280019.78,4439912163,-6500000
2,64,49,4381502857,62423343.2,4443926200,-6500000
2,2,50,4385225000,61334935.22,4446559935,-6500000
2,6,51,4387095714,59924030.31,4447019745,-6500000
2,10,52,4388966429,60494373.14,4449460802,-6500000
2,14,53,4390837143,60921614.1,4451758757,-6500000
2,18,54,4392707857,60733763.25,4453441620,-6500000
2,22,55,4394578571,59177817.09,4453756389,-6500000
2,26,56,4396449286,57963017.69,4454412303,-6500000
2,30,57,4398320000,57498826.56,4455818827,-6500000
2,34,58,4400190714,58406452.43,4458597167,-6500000
2,38,59,4402061429,58112215.84,4460173644,-6500000
2,42,60,4403932143,58131470.24,4462063613,-6500000
2,46,61,4405802857,57816862.53,4463619720,-6500000
2,50,62,4407673571,58068973.97,4465742545,-6500000
2,54,63,4409544286,58161526.5,4467705812,-6500000
2,58,64,4411415000,59248889.25,4470663889,-6500000
2,62,65,4413285714,60436416.71,4473722131,-6500000
3,-1,0,4419285714,59742747.49,4479028462,-6500000
3,3,1,4421156429,59571281.08,4480727710,-6500000
3,7,2,4423027143,59150800.65,4482177944,-6500000
3,11,3,4424897857,58487596.41,4483385454,-6500000
3,15,4,4426768571,59201983.67,4485970555,-6500000
3,19,5,4428639286,59278578.09,4487917864,-6500000
3,23,6,4430510000,58607666.39,4489117666,-6500000
3,27,7,4432380714,57855229.65,4490235944,-6500000
3,31,8,4434251429,58719909.16,4492971338,-6500000
3,35,9,4436122143,58276116.81,4494398260,-6500000
3,39,10,4437992857,57591654.45,4495584512,-6500000
3,43,11,4439863571,56583152.36,4496446724,-6500000
3,47,12,4441734286,55692615.87,4497426902,-6500000
3,51,13,4443605000,55391321.32,4498996321,-6500000
3,55,14,4445475714,57925980.37,4503401695,-6500000
3,59,15,4447346429,57635966.94,4504982396,-6500000
3,63,16,4449217143,62747109.95,4511964253,-6500000
3,1,17,4452939286,59488034.69,4512427320,-6500000
3,5,18,4454810000,59342615.84,4514152616,-6500000
3,9,19,4456680714,58713461.23,4515394176,-6500000
3,13,20,4458551429,59064506.58,4517615935,-6500000
3,17,21,4460422143,59019628.18,4519441771,-6500000
3,21,22,4462292857,58780878.47,4521073736,-6500000
3,25,23,4464163571,58154858.65,4522318430,-6500000
3,29,24,4466034286,57896888.94,4523931175,-6500000
3,33,25,4467905000,56589660.02,4524494660,-6500000
3,37,26,4469775714,57826464.87,4527602179,-6500000
3,41,27,4471646429,57287113.11,4528933542,-6500000
3,45,28,4473517143,56296313.6,4529813456,-6500000
3,49,29,4475387857,54872965.9,4530260823,-6500000
3,53,30,4477258571,56409297.56,4533667869,-6500000
3,57,31,4479129286,54880117.04,4534009403,-6500000
3,61,32,4481000000,59711842.79,4540711843,-6500000
3,0,33,4519000000,64383478.91,4583383479,-6500000
3,4,34,4520870714,64015996.27,4584886711,-6500000
3,8,35,4522741429,64864028.96,4587605458,-6500000
3,12,36,4524612143,64447285.14,4589059428,-6500000
3,16,37,4526482857,64159748.7,4590642606,-6500000
3,20,38,4528353571,64037701.56,4592391273,-6500000
3,24,39,4530224286,64166263.39,4594390549,-6500000
3,28,40,4532095000,63963538.53,4596058539,-6500000
3,32,41,4533965714,63668430.68,4597634145,-6500000
3,36,42,4535836429,62534096.75,4598370525,-6500000
3,40,43,4537707143,61455653.07,4599162796,-6500000
3,44,44,4539577857,60376456.5,4599954314,-6500000
3,48,45,4541448571,58979681.98,4600428253,-6500000
3,52,46,4543319286,57397433.6,4600716719,-6500000
3,56,47,4545190000,56923584.51,4602113585,-6500000
3,2,50,4552653571,63215094.64,4615868666,-6500000
3,6,51,4554524286,61999298.31,4616523584,-6500000
3,10,52,4556395000,62631674.09,4619026674,-6500000
3,14,53,4558265714,61977144.52,4620242859,-6700000
3,22,55,4562007143,60380687.55,4622387830,-6700000
3,26,56,4563877857,60209626.24,4624087483,-6700000
3,30,57,4565748571,60245888.64,4625994460,-6700000
3,34,58,4567619286,60280167.38,4627899453,-6700000
3,38,59,4569490000,60519914.49,4630009914,-6700000
3,46,61,4573231429,58216786.84,4631448215,-6700000
3,50,62,4575102143,57288700.76,4632390844,-6700000
3,54,63,4576972857,55856841.94,4632829699,-6700000
3,58,64,4578843571,55112325.79,4633955897,-6700000
3,62,65,4580714286,56429716.98,4637144003,-6700000
4,-1,0,4584714286,60555669.58,4645269955,-6700000
4,3,1,4586585000,65265839.45,4651850839,-6700000
4,7,2,4588455714,64890377.14,4653346091,-6700000
4,11,3,4590326429,63937274.76,4654263703,-6700000
4,15,4,4592197143,62853644.42,4655050787,-6700000
4,19,5,4594067857,63507980.71,4657575838,-6700000
4,23,6,4595938571,63867223.55,4659805795,-6700000
4,27,7,4597809286,65659900.11,4663469186,-6700000
4,31,8,4599680000,67593678.27,4667273678,-6700000
4,35,9,4601550714,69889153.03,4671439867,-6700000
4,39,10,4603421429,68682057.12,4672103486,-6700000
4,43,11,4605292143,67370449.32,4672662592,-6700000
4,47,12,4607162857,68177713.77,4675340571,-6700000
4,51,13,4609033571,70277421.94,4679310993,-6700000
4,1,17,4618367857,65035282.09,4683403139,-6700000
4,5,18,4620238571,63720288.11,4683958860,-6700000
4,9,19,4622109286,63175583.84,4685284870,-6700000
4,13,20,4623980000,61766126.52,4685746127,-6700000
4,17,21,4625850714,63084809.16,4688935523,-6700000
4,21,22,4627721429,62984031.66,4690705460,-6700000
4,25,23,4629592143,62259411.07,4691851554,-6700000
4,29,24,4631462857,62467017.35,4693929874,-6700000
4,33,25,4633333571,64245545.1,4697579117,-6700000
4,37,26,4635204286,67754553.53,4702958839,-6700000
4,41,27,4637075000,66578948.14,4703653948,-6700000
4,45,28,4638945714,65222346.65,4704168061,-6700000
4,49,29,4640816429,65680528.48,4706496957,-6700000
4,53,30,4642687143,68619667.73,4711306811,-6700000
4,57,31,4644557857,68197719.69,4712755577,-6700000
4,61,32,4646428571,71294211.31,4717722783,-6700000
4,0,33,4652428571,68207182.74,4720635754,-6700000
4,4,34,4654299286,67012353.38,4721311639,-6700000
4,8,35,4656170000,66488298.15,4722658298,-6700000
