bath_temp, bias_voltage, bias_line, band, data_path, note
19,IV 20 to 0,1,all,sample_data/iv_and_noise/1632629009_iv.npy,IV
19,IV 20 to 0,2,all,sample_data/iv_and_noise/1632629089_iv.npy,IV
19,IV 20 to 0,3,all,sample_data/iv_and_noise/1632629158_iv.npy,IV
19,IV 20 to 0,4,all,sample_data/iv_and_noise/1632629231_iv.npy,IV
19,IV 20 to 0,5,all,sample_data/iv_and_noise/1632629309_iv.npy,IV
19,IV 20 to 0,6,all,sample_data/iv_and_noise/1632629383_iv.npy,IV
19,IV 20 to 0,7,all,sample_data/iv_and_noise/1632629457_iv.npy,IV
19,IV 20 to 0,8,all,sample_data/iv_and_noise/1632629530_iv.npy,IV
19,IV 20 to 0,9,all,sample_data/iv_and_noise/1632629606_iv.npy,IV
19,IV 20 to 0,10,all,sample_data/iv_and_noise/1632629680_iv.npy,IV
19,IV 20 to 0,11,all,sample_data/iv_and_noise/1632629755_iv.npy,IV
21,0,all,all,sample_data/iv_and_noise/1632633078.dat,noise
21,IV 20 to 0,0,all,sample_data/iv_and_noise/1632633211_iv.npy,IV
21,IV 20 to 0,1,all,sample_data/iv_and_noise/1632633282_iv.npy,IV
21,IV 20 to 0,2,all,sample_data/iv_and_noise/1632633354_iv.npy,IV
21,IV 20 to 0,3,all,sample_data/iv_and_noise/1632633428_iv.npy,IV
21,IV 20 to 0,4,all,sample_data/iv_and_noise/1632633501_iv.npy,IV
21,IV 20 to 0,5,all,sample_data/iv_and_noise/1632633578_iv.npy,IV
21,IV 20 to 0,6,all,sample_data/iv_and_noise/1632633651_iv.npy,IV
21,IV 20 to 0,7,all,sample_data/iv_and_noise/1632633726_iv.npy,IV
21,IV 20 to 0,8,all,sample_data/iv_and_noise/1632633800_iv.npy,IV
21,IV 20 to 0,9,all,sample_data/iv_and_noise/1632633872_iv.npy,IV
21,IV 20 to 0,10,all,sample_data/iv_and_noise/1632633947_iv.npy,IV
21,IV 20 to 0,11,all,sample_data/iv_and_noise/1632634022_iv.npy,IV
